Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_1
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_1
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_2
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_2
Reference,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_3
HDR,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_3
Reference,65.41353383,34.58646617,151,151,133,87,46,0,0,1,45,0,1,45,0,0,0,0,gRNA_4
HDR,77.77777778,22.22222222,151,151,18,14,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_4
Reference,0.0,100.0,21,20,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_5
HDR,78.94736842,21.05263158,21,20,19,15,4,0,0,0,4,0,0,4,0,0,0,0,gRNA_5
Reference,3.44827586,96.55172414,3732,3732,29,1,28,0,0,0,28,0,0,28,0,0,0,0,gRNA_6
HDR,0.0,100.0,3732,3732,3701,0,3701,0,0,11,3701,0,0,3690,0,0,11,0,gRNA_6
Reference,0.0,100.0,274,274,263,0,263,0,0,2,262,0,1,261,0,0,1,0,gRNA_7
HDR,27.27272727,72.72727273,274,274,11,3,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_7
Reference,0.0,100.0,35,35,35,0,35,0,0,0,35,0,0,35,0,0,0,0,gRNA_8
HDR,,,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_8
Reference,,,158,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_9
HDR,0.0,100.0,158,158,158,0,158,0,0,3,158,0,0,155,0,0,3,0,gRNA_9
Reference,0.0,100.0,9,9,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_10
HDR,0.0,100.0,9,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_10
Reference,100.0,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_11
HDR,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_11
Reference,17.64705882,82.35294118,71,71,68,12,56,0,0,0,56,0,0,56,0,0,0,0,gRNA_12
HDR,66.66666667,33.33333333,71,71,3,2,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_12
Reference,49.05660377,50.94339623,53,53,53,26,27,0,0,0,27,0,0,27,0,0,0,0,gRNA_13
HDR,,,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13
Reference,30.55555556,69.44444444,36,36,36,11,25,0,0,0,25,0,0,25,0,0,0,0,gRNA_14
HDR,,,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_14
Reference,0.0,100.0,593,593,575,0,575,0,0,14,575,0,0,561,0,0,14,0,gRNA_15
HDR,0.0,100.0,593,593,15,0,15,0,0,1,15,0,0,14,0,0,1,0,gRNA_15
Reference,,,1272,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_16
HDR,2.75590551,97.24409449,1272,1272,1270,35,1235,0,71,76,1163,0,3,1159,69,0,2,2,gRNA_16
Reference,3.84615385,96.15384615,668,668,26,1,25,0,0,0,25,0,0,25,0,0,0,0,gRNA_17
HDR,0.15576324,99.84423676,668,668,642,1,641,0,0,2,641,0,0,639,0,0,2,0,gRNA_17
Reference,,,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_18
HDR,0.0,100.0,19,18,18,0,18,0,0,0,18,0,0,18,0,0,0,0,gRNA_18
Reference,2.38095238,97.61904762,50,50,42,1,41,0,0,0,41,0,0,41,0,0,0,0,gRNA_19
