Amplicon,Unmodified%,Modified%,Reads_in_input,Reads_aligned_all_amplicons,Reads_aligned,Unmodified,Modified,Discarded,Insertions,Deletions,Substitutions,Only Insertions,Only Deletions,Only Substitutions,Insertions and Deletions,Insertions and Substitutions,Deletions and Substitutions,Insertions Deletions and Substitutions,Guide_ID
Reference,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13832
HDR,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13832
Reference,0.0,100.0,504,504,500,0,500,0,0,2,500,0,0,498,0,0,2,0,gRNA_13833
HDR,0.0,100.0,504,504,3,0,3,0,0,0,3,0,0,3,0,0,0,0,gRNA_13833
Reference,0.0,100.0,1530,1525,155,0,155,0,146,1,153,2,0,8,0,144,1,0,gRNA_13834
HDR,0.0,100.0,1530,1525,870,0,870,0,0,2,870,0,0,868,0,0,2,0,gRNA_13834
Reference,0.0,100.0,812,812,272,0,272,0,0,1,272,0,0,271,0,0,1,0,gRNA_13835
HDR,0.0,100.0,812,812,540,0,540,0,0,3,540,0,0,537,0,0,3,0,gRNA_13835
Reference,0.0,100.0,1427,1423,1375,0,1375,0,0,6,1372,0,3,1369,0,0,3,0,gRNA_13836
HDR,0.0,100.0,1427,1423,47,0,47,0,0,0,47,0,0,47,0,0,0,0,gRNA_13836
Reference,0.0,100.0,1215,1214,131,0,131,0,2,1,131,0,0,128,0,2,1,0,gRNA_13837
HDR,0.0,100.0,1215,1214,1083,0,1083,0,422,2,1083,0,0,660,0,421,1,1,gRNA_13837
Reference,0.74074074,99.25925926,410,410,405,3,402,0,0,1,402,0,0,401,0,0,1,0,gRNA_13838
HDR,0.0,100.0,410,410,2,0,2,0,0,0,2,0,0,2,0,0,0,0,gRNA_13838
Reference,3.14285714,96.85714286,2237,2236,1750,55,1695,0,38,7,1695,0,0,1650,0,38,7,0,gRNA_13839
HDR,0.20876827,99.79123173,2237,2236,479,1,478,0,0,2,478,0,0,476,0,0,2,0,gRNA_13839
Reference,13.21321321,86.78678679,1443,1443,666,88,578,0,1,2,578,0,0,576,0,0,1,1,gRNA_13840
HDR,0.13089005,99.86910995,1443,1443,764,1,763,0,0,3,762,0,1,760,0,0,2,0,gRNA_13840
Reference,0.0,100.0,463,463,27,0,27,0,0,0,27,0,0,27,0,0,0,0,gRNA_13841
HDR,0.0,100.0,463,463,277,0,277,0,0,2,276,0,1,275,0,0,1,0,gRNA_13841
Reference,4.16666667,95.83333333,32,32,24,1,23,0,0,0,23,0,0,23,0,0,0,0,gRNA_13842
HDR,0.0,100.0,32,32,8,0,8,0,0,0,8,0,0,8,0,0,0,0,gRNA_13842
Reference,4.61538462,95.38461538,1461,617,65,3,62,0,0,0,62,0,0,62,0,0,0,0,gRNA_13843
HDR,54.71014493,45.28985507,1461,617,552,302,250,0,0,2,249,0,1,248,0,0,1,0,gRNA_13843
Reference,3.5326087,96.4673913,368,368,368,13,355,0,0,1,354,0,1,354,0,0,0,0,gRNA_13844
HDR,,,368,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,gRNA_13844
Reference,12.5,87.5,89,89,8,1,7,0,0,0,7,0,0,7,0,0,0,0,gRNA_13845
HDR,58.02469136,41.97530864,89,89,81,47,34,0,0,1,33,0,1,33,0,0,0,0,gRNA_13845
Reference,9.84848485,90.15151515,668,668,396,39,357,0,105,104,253,2,1,251,101,0,0,2,gRNA_13846
HDR,59.55882353,40.44117647,668,668,272,162,110,0,0,0,110,0,0,110,0,0,0,0,gRNA_13846
Reference,11.69491525,88.30508475,1848,1847,590,69,521,0,8,3,518,0,3,510,0,8,0,0,gRNA_13847
HDR,27.5477707,72.4522293,1848,1847,1256,346,910,0,0,3,907,0,3,907,0,0,0,0,gRNA_13847
Reference,7.46268657,92.53731343,309,270,268,20,248,0,0,0,248,0,0,248,0,0,0,0,gRNA_13848
HDR,50.0,50.0,309,270,2,1,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13848
Reference,0.0,100.0,111,111,108,0,108,0,0,0,108,0,0,108,0,0,0,0,gRNA_13849
HDR,66.66666667,33.33333333,111,111,3,2,1,0,0,0,1,0,0,1,0,0,0,0,gRNA_13849
Reference,1.22699387,98.77300613,386,386,163,2,161,0,0,0,161,0,0,161,0,0,0,0,gRNA_13850
