Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1,1170,1,1169,1116,49,4,936,37,49,196,1,190,5,3.165098374679213,4.191616766467066,80.06843455945253,16.766467065868262,0.0855431993156544,16.253207869974336,0.42771599657827203
gRNA_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_1000,8062,0,8062,3732,4325,5,656,15,4325,7391,0,7383,8,0.18605805011163482,53.64673778218805,8.136938724882164,91.6770032250062,0.0,91.57777226494666,0.09923096005953858
gRNA_10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10002,5,0,5,5,0,0,0,0,0,5,0,5,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10004,9,0,9,9,0,0,9,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10005,44,0,44,44,0,0,32,0,0,12,0,2,10,0.0,0.0,72.72727272727273,27.27272727272727,0.0,4.545454545454546,22.727272727272727
gRNA_10006,19,0,19,19,0,0,19,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10007,21,0,21,5,16,0,0,0,16,21,0,21,0,0.0,76.19047619047619,0.0,100.0,0.0,100.0,0.0
gRNA_10008,62,0,62,0,62,0,0,3,62,59,0,59,0,4.838709677419355,100.0,0.0,95.16129032258065,0.0,95.16129032258065,0.0
gRNA_10009,13,0,13,4,9,0,4,0,9,9,0,9,0,0.0,69.23076923076923,30.76923076923077,69.23076923076923,0.0,69.23076923076923,0.0
gRNA_1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10010,7,0,7,7,0,0,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10011,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10012,31,0,31,19,12,0,19,12,12,0,0,0,0,38.70967741935484,38.70967741935484,61.29032258064516,0.0,0.0,0.0,0.0
gRNA_10013,10,0,10,0,10,0,0,10,10,0,0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
gRNA_10014,52,0,52,6,46,0,0,37,46,15,5,9,1,71.15384615384616,88.46153846153845,0.0,28.846153846153843,9.615384615384617,17.307692307692307,1.9230769230769231
gRNA_10015,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10016,8,0,8,4,4,0,4,4,4,0,0,0,0,50.0,50.0,50.0,0.0,0.0,0.0,0.0
gRNA_10017,66,0,66,0,66,0,0,62,66,4,0,4,0,93.93939393939394,100.0,0.0,6.0606060606060606,0.0,6.0606060606060606,0.0
gRNA_10018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10019,12,0,12,7,5,0,0,0,5,12,0,12,0,0.0,41.66666666666667,0.0,100.0,0.0,100.0,0.0
gRNA_1002,4,0,4,0,4,0,0,4,4,0,0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
gRNA_10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10022,52,0,52,42,10,0,2,0,10,50,0,50,0,0.0,19.230769230769234,3.8461538461538463,96.15384615384616,0.0,96.15384615384616,0.0
gRNA_10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10024,24,0,24,18,6,0,16,0,6,8,0,8,0,0.0,25.0,66.66666666666666,33.33333333333333,0.0,33.33333333333333,0.0
gRNA_10025,23,0,23,23,0,0,2,0,0,21,0,21,0,0.0,0.0,8.695652173913043,91.30434782608695,0.0,91.30434782608695,0.0
gRNA_10026,7,0,7,7,0,0,7,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10027,7,0,7,1,6,0,0,0,6,7,0,7,0,0.0,85.71428571428571,0.0,100.0,0.0,100.0,0.0
gRNA_10028,43,0,43,42,0,1,42,0,0,1,0,0,1,0.0,0.0,97.67441860465115,2.3255813953488373,0.0,0.0,2.3255813953488373
gRNA_10029,26,0,26,24,2,0,23,0,2,3,0,3,0,0.0,7.6923076923076925,88.46153846153845,11.538461538461538,0.0,11.538461538461538,0.0
gRNA_1003,2,0,2,2,0,0,0,0,0,2,0,0,2,0.0,0.0,0.0,100.0,0.0,0.0,100.0
gRNA_10030,4,0,4,1,0,3,1,0,0,3,0,0,3,0.0,0.0,25.0,75.0,0.0,0.0,75.0
gRNA_10031,11,0,11,11,0,0,11,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10032,12,0,12,0,12,0,0,0,12,12,0,12,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10033,41,0,41,0,4,37,0,0,4,41,0,4,37,0.0,9.75609756097561,0.0,100.0,0.0,9.75609756097561,90.2439024390244
gRNA_10034,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10035,45,0,45,45,0,0,43,0,0,2,0,2,0,0.0,0.0,95.55555555555556,4.444444444444445,0.0,4.444444444444445,0.0
gRNA_10036,49,0,49,0,49,0,0,49,49,0,0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
gRNA_10037,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10038,15,0,15,9,6,0,8,6,6,1,0,1,0,40.0,40.0,53.333333333333336,6.666666666666667,0.0,6.666666666666667,0.0
gRNA_10039,7,0,7,0,7,0,0,0,7,7,0,7,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_1004,2,0,2,2,0,0,2,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10040,1,0,1,1,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10041,34,0,34,5,29,0,5,14,29,15,0,15,0,41.17647058823529,85.29411764705883,14.705882352941178,44.11764705882353,0.0,44.11764705882353,0.0
gRNA_10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10045,9,0,9,9,0,0,9,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10047,55,0,55,40,15,0,0,0,15,55,0,55,0,0.0,27.27272727272727,0.0,100.0,0.0,100.0,0.0
gRNA_10048,4,0,4,0,4,0,0,0,4,4,0,4,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10049,5039,62,4977,1168,3801,8,148,140,3801,4689,5,4669,15,2.8129395218002813,76.37130801687763,2.9736789230460117,94.2133815551537,0.10046212577858146,93.81153305203938,0.3013863773357444
gRNA_1005,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10050,14,0,14,3,0,11,0,0,0,14,0,3,11,0.0,0.0,0.0,100.0,0.0,21.428571428571427,78.57142857142857
gRNA_10051,3,0,3,3,0,0,3,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10052,6,0,6,6,0,0,0,0,0,6,0,6,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10053,33,0,33,3,1,29,2,0,1,31,1,1,29,0.0,3.0303030303030303,6.0606060606060606,93.93939393939394,3.0303030303030303,3.0303030303030303,87.87878787878788
gRNA_10054,9,0,9,0,9,0,0,0,9,9,0,9,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
gRNA_10055,16,0,16,16,0,0,16,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10056,5,0,5,5,0,0,5,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10057,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10058,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10059,16,0,16,6,10,0,6,5,10,5,0,5,0,31.25,62.5,37.5,31.25,0.0,31.25,0.0
gRNA_1006,4,0,4,4,0,0,4,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10060,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10061,14,0,14,0,14,0,0,1,14,13,0,13,0,7.142857142857142,100.0,0.0,92.85714285714286,0.0,92.85714285714286,0.0
gRNA_10062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10063,27,0,27,0,27,0,0,27,27,0,0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
gRNA_10064,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10065,1,0,1,0,1,0,0,1,1,0,0,0,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0
gRNA_10066,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
