Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1,1199,14,1185,739,438,8,633,405,438,147,0,137,10,34.177215189873415,36.9620253164557,53.417721518987335,12.40506329113924,0.0,11.561181434599156,0.8438818565400843
gRNA_10,29,0,29,23,6,0,23,0,6,6,0,6,0,0.0,20.689655172413794,79.3103448275862,20.689655172413794,0.0,20.689655172413794,0.0
gRNA_100,36,0,36,36,0,0,35,0,0,1,0,1,0,0.0,0.0,97.22222222222221,2.7777777777777777,0.0,2.7777777777777777,0.0
gRNA_1000,4635,0,4635,4261,373,1,9,15,373,4611,0,4607,4,0.3236245954692557,8.047464940668824,0.1941747572815534,99.48220064724919,0.0,99.39590075512406,0.08629989212513485
gRNA_10000,5,0,5,5,0,0,4,0,0,1,0,1,0,0.0,0.0,80.0,20.0,0.0,20.0,0.0
gRNA_10001,57,0,57,57,0,0,0,0,0,57,0,57,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10002,14,0,14,14,0,0,0,0,0,14,0,14,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10003,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10004,19,0,19,19,0,0,2,0,0,17,0,17,0,0.0,0.0,10.526315789473683,89.47368421052632,0.0,89.47368421052632,0.0
gRNA_10005,36,0,36,36,0,0,36,0,0,0,0,0,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
gRNA_10006,24,0,24,5,19,0,5,0,19,19,19,0,0,0.0,79.16666666666666,20.833333333333336,79.16666666666666,79.16666666666666,0.0,0.0
gRNA_10007,75,0,75,32,43,0,0,0,43,75,0,75,0,0.0,57.333333333333336,0.0,100.0,0.0,100.0,0.0
gRNA_10008,55,0,55,0,55,0,0,0,55,55,0,55,0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
