Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10,1292,7,1285,638,569,78,170,97,569,1018,3,930,85,7.54863813229572,44.280155642023345,13.229571984435799,79.22178988326849,0.23346303501945526,72.37354085603113,6.614785992217899
gRNA_100,1331,0,1331,1320,9,2,1119,9,9,203,3,197,3,0.67618332081142,0.67618332081142,84.07212622088656,15.251690458302027,0.2253944402704733,14.800901577761083,0.2253944402704733
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10000,4450,4,4446,4092,353,1,79,73,353,4294,2,2883,1409,1.6419253261358524,7.939721097615834,1.7768780926675665,96.58119658119658,0.0449842555105713,64.84480431848853,31.69140800719748
gRNA_10001,4553,0,4553,4477,69,7,38,0,69,4515,1,4487,27,0.0,1.5154842960685262,0.834614539863826,99.16538546013618,0.021963540522732264,98.55040632549968,0.5930155941137711
gRNA_10002,3067,0,3067,2981,83,3,122,1,83,2944,1,2932,11,0.032605151613955004,2.7062275839582655,3.977828496902511,95.98956635148353,0.032605151613955004,95.59830453211607,0.358656667753505
gRNA_10003,1800,72,1728,1472,250,6,48,0,250,1680,1,1463,216,0.0,14.467592592592593,2.7777777777777777,97.22222222222221,0.057870370370370364,84.66435185185185,12.5
gRNA_10004,1325,4,1321,675,645,1,4,16,645,1301,1,1295,5,1.2112036336109009,48.82664647993944,0.3028009084027252,98.48599545798638,0.0757002271006813,98.03179409538228,0.3785011355034065
gRNA_10005,5897,21,5876,5765,10,101,2552,2,10,3322,23,1859,1440,0.03403675970047651,0.17018379850238255,43.43090537780803,56.53505786249149,0.39142273655547993,31.63716814159292,24.50646698434309
gRNA_10006,8817,0,8817,8625,118,74,881,6,118,7930,16,7794,120,0.06805035726437564,1.3383236928660542,9.99206079165249,89.93988885108314,0.18146761937166836,88.39741408642395,1.3610071452875128
gRNA_10007,4899,0,4899,2209,2585,105,0,1,2585,4898,33,4731,134,0.020412329046744233,52.76587058583384,0.0,99.97958767095325,0.6736068585425597,96.57072872014697,2.7352520922637273
gRNA_10008,17041,57,16984,229,16447,308,10,3327,16447,13647,372,12435,840,19.58902496467263,96.83820065944418,0.05887894488930759,80.35209609043807,2.190296749882242,73.21596796985398,4.945831370701837
gRNA_10009,3515,9,3506,247,3252,7,1,1287,3252,2218,10,2195,13,36.708499714774675,92.75527666856817,0.028522532800912718,63.26297775242442,0.2852253280091272,62.60695949800342,0.37079292641186534
gRNA_1001,1483,0,1483,342,1141,0,3,3,1141,1477,0,1474,3,0.20229265003371544,76.93863789615644,0.20229265003371544,99.59541469993258,0.0,99.39312204989885,0.20229265003371544
gRNA_10010,102,0,102,57,45,0,0,2,45,100,0,97,3,1.9607843137254901,44.11764705882353,0.0,98.0392156862745,0.0,95.09803921568627,2.941176470588235
gRNA_10011,2428,25,2403,43,2359,1,7,1216,2359,1180,8,1170,2,50.603412401165215,98.16895547232626,0.2913025384935497,49.105285060341245,0.3329171868497711,48.68913857677903,0.08322929671244278
gRNA_10012,5095,114,4981,151,4766,64,3,32,4766,4946,36,4814,96,0.6424412768520378,95.68359767115037,0.06022886970487854,99.29732985344309,0.7227464364585424,96.64725958642842,1.9273238305561133
gRNA_10013,1677,0,1677,279,996,402,121,613,996,943,8,528,407,36.55336911150865,59.391771019677996,7.2152653548002395,56.23136553369111,0.4770423375074538,31.48479427549195,24.26952892069171
gRNA_10014,6893,0,6893,234,6502,157,3,1456,6502,5434,234,4957,243,21.122878282315394,94.32757870303206,0.04352241404323226,78.83359930364138,3.3947482953721164,71.91353547076744,3.5253155375018137
gRNA_10015,590,0,590,513,76,1,37,3,76,550,2,547,1,0.5084745762711864,12.88135593220339,6.271186440677965,93.22033898305084,0.3389830508474576,92.71186440677967,0.1694915254237288
gRNA_10016,3787,0,3787,960,2749,78,4,428,2749,3355,10,2867,478,11.301822022709269,72.5904409823079,0.10562450488513335,88.5925534724056,0.2640612622128334,75.70636387641933,12.622128333773436
gRNA_10017,1340,0,1340,40,1299,1,4,563,1299,773,5,763,5,42.014925373134325,96.94029850746269,0.2985074626865672,57.6865671641791,0.3731343283582089,56.940298507462686,0.3731343283582089
gRNA_10018,1391,0,1391,410,979,2,41,709,979,641,7,629,5,50.970524802300496,70.38102084831057,2.9475197699496762,46.08195542774982,0.503235082674335,45.21926671459382,0.35945363048166784
gRNA_10019,1937,169,1768,801,966,1,14,153,966,1601,8,1587,6,8.653846153846153,54.63800904977375,0.7918552036199095,90.55429864253394,0.4524886877828055,89.76244343891403,0.3393665158371041
gRNA_1002,3120,4,3116,229,2479,408,5,934,2479,2177,23,1727,427,29.974326059050068,79.5571245186136,0.16046213093709885,69.86521181001284,0.7381258023106547,55.423620025673934,13.70346598202824
gRNA_10020,10,0,10,8,2,0,0,0,2,10,8,2,0,0.0,20.0,0.0,100.0,80.0,20.0,0.0
gRNA_10021,203,37,166,1,129,36,0,64,129,102,1,63,38,38.55421686746988,77.71084337349397,0.0,61.44578313253012,0.6024096385542169,37.95180722891566,22.89156626506024
gRNA_10022,1160,1,1159,159,875,125,0,0,875,1159,1,1030,128,0.0,75.49611734253668,0.0,100.0,0.08628127696289906,88.86971527178602,11.04400345125108
gRNA_10023,892,4,888,387,494,7,44,113,494,731,1,723,7,12.725225225225225,55.63063063063063,4.954954954954955,82.31981981981981,0.11261261261261261,81.41891891891892,0.7882882882882882
gRNA_10024,1565,13,1552,72,1478,2,3,0,1478,1549,0,1481,68,0.0,95.23195876288659,0.19329896907216496,99.80670103092784,0.0,95.42525773195877,4.381443298969072
gRNA_10025,4016,0,4016,3441,563,12,159,2,563,3855,5,3775,75,0.049800796812749,14.018924302788843,3.9591633466135456,95.9910358565737,0.12450199203187251,93.99900398406375,1.8675298804780878
gRNA_10026,1258,0,1258,1222,34,2,571,0,34,687,4,668,15,0.0,2.7027027027027026,45.389507154213035,54.610492845786965,0.3179650238473768,53.10015898251193,1.192368839427663
gRNA_10027,5334,6,5328,4757,565,6,10,0,565,5318,3,5287,28,0.0,10.604354354354355,0.18768768768768768,99.81231231231232,0.05630630630630631,99.23048048048048,0.5255255255255256
