Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10,5172,11,5161,2267,2846,48,545,1147,2846,3469,6,3349,114,22.22437512110056,55.14435186979267,10.559968998256151,67.21565588064328,0.11625653943034295,64.89052509203643,2.208874249176516
gRNA_100,3777,0,3777,3777,0,0,3295,0,0,482,6,472,4,0.0,0.0,87.23854911305268,12.761450886947312,0.15885623510722796,12.496690495101932,0.10590415673815197
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10000,7877,1,7876,7581,291,4,367,66,291,7443,103,6617,723,0.8379888268156425,3.694768918232606,4.659725749111224,94.50228542407314,1.3077704418486542,84.0147282884713,9.179786693753174
gRNA_10001,8922,0,8922,8915,2,5,208,0,2,8714,117,8567,30,0.0,0.022416498542927595,2.33131584846447,97.66868415153553,1.3113651647612643,96.02107150863036,0.3362474781439139
gRNA_10002,4456,0,4456,4439,9,8,183,0,9,4273,0,4225,48,0.0,0.20197486535008974,4.1068222621184916,95.8931777378815,0.0,94.81597845601436,1.0771992818671454
gRNA_10003,7197,142,7055,4239,2124,692,643,0,2124,6412,0,5538,874,0.0,30.106307583274273,9.114103472714387,90.88589652728561,0.0,78.4975194897236,12.388377037562012
gRNA_10004,5741,0,5741,5624,49,68,28,0,49,5713,44,5595,74,0.0,0.8535098414910295,0.4877199094234454,99.51228009057655,0.766417000522557,97.45688904372061,1.2889740463333914
gRNA_10005,13873,72,13801,13586,4,211,5451,1,4,8349,12,8108,229,0.007245851749873198,0.02898340699949279,39.4971378885588,60.49561625969133,0.08695022099847838,58.74936598797189,1.659300050720962
gRNA_10006,13481,0,13481,10835,2595,51,1232,181,2595,12068,278,11715,75,1.3426303686670127,19.249313849120988,9.138787923744529,89.51858170758847,2.0621615607150803,86.90008159632075,0.5563385505526296
gRNA_10007,12862,3,12859,2707,9962,190,50,0,9962,12809,25,12541,243,0.0,77.47103196204993,0.3888327241620655,99.61116727583793,0.19441636208103275,97.52702387432926,1.8897270394276382
gRNA_10008,29656,299,29357,402,27298,1657,13,2337,27298,27007,47,25026,1934,7.960622679429097,92.98634056613415,0.0442824539292162,91.9950948666417,0.1600981026671663,85.24713015635112,6.587866607623395
gRNA_10009,12899,104,12795,1850,10936,9,15,3989,10936,8791,23,7932,836,31.176240719030872,85.47088706525987,0.11723329425556857,68.70652598671356,0.17975771785853847,61.992966002344666,6.533802266510355
gRNA_1001,2079,0,2079,1968,111,0,1,1,111,2077,1,2074,2,0.0481000481000481,5.339105339105339,0.0481000481000481,99.90379990379991,0.0481000481000481,99.75949975949976,0.0962000962000962
gRNA_10010,1305,29,1276,864,128,284,2,7,128,1267,1,980,286,0.54858934169279,10.031347962382444,0.1567398119122257,99.29467084639498,0.07836990595611285,76.8025078369906,22.413793103448278
gRNA_10011,12189,10,12179,699,11475,5,178,6272,11475,5729,57,5653,19,51.498480991871254,94.21955825601445,1.4615321454963461,47.0399868626324,0.46801872074883,46.41596190163396,0.15600624024961
