Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10,157,0,157,9,148,0,3,85,148,69,0,68,1,54.14012738853503,94.26751592356688,1.910828025477707,43.94904458598726,0.0,43.31210191082803,0.6369426751592357
gRNA_100,10,0,10,10,0,0,9,0,0,1,0,1,0,0.0,0.0,90.0,10.0,0.0,10.0,0.0
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10000,204,0,204,202,2,0,1,0,2,203,0,203,0,0.0,0.9803921568627451,0.49019607843137253,99.50980392156863,0.0,99.50980392156863,0.0
gRNA_10001,346,0,346,346,0,0,0,0,0,346,0,346,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10002,38,0,38,38,0,0,5,0,0,33,0,33,0,0.0,0.0,13.157894736842104,86.8421052631579,0.0,86.8421052631579,0.0
gRNA_10003,43,1,42,4,38,0,2,0,38,40,0,40,0,0.0,90.47619047619048,4.761904761904762,95.23809523809523,0.0,95.23809523809523,0.0
gRNA_10004,68,0,68,68,0,0,1,0,0,67,0,67,0,0.0,0.0,1.4705882352941175,98.52941176470588,0.0,98.52941176470588,0.0
gRNA_10005,1070,0,1070,1034,36,0,174,33,36,863,1,860,2,3.08411214953271,3.364485981308411,16.261682242990656,80.65420560747664,0.09345794392523366,80.37383177570094,0.1869158878504673
gRNA_10006,846,0,846,539,306,1,47,35,306,764,0,763,1,4.137115839243498,36.17021276595745,5.555555555555555,90.30732860520094,0.0,90.18912529550828,0.1182033096926714
