Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10,105,0,105,89,16,0,31,8,16,66,0,66,0,7.6190476190476195,15.238095238095239,29.523809523809526,62.857142857142854,0.0,62.857142857142854,0.0
gRNA_100,718,0,718,714,2,2,605,2,2,111,1,108,2,0.2785515320334262,0.2785515320334262,84.26183844011142,15.459610027855152,0.1392757660167131,15.041782729805014,0.2785515320334262
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10000,819,0,819,817,2,0,17,1,2,801,0,786,15,0.1221001221001221,0.2442002442002442,2.0757020757020754,97.8021978021978,0.0,95.97069597069597,1.8315018315018317
gRNA_10001,1374,0,1374,1366,5,3,5,0,5,1369,0,1362,7,0.0,0.363901018922853,0.363901018922853,99.63609898107715,0.0,99.12663755458514,0.5094614264919942
gRNA_10002,1597,0,1597,1595,1,1,57,0,1,1540,0,1537,3,0.0,0.06261740763932373,3.5691922354414527,96.43080776455855,0.0,96.24295554164057,0.18785222291797118
gRNA_10003,184,1,183,163,17,3,44,0,17,139,0,136,3,0.0,9.289617486338798,24.043715846994534,75.95628415300546,0.0,74.31693989071039,1.639344262295082
gRNA_10004,344,0,344,337,7,0,3,0,7,341,0,341,0,0.0,2.0348837209302326,0.872093023255814,99.12790697674419,0.0,99.12790697674419,0.0
gRNA_10005,631,10,621,618,0,3,344,0,0,277,1,246,30,0.0,0.0,55.394524959742355,44.605475040257645,0.1610305958132045,39.61352657004831,4.830917874396135
gRNA_10006,2063,0,2063,2056,3,4,226,0,3,1837,4,1826,7,0.0,0.1454192922927775,10.954920019389238,89.04507998061077,0.19389238972370335,88.51187590887058,0.3393116820164809
gRNA_10007,2426,0,2426,1689,733,4,0,0,733,2426,3,2409,14,0.0,30.214344600164882,0.0,100.0,0.12366034624896949,99.29925803792251,0.5770816158285244
gRNA_10008,4643,2,4641,8,4605,28,0,2225,4605,2416,20,2357,39,47.942253824606766,99.22430510665805,0.0,52.05774617539324,0.43094160741219567,50.786468433527254,0.8403361344537815
gRNA_10009,1540,0,1540,17,1522,1,0,709,1522,831,2,828,1,46.03896103896104,98.83116883116884,0.0,53.961038961038966,0.12987012987012986,53.76623376623376,0.06493506493506493
gRNA_1001,952,0,952,9,943,0,0,2,943,950,0,947,3,0.21008403361344538,99.0546218487395,0.0,99.78991596638656,0.0,99.47478991596638,0.31512605042016806
gRNA_10010,35,0,35,35,0,0,0,0,0,35,0,35,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
gRNA_10011,597,23,574,23,551,0,2,304,551,268,0,267,1,52.961672473867594,95.99303135888502,0.34843205574912894,46.68989547038328,0.0,46.51567944250871,0.17421602787456447
gRNA_10012,1968,98,1870,17,1852,1,0,16,1852,1854,3,1842,9,0.8556149732620321,99.03743315508021,0.0,99.14438502673796,0.16042780748663102,98.50267379679144,0.4812834224598931
gRNA_10013,157,0,157,112,33,12,73,20,33,64,0,51,13,12.738853503184714,21.019108280254777,46.496815286624205,40.76433121019109,0.0,32.48407643312102,8.280254777070063
gRNA_10014,1370,0,1370,56,1307,7,2,303,1307,1065,22,993,50,22.11678832116788,95.4014598540146,0.145985401459854,77.73722627737226,1.6058394160583942,72.48175182481752,3.64963503649635
gRNA_10015,193,0,193,178,15,0,9,0,15,184,1,183,0,0.0,7.772020725388601,4.66321243523316,95.33678756476684,0.5181347150259068,94.81865284974094,0.0
gRNA_10016,134,0,134,22,108,4,0,14,108,120,0,110,10,10.44776119402985,80.59701492537313,0.0,89.55223880597015,0.0,82.08955223880598,7.462686567164178
gRNA_10017,457,0,457,9,447,1,0,192,447,265,2,261,2,42.01312910284464,97.81181619256017,0.0,57.98687089715536,0.437636761487965,57.11159737417943,0.437636761487965
gRNA_10018,210,0,210,22,188,0,3,123,188,84,2,82,0,58.57142857142858,89.52380952380953,1.4285714285714286,40.0,0.9523809523809524,39.04761904761905,0.0
gRNA_10019,178,2,176,135,41,0,2,7,41,167,0,167,0,3.977272727272727,23.295454545454543,1.1363636363636365,94.88636363636364,0.0,94.88636363636364,0.0
gRNA_1002,1050,0,1050,162,878,10,1,327,878,722,1,707,14,31.142857142857146,83.61904761904762,0.09523809523809523,68.76190476190476,0.09523809523809523,67.33333333333333,1.3333333333333335
gRNA_10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10021,22,11,11,0,10,1,0,5,10,6,0,5,1,45.45454545454545,90.9090909090909,0.0,54.54545454545454,0.0,45.45454545454545,9.090909090909092
gRNA_10022,697,0,697,66,630,1,0,0,630,697,0,695,2,0.0,90.38737446197992,0.0,100.0,0.0,99.71305595408894,0.2869440459110474
gRNA_10023,188,2,186,180,6,0,21,1,6,164,0,164,0,0.5376344086021506,3.225806451612903,11.29032258064516,88.17204301075269,0.0,88.17204301075269,0.0
gRNA_10024,554,0,554,4,550,0,0,0,550,554,0,550,4,0.0,99.27797833935018,0.0,100.0,0.0,99.27797833935018,0.7220216606498195
gRNA_10025,2405,0,2405,2347,55,3,62,0,55,2343,1,2331,11,0.0,2.2869022869022873,2.577962577962578,97.42203742203742,0.04158004158004158,96.92307692307692,0.4573804573804574
gRNA_10026,343,0,343,341,1,1,165,0,1,178,0,177,1,0.0,0.2915451895043732,48.10495626822158,51.89504373177842,0.0,51.60349854227405,0.2915451895043732
gRNA_10027,3889,1,3888,3751,131,6,0,0,131,3888,0,3874,14,0.0,3.369341563786008,0.0,100.0,0.0,99.63991769547324,0.360082304526749
gRNA_10028,667,0,667,280,386,1,22,309,386,336,0,335,1,46.326836581709145,57.87106446776612,3.2983508245877062,50.37481259370315,0.0,50.22488755622189,0.14992503748125938
gRNA_10029,451,0,451,386,63,2,46,0,63,405,0,402,3,0.0,13.968957871396896,10.199556541019955,89.80044345898004,0.0,89.13525498891353,0.6651884700665188
gRNA_1003,96,2,94,77,17,0,2,13,17,79,0,66,13,13.829787234042554,18.085106382978726,2.127659574468085,84.04255319148936,0.0,70.2127659574468,13.829787234042554
gRNA_10030,1370,1,1369,8,1358,3,0,652,1358,717,3,711,3,47.62600438276114,99.19649379108839,0.0,52.373995617238855,0.2191380569758948,51.93571950328707,0.2191380569758948
gRNA_10031,376,0,376,349,27,0,19,2,27,355,0,354,1,0.5319148936170213,7.180851063829788,5.053191489361701,94.41489361702128,0.0,94.14893617021278,0.26595744680851063
gRNA_10032,816,95,721,373,346,2,0,0,346,721,348,344,29,0.0,47.988904299583915,0.0,100.0,48.26629680998613,47.71151178918169,4.0221914008321775
gRNA_10033,123,0,123,38,80,5,3,0,80,120,0,114,6,0.0,65.04065040650406,2.4390243902439024,97.5609756097561,0.0,92.6829268292683,4.878048780487805
gRNA_10034,256,0,256,2,254,0,0,0,254,256,0,253,3,0.0,99.21875,0.0,100.0,0.0,98.828125,1.171875
gRNA_10035,66,5,61,34,27,0,12,23,27,26,19,7,0,37.704918032786885,44.26229508196721,19.672131147540984,42.62295081967213,31.147540983606557,11.475409836065573,0.0
gRNA_10036,3250,0,3250,568,2676,6,295,987,2676,1968,7,1949,12,30.36923076923077,82.33846153846154,9.076923076923077,60.55384615384616,0.21538461538461537,59.969230769230776,0.3692307692307692
gRNA_10037,1765,1,1764,1166,595,3,26,1,595,1737,1,1731,5,0.05668934240362812,33.730158730158735,1.473922902494331,98.46938775510205,0.05668934240362812,98.12925170068027,0.2834467120181406
