Guide_ID,Reads_in_input,Reads_lowqual,Reads_aligned_all_amplicons,Reads_aligned_WT,Reads_aligned_HDR,Reads_unaligned,WT,correct_edit,target_base_edit,byproduct_all,byproduct_INDEL,byproduct_sub,byproduct_ambiguous,corr_perc,target_base_edit_perc,WT_perc,byproduct_all_perc,byproduct_INDEL_perc,byproduct_sub_perc,byproduct_ambiguous_perc
gRNA_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10,1238,0,1238,1235,0,3,329,0,0,909,1,902,6,0.0,0.0,26.575121163166397,73.42487883683361,0.08077544426494346,72.859450726979,0.48465266558966075
gRNA_100,524,0,524,522,2,0,437,0,2,87,3,84,0,0.0,0.38167938931297707,83.3969465648855,16.603053435114504,0.5725190839694656,16.030534351145036,0.0
gRNA_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gRNA_10000,969,0,969,967,0,2,37,0,0,932,1,928,3,0.0,0.0,3.8183694530443755,96.18163054695562,0.10319917440660474,95.7688338493292,0.30959752321981426
gRNA_10001,240,0,240,240,0,0,60,0,0,180,0,179,1,0.0,0.0,25.0,75.0,0.0,74.58333333333333,0.4166666666666667
gRNA_10002,217,0,217,217,0,0,63,0,0,154,0,153,1,0.0,0.0,29.03225806451613,70.96774193548387,0.0,70.50691244239631,0.4608294930875576
gRNA_10003,83,0,83,83,0,0,29,0,0,54,0,54,0,0.0,0.0,34.93975903614458,65.06024096385542,0.0,65.06024096385542,0.0
gRNA_10004,614,0,614,612,1,1,7,0,1,607,0,606,1,0.0,0.16286644951140067,1.1400651465798046,98.8599348534202,0.0,98.69706840390879,0.16286644951140067
gRNA_10005,3385,1,3384,3378,2,4,2488,2,2,894,2,883,9,0.0591016548463357,0.0591016548463357,73.5224586288416,26.418439716312058,0.0591016548463357,26.093380614657207,0.26595744680851063
gRNA_10006,2640,0,2640,2634,2,4,337,2,2,2301,3,2293,5,0.07575757575757576,0.07575757575757576,12.765151515151516,87.1590909090909,0.11363636363636363,86.85606060606061,0.1893939393939394
gRNA_10007,282,0,282,282,0,0,42,0,0,240,1,237,2,0.0,0.0,14.893617021276595,85.1063829787234,0.3546099290780142,84.04255319148936,0.7092198581560284
gRNA_10008,345,3,342,329,12,1,18,2,12,322,0,321,1,0.5847953216374269,3.508771929824561,5.263157894736842,94.15204678362574,0.0,93.85964912280701,0.29239766081871343
gRNA_10009,788,0,788,782,3,3,18,0,3,770,1,765,4,0.0,0.3807106598984772,2.284263959390863,97.71573604060913,0.12690355329949238,97.08121827411168,0.5076142131979695
gRNA_1001,165,0,165,163,2,0,0,0,2,165,0,165,0,0.0,1.2121212121212122,0.0,100.0,0.0,100.0,0.0
gRNA_10010,61,0,61,61,0,0,0,0,0,61,0,61,0,0.0,0.0,0.0,100.0,0.0,100.0,0.0
