sgRNA	gene	spleen1	spleen2	spleen3	spleen4	spleen5	spleen6	spleen7	spleen8	spleen9	bonemarrow1	bonemarrow2	bonemarrow3	bonemarrow4	bonemarrow5	bonemarrow6	bonemarrow7	bonemarrow8	bonemarrow9	bonemarrow10	meninges1	meninges2	meninges3	meninges4	meninges5	meninges6	meninges7	meninges8	meninges9	meninges10	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3	d15_rep1	d15_rep2	d15_rep3	plasmidlib
gRNA_4	Abl1	2004.0	2229.0	3050.0	940.0	4555.0	3267.0	5198.0	1486.0	576.0	706.0	8994.0	4102.0	1378.0	3596.0	2153.0	8083.0	4394.0	2139.0	1760.0	406.0	81.0	4137.0	210.0	5467.0	286.0	7575.0	2119.0	178.0	467.0	2148.0	2407.0	2065.0	2759.0	1361.0	1115.0	1427.0	1275.0	393.0	961.0
gRNA_5	Abl1	471.0	3455.0	3825.0	674.0	574.0	2774.0	2726.0	2486.0	1012.0	353.0	1473.0	794.0	1077.0	517.0	3746.0	194.0	877.0	1297.0	3156.0	20.0	7478.0	629.0	46.0	134.0	1149.0	415.0	33.0	3698.0	240.0	1269.0	1948.0	2974.0	1669.0	636.0	1546.0	1479.0	925.0	2404.0	1242.0
gRNA_6	Abl1	3190.0	4167.0	4229.0	1342.0	5046.0	1478.0	3471.0	1405.0	2817.0	3183.0	1477.0	2684.0	956.0	1866.0	1577.0	1223.0	1946.0	3521.0	6435.0	768.0	1387.0	259.0	4130.0	16503.0	1055.0	675.0	97.0	44.0	66.0	4169.0	5069.0	6712.0	6761.0	951.0	2652.0	5473.0	1472.0	1949.0	2461.0
gRNA_7	Abl1	2999.0	4343.0	4785.0	3715.0	3978.0	2635.0	3987.0	2153.0	3260.0	799.0	5202.0	821.0	2133.0	1583.0	4919.0	437.0	1908.0	2176.0	3926.0	1048.0	248.0	6609.0	331.0	209.0	655.0	623.0	4375.0	1777.0	72.0	2385.0	3751.0	4545.0	5763.0	7630.0	4326.0	4553.0	3728.0	2379.0	2004.0
gRNA_8	Abl1	73.0	1302.0	134.0	597.0	26.0	180.0	545.0	1309.0	457.0	13.0	751.0	152.0	373.0	6.0	40.0	2.0	140.0	140.0	106.0	2.0	543.0	137.0	61.0	190.0	377.0	10591.0	567.0	127.0	669.0	101.0	441.0	309.0	455.0	122.0	215.0	1627.0	370.0	489.0	447.0
gRNA_9	Abl1	1222.0	1787.0	5110.0	1156.0	463.0	484.0	433.0	614.0	606.0	1285.0	3021.0	362.0	2464.0	1075.0	149.0	108.0	77.0	909.0	637.0	10.0	44.0	18.0	322.0	204.0	338.0	133.0	266.0	30.0	1222.0	728.0	329.0	1359.0	1635.0	415.0	1584.0	1265.0	2080.0	1091.0	671.0
gRNA_10	Abl1	1689.0	514.0	1701.0	1414.0	1663.0	2535.0	2534.0	369.0	460.0	217.0	325.0	1434.0	4879.0	220.0	1645.0	342.0	163.0	674.0	400.0	1365.0	189.0	218.0	24.0	376.0	958.0	378.0	84.0	11.0	32.0	1391.0	1763.0	1588.0	366.0	256.0	1016.0	332.0	501.0	1056.0	802.0
gRNA_11	Abl1	609.0	714.0	738.0	968.0	1175.0	319.0	1455.0	352.0	814.0	277.0	364.0	40.0	998.0	258.0	162.0	2084.0	380.0	70.0	890.0	5.0	121.0	47.0	681.0	131.0	2149.0	23202.0	1432.0	132.0	40.0	841.0	794.0	844.0	1166.0	237.0	553.0	604.0	1320.0	1400.0	620.0
gRNA_12	Abl1	480.0	1204.0	728.0	1410.0	692.0	690.0	2144.0	689.0	532.0	29.0	346.0	1380.0	1074.0	98.0	288.0	300.0	373.0	426.0	4242.0	204.0	75.0	17.0	88.0	211.0	646.0	293.0	337.0	39.0	358.0	1735.0	1070.0	2032.0	1699.0	471.0	1115.0	2701.0	440.0	816.0	1075.0
gRNA_13	Abl1	612.0	455.0	1273.0	659.0	464.0	472.0	607.0	679.0	980.0	316.0	395.0	122.0	3083.0	33.0	541.0	1695.0	584.0	43.0	644.0	335.0	583.0	10087.0	747.0	304.0	2408.0	1029.0	87.0	29273.0	934.0	524.0	745.0	1434.0	878.0	353.0	941.0	652.0	602.0	222.0	806.0
gRNA_14	Abl1	2135.0	1808.0	541.0	1024.0	1241.0	720.0	895.0	890.0	497.0	1471.0	578.0	408.0	2247.0	554.0	74.0	936.0	392.0	2292.0	2046.0	130.0	11.0	445.0	2086.0	3367.0	363.0	3748.0	319.0	263.0	19.0	1491.0	1223.0	2344.0	168.0	453.0	600.0	1094.0	134.0	1572.0	1225.0
