sgrna	gene	S1	S2	S3_5	B1	B2	B3	B4	B5	M1	M2	M3_5	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3	d15_rep1	d15_rep2	d15_rep3
gRNA_1	Abl1	601.0	248.0	78.0	239.0	11.0	89.0	187.0	18.0	5.0	6.0	147.0	0.0	0.0	0.0	0.0	21.0	4.0	1.0	6.0	34.0
gRNA_2	Abl1	56.0	452.0	6.0	4.0	202.0	0.0	0.0	45.0	5.0	137.0	0.0	279.0	642.0	57.0	1.0	1.0	3.0	5.0	0.0	5.0
gRNA_3	Abl1	53.0	298.0	25.0	59.0	3.0	5.0	1.0	85.0	6.0	0.0	0.0	132.0	17.0	4.0	0.0	1.0	0.0	1.0	0.0	0.0
gRNA_67	Ago2	9.0	257.0	26.0	0.0	265.0	0.0	213.0	76.0	36.0	17.0	121.0	77.0	101.0	7.0	0.0	199.0	18.0	0.0	125.0	94.0
gRNA_84	Akt1	1075.0	3402.0	1037.0	1370.0	3213.0	940.0	230.0	10.0	24.0	177.0	768.0	255.0	172.0	19.0	2.0	1118.0	545.0	20.0	172.0	188.0
gRNA_85	Akt1	123.0	449.0	457.0	114.0	15.0	118.0	8.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	576.0	180.0	6.0	145.0	347.0
gRNA_95	Akt1	58.0	184.0	1061.0	304.0	79.0	450.0	1043.0	1024.0	97.0	1.0	276.0	113.0	164.0	17.0	3.0	1635.0	682.0	21.0	910.0	695.0
gRNA_120	Akt3	244.0	629.0	267.0	86.0	1.0	150.0	4.0	0.0	4.0	18.0	3.0	36.0	90.0	10.0	2.0	410.0	122.0	15.0	136.0	144.0
gRNA_121	Akt3	298.0	160.0	213.0	269.0	106.0	102.0	54.0	1.0	8.0	50.0	0.0	83.0	221.0	16.0	3.0	81.0	23.0	1.0	56.0	42.0
gRNA_122	Akt3	398.0	99.0	102.0	24.0	74.0	146.0	8.0	47.0	17.0	46.0	71.0	49.0	150.0	18.0	1.0	442.0	186.0	3.0	92.0	137.0
gRNA_196	Alk	473.0	662.0	863.0	593.0	141.0	494.0	99.0	58.0	16.0	0.0	1.0	4.0	58.0	4.0	0.0	40.0	16.0	0.0	4.0	11.0
gRNA_197	Alk	1450.0	1939.0	633.0	1602.0	296.0	161.0	322.0	1086.0	119.0	3099.0	16.0	4.0	46.0	6.0	3.0	263.0	74.0	7.0	37.0	50.0
gRNA_198	Alk	482.0	1891.0	1250.0	528.0	617.0	2162.0	1592.0	296.0	37.0	734.0	1686.0	264.0	339.0	35.0	14.0	197.0	167.0	55.0	238.0	88.0
gRNA_235	Amer1	1759.0	2406.0	1021.0	3305.0	623.0	696.0	2072.0	246.0	56.0	30.0	723.0	329.0	570.0	52.0	6.0	755.0	236.0	9.0	232.0	191.0
gRNA_283	Ankrd11	1701.0	1390.0	1176.0	1234.0	63.0	1240.0	1459.0	64.0	232.0	138.0	566.0	0.0	2.0	2.0	1.0	1307.0	807.0	20.0	358.0	338.0
gRNA_284	Ankrd11	2966.0	1472.0	250.0	1475.0	2392.0	197.0	926.0	247.0	178.0	134.0	25.0	19.0	45.0	7.0	6.0	697.0	404.0	9.0	185.0	400.0
gRNA_285	Ankrd11	1013.0	704.0	257.0	571.0	274.0	807.0	16.0	1.0	312.0	62.0	0.0	118.0	103.0	11.0	2.0	938.0	352.0	7.0	487.0	212.0
gRNA_292	Apc	472.0	278.0	554.0	890.0	178.0	614.0	1482.0	379.0	231.0	247.0	3.0	61.0	37.0	3.0	1.0	478.0	161.0	6.0	147.0	150.0
gRNA_293	Apc	752.0	876.0	374.0	725.0	292.0	327.0	213.0	266.0	33.0	19.0	1.0	8.0	118.0	14.0	0.0	391.0	89.0	2.0	52.0	123.0
