id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Trp53	64	0.0002511	0.0040636	0.449924	1	33	-0.32393	0.67538	0.96941	0.998649	155	20	-0.32393
Rara	4	0.0015035	0.0058686	0.449924	2	4	-2.3684	0.9985	0.99865	0.998649	230	0	-2.3684
Inppl1	2	0.0019744	0.0041235	0.449924	3	2	-2.7475	0.99803	0.99811	0.998649	229	0	-2.7475
Dis3	5	0.0027402	0.011762	0.503096	4	5	-1.3686	0.99726	0.9973	0.998649	228	0	-1.3686
Erbb2	8	0.0036533	0.018723	0.503096	5	4	-0.38523	0.39269	0.66278	0.998649	106	4	-0.38523
B2m	5	0.0038848	0.016539	0.503096	6	3	-1.7481	0.81171	0.86172	0.998649	180	1	-1.7481
Irs1	6	0.0043858	0.021375	0.503096	7	6	-0.44674	0.99561	0.99537	0.998649	227	0	-0.44674
Esr1	5	0.0052067	0.021375	0.503096	8	5	-1.1442	0.99479	0.99491	0.998649	226	0	-1.1442
Cd79a	4	0.0056009	0.0198	0.503096	9	3	-1.694	0.9496	0.94912	0.998649	214	0	-1.694
Ccnd3	4	0.0061796	0.021874	0.503096	10	4	-1.9674	0.99222	0.99273	0.998649	225	0	-1.9674
Tsc2	5	0.0088709	0.034638	0.663895	11	5	-1.2211	0.99113	0.99058	0.998649	224	0	-1.2211
Raf1	4	0.010176	0.034478	0.663895	12	4	-1.4842	0.98603	0.98645	0.998649	222	0	-1.4842
Map3k1	4	0.011379	0.038368	0.678811	13	3	-1.5625	0.95309	0.95306	0.998649	217	0	-1.5625
Lats1	4	0.013541	0.04462	0.733044	14	3	-1.2884	0.7129	0.77314	0.998649	160	1	-1.2884
Asxl2	3	0.021554	0.054692	0.756274	15	3	-1.1261	0.97845	0.97824	0.998649	221	0	-1.1261
Akt1	3	0.022062	0.055898	0.756274	16	2	-2.2321	0.91902	0.91879	0.998649	209	0	-2.2321
Pik3r3	3	0.0268	0.066549	0.776281	17	2	-2.0243	0.92762	0.92719	0.998649	211	0	-2.0243
Smarca4	7	0.029097	0.10613	0.776281	18	3	-0.042686	0.40952	0.65942	0.998649	111	2	-0.042686
Map2k1	10	0.029631	0.12016	0.776281	19	7	-1.0713	0.80773	0.93254	0.998649	178	2	-1.0713
Nfe2	3	0.029846	0.073589	0.776281	20	2	-1.9686	0.59101	0.64549	0.998649	137	1	-1.9686
Card11	5	0.034591	0.10414	0.776281	21	2	0.33024	0.28528	0.49637	0.998649	87	3	0.33024
Bap1	15	0.036125	0.16473	0.787123	22	10	-0.56438	0.46387	0.79523	0.998649	119	4	-0.56438
Grin2a	2	0.03615	0.065242	0.776281	23	1	-2.1784	0.64325	0.64182	0.998649	148	1	-2.1784
Epha7	5	0.03913	0.11536	0.776281	24	1	0.25219	0.54493	0.70923	0.998649	130	2	0.25219
Ercc2	19	0.040789	0.18992	0.787123	25	12	-0.57022	0.89696	0.98518	0.998649	202	5	-0.57022
Ccnd1	4	0.042373	0.11433	0.776281	26	3	-1.3515	0.52278	0.67028	0.998649	126	1	-1.3515
Rheb	2	0.045291	0.081337	0.776281	27	2	-1.568	0.95471	0.95427	0.998649	218	0	-1.568
Akt3	3	0.045377	0.1097	0.776281	28	2	-2.4312	0.60174	0.65237	0.998649	141	1	-2.4312
Vhl	14	0.046854	0.19202	0.787123	29	8	-0.93085	0.98922	0.99692	0.998649	223	1	-0.93085
Rtel1	2	0.048945	0.08742	0.776281	30	2	-2.0365	0.95106	0.95052	0.998649	216	0	-2.0365
Ezh2	4	0.049566	0.12733	0.787123	31	2	-0.26959	0.16297	0.3229	0.998649	60	1	-0.26959
Max	1	0.050047	0.050254	0.756274	32	1	-2.1684	0.94995	0.95045	0.998649	215	0	-2.1684
Lck	2	0.050788	0.090462	0.776281	33	1	-1.4525	0.81038	0.80779	0.998649	179	0	-1.4525
Cbl	6	0.052075	0.16209	0.787123	34	4	-1.2118	0.45772	0.68008	0.998649	117	2	-1.2118
Pik3cb	5	0.055508	0.15487	0.787123	35	3	-1.6443	0.65964	0.7888	0.998649	153	2	-1.6443
Pik3cg	4	0.057475	0.14222	0.787123	36	3	-1.2835	0.82491	0.83754	0.998649	185	1	-1.2835
Notch1	9	0.059484	0.19819	0.787123	37	6	-0.68898	0.67854	0.86535	0.998649	156	3	-0.68898
Rbm10	4	0.060325	0.1473	0.787123	38	2	-1.4505	0.89639	0.89561	0.998649	201	0	-1.4505
Tsc1	3	0.062297	0.14609	0.787123	39	2	-3.492	0.63136	0.67116	0.998649	147	1	-3.492
Erbb3	18	0.062727	0.25608	0.818027	40	7	-0.15082	0.83749	0.97122	0.998649	188	5	-0.15082
Runx1	7	0.066763	0.20008	0.787123	41	3	0.059444	0.18114	0.40557	0.998649	65	3	0.059444
Ncoa3	2	0.067122	0.11877	0.776281	42	1	-1.1114	0.59952	0.6017	0.998649	139	1	-1.1114
Sdha	2	0.068928	0.1215	0.776281	43	1	-0.61874	0.40512	0.44339	0.998649	109	1	-0.61874
Cd79b	5	0.069821	0.1867	0.787123	44	3	-0.81125	0.85201	0.87954	0.998649	190	1	-0.81125
Ptpn1	1	0.071562	0.071983	0.776281	45	1	-2.1018	0.92844	0.92884	0.998649	212	0	-2.1018
Mga	6	0.074062	0.20346	0.787123	46	3	-0.10319	0.41481	0.64001	0.998649	113	3	-0.10319
Socs1	2	0.081137	0.14145	0.787123	47	2	-1.5889	0.91886	0.91825	0.998649	208	0	-1.5889
Rictor	4	0.08157	0.18562	0.787123	48	2	-0.17217	0.50515	0.65484	0.998649	124	2	-0.17217
Pole	1	0.083723	0.084209	0.776281	49	1	-2.1827	0.91628	0.91676	0.998649	207	0	-2.1827
Fgfr3	6	0.085445	0.22472	0.791706	50	3	-0.5269	0.86934	0.91498	0.998649	195	1	-0.5269
Nkx2-1	2	0.088769	0.15389	0.787123	51	2	-0.87624	0.91123	0.91071	0.998649	206	0	-0.87624
Upf1	1	0.094013	0.09447	0.776281	52	1	-1.9427	0.90599	0.9069	0.998649	205	0	-1.9427
