id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Pik3ca	35	0.0026776	0.021644	0.588303	1	17	-0.35151	0.90635	0.98905	0.998749	201	7	-0.35151
NT	10	0.0041349	0.020896	0.588303	2	3	-0.084825	0.47089	0.69107	0.998749	120	3	-0.084825
Etv6	9	0.0042095	0.01962	0.588303	3	3	-0.26381	0.83988	0.89386	0.998749	185	1	-0.26381
Stk11	3	0.0052546	0.013926	0.588303	4	3	-0.54061	0.99475	0.99457	0.998749	228	0	-0.54061
Foxo1	4	0.0056114	0.018762	0.588303	5	2	0.016702	0.0086127	0.028455	0.594975	7	2	0.016702
Irf8	3	0.0067349	0.017855	0.588303	6	3	-0.97484	0.99327	0.99309	0.998749	227	0	-0.97484
Smc1a	2	0.0076788	0.015093	0.588303	7	2	-0.81402	0.99232	0.99194	0.998749	226	0	-0.81402
Rad51c	2	0.010532	0.020547	0.588303	8	2	-0.89985	0.98947	0.98914	0.998749	225	0	-0.89985
Smarca4	7	0.012399	0.046236	0.750212	9	5	-0.42622	0.99873	0.99875	0.998749	230	0	-0.42622
ST	26	0.016127	0.088068	0.750212	10	12	-0.36772	0.15672	0.46002	0.990296	62	7	-0.36772
Atm	21	0.017024	0.084498	0.750212	11	9	-0.26224	0.49854	0.80175	0.998749	128	2	-0.26224
Kmt2d	11	0.018092	0.06978	0.750212	12	2	0.039414	0.18363	0.41791	0.975894	72	3	0.039414
Nfe2l2	8	0.019155	0.066888	0.750212	13	4	-0.36226	0.96135	0.96122	0.998749	221	0	-0.36226
Rhoa	8	0.019886	0.069022	0.750212	14	3	-0.034428	0.7265	0.83448	0.998749	172	2	-0.034428
Cbl	6	0.020696	0.064195	0.750212	15	4	-0.62072	0.88273	0.88344	0.998749	190	0	-0.62072
Cul3	3	0.022142	0.051511	0.750212	16	2	-1.0113	0.90345	0.90327	0.998749	199	0	-1.0113
Fyn	1	0.022962	0.023021	0.588303	17	1	-1.1234	0.97704	0.97734	0.998749	223	0	-1.1234
Fgfr3	6	0.025039	0.075883	0.750212	18	1	0.022741	0.45446	0.60456	0.990296	115	1	0.022741
Fgfr2	6	0.026349	0.079532	0.750212	19	4	-0.49314	0.98329	0.98322	0.998749	224	0	-0.49314
Chek2	3	0.026473	0.057943	0.750212	20	1	0.29474	0.49712	0.51215	0.990296	127	1	0.29474
Akt1	3	0.031986	0.065871	0.750212	21	1	0.41888	0.11794	0.19839	0.804599	52	2	0.41888
Tsc1	3	0.03709	0.073659	0.750212	22	2	-0.88758	0.04295	0.089275	0.790482	20	1	-0.88758
Foxp1	1	0.038894	0.038846	0.750212	23	1	-1.3256	0.96111	0.96165	0.998749	220	0	-1.3256
Setd2	6	0.04144	0.11735	0.817869	24	2	-0.070158	0.69273	0.75525	0.998749	167	1	-0.070158
Tet2	4	0.041703	0.099297	0.761277	25	3	-0.48891	0.59632	0.62223	0.990296	147	1	-0.48891
