sgRNA	Gene	d5_rep2	d5_rep3	d15_rep2	d15_rep3
gRNA_1	Abl1	9.846630984286588	4.841482229198945	7.738291550199284	46.743552746123065
gRNA_2	Abl1	0.46888718972793275	3.631111671899209	0.0	6.874051874429863
gRNA_3	Abl1	0.46888718972793275	0.0	0.0	0.0
gRNA_67	Ago2	93.30855075585862	21.786670031395253	161.2144072958184	129.23217523928142
gRNA_84	Akt1	524.2158781158288	659.6519537283563	221.83102443904613	258.46435047856284
gRNA_85	Akt1	270.07902128328925	217.86670031395255	187.00871246314935	477.0592000854325
gRNA_95	Akt1	766.63055520517	825.4727200784201	1173.640885113558	955.4932105457509
gRNA_120	Akt3	192.24374778845242	147.66520799056784	175.40127513785043	197.97269398358006
gRNA_121	Akt3	37.97986236796255	27.838522817893935	72.22405446852665	57.74203574521085
gRNA_122	Akt3	207.24813785974627	225.12892365775096	118.65380376972234	188.34902135937824
gRNA_196	Alk	18.75548758911731	19.36592891679578	5.158861033466189	15.122914123745698
gRNA_197	Alk	123.31733089844631	89.5674212401805	47.71946455956225	68.74051874429863
gRNA_198	Alk	92.37077637640276	202.13188306905596	306.95223149123825	120.98331298996558
gRNA_235	Amer1	354.00982824458924	285.64745152273775	299.213939941039	262.58878160322075
gRNA_283	Ankrd11	612.8355569744081	976.7690397408873	461.7180624952239	464.68590671145876
gRNA_284	Ankrd11	326.81437124036916	488.9897051490935	238.59732279781124	549.924149954389
gRNA_285	Ankrd11	439.8161839648009	426.0504361695072	628.0913308245085	291.4597994758262
gRNA_292	Apc	224.12807668995185	194.86965972525755	189.58814297988243	206.2215562328959
gRNA_293	Apc	183.3348911836217	107.72297959967653	67.06519343506045	169.10167611097464
gRNA_299	Apc	175.36380895824684	131.93039074567125	181.84985142968316	96.23672624201808
gRNA_300	Apc	15.004390071293848	7.262223343798418	2.5794305167330944	115.4840714904217
gRNA_497	Araf	27.1954570042201	22.99704058869499	6.448576291832736	10.99848299908778
gRNA_498	Araf	724.899595319384	974.3482986262877	1236.8369327735188	642.0364450717492
gRNA_528	Arid1a	848.6858134075583	1335.0387247016092	1512.8359980639598	1020.1092981653917
gRNA_594	Arid1a	155.67054698967368	185.18669526685966	270.8402042569749	197.97269398358006
gRNA_671	Arid1a	195.9948453062759	99.25038569857838	91.56978334402486	109.98482999087781
gRNA_736	Arid1b	207.71702504947422	259.0192992621436	245.04589908964397	197.97269398358006
gRNA_740	Arid1b	99.40408422232174	102.88149737047759	68.354908693427	163.60243461143074
gRNA_741	Arid1b	579.075679313997	451.46821787280163	633.2501918579746	701.153291191846
gRNA_767	Arid1b	645.6576602553635	594.2919436341705	624.2221850494088	604.916564949828
gRNA_768	Arid1b	138.7906081594681	133.140761302971	168.95269884601768	138.85584786348323
gRNA_769	Arid1b	485.2982413684104	502.3037812793906	423.0266047442275	794.6403966840921
gRNA_806	Arid1b	154.26388542048988	369.16301997641955	2.5794305167330944	145.7298997379131
gRNA_807	Arid1b	153.79499823076193	165.82076635006388	49.009179817928796	151.229141237457
gRNA_828	Arid2	102.21740736068934	29.04889337519367	19.345728875498207	49.493173495895014
gRNA_829	Arid2	43.13762145496981	18.155558359496045	29.663450942430586	31.62063862237737
gRNA_830	Arid2	67.51975532082231	183.97632470955992	86.41092231055866	32.99544899726334
gRNA_831	Arid2	34.69765203986702	18.155558359496045	55.45775610976153	17.872534873517644
gRNA_871	Arid2	454.8205740360948	361.90079663262117	544.2598390306829	494.93173495895013
gRNA_895	Arid5b	48.764267731705004	84.72593901098153	78.67263076035938	108.61001961599183
gRNA_896	Arid5b	112.53292553470386	125.87853795917258	233.43846176434505	81.11381211827238
gRNA_901	Arid5b	158.9527573177692	401.84302502351244	180.5601361713166	259.8391608534488
gRNA_974	Asxl2	446.84949181071994	813.3690145054228	660.3342122836722	456.4370444621429
gRNA_978	Asxl2	453.413912466911	726.2223343798418	709.343392101601	617.2898583238017
gRNA_979	Asxl2	169.73716268151165	231.18077644424963	208.93387185538066	98.98634699179003
gRNA_992	Atm	89.55745323803515	55.67704563578787	28.373735684064037	53.61760462055293
gRNA_993	Atm	52.51536524952847	35.100746161692356	43.85031878446261	28.871017872605425
gRNA_999	Atm	962.156513321718	900.5156946310038	953.0995759328783	775.3930514356886
gRNA_1000	Atm	343.2254228808468	444.20599452900325	116.07437325298925	477.0592000854325
gRNA_1008	Atm	911.0478096413733	947.7201463656935	673.2313648673377	906.0000370498559
gRNA_1009	Atm	427.15622984214673	493.8311873782924	371.4379944095656	823.5114145566976
gRNA_1010	Atm	223.65918950022393	353.428202731523	230.85903124761194	268.0880231027647
gRNA_1011	Atm	87.2130172893955	44.78371062009025	32.242881459163684	21.99696599817556
gRNA_1014	Atm	1260.837653178411	1344.7216891600071	867.9783688806863	1223.5812336485155
gRNA_1017	Atm	388.23859309472834	267.49189316324174	207.6441565970141	158.10319311188684
gRNA_1018	Atm	50.1709293008888	22.99704058869499	32.242881459163684	19.247345248403615
gRNA_1035	Atm	223.65918950022393	248.12596424644593	95.4389291191245	144.35508936302713
gRNA_1036	Atm	83.46191977157203	91.98816235477996	117.3640885113558	294.20942022559814
gRNA_1045	Atm	437.9406352058892	363.1111671899209	524.9141101551847	441.3141303383972
gRNA_1046	Atm	271.954570042201	876.308283485009	585.5307272984124	450.937802962599
gRNA_1047	Atm	51.577590870072605	88.35705068288075	1.2897152583665472	12.373293373973754
gRNA_1048	Atm	316.4988530663546	234.81188811614885	202.4852955635479	210.3459873575538
gRNA_1049	Atm	434.65842487779366	397.00154279431354	171.53212936275077	283.21093722651034
gRNA_1056	Atm	22.03769791721284	182.76595415226018	39.98117300936296	178.72534873517642
gRNA_1065	Atm	315.0921914971708	151.29631966246703	180.5601361713166	210.3459873575538
gRNA_1066	Atm	644.7198858759075	311.0652332260322	486.2226524041883	435.8148888388533
gRNA_1069	Atp6v1b2	145.82391600538708	222.70818254315148	105.75665118605687	210.3459873575538
gRNA_1082	Atr	437.00286082643333	633.023801467762	501.69923550458685	805.6388796831799
gRNA_1083	Atr	402.3052087865663	951.3512580375927	996.949894717341	833.1350871808994
gRNA_1095	Atr	233.97470767423843	144.03409631866862	140.57896316195365	122.35812336485156
gRNA_1109	Atr	11.72217974319832	44.78371062009025	51.58861033466189	89.36267436758821
gRNA_1121	Atrx	366.20089517751546	142.82372576136888	104.46693592769033	175.9757279854045
gRNA_1122	Atrx	203.49704034192283	41.152598948191034	47.71946455956225	81.11381211827238
gRNA_1127	Atrx	131.7573003135491	78.67408622448286	163.7938378125515	100.361157366676
gRNA_1145	Atrx	358.2298129521406	290.4889337519367	270.8402042569749	228.21852223107146
gRNA_1146	Atrx	379.7986236796255	394.58080167971406	435.923757327893	317.5811965986597
gRNA_1148	Atrx	712.7085283864578	789.1616033594281	1483.1725471215293	930.7466237978034
gRNA_1149	Atrx	189.89931183981275	309.8548626687325	362.4099876009998	208.97117698266783
gRNA_1150	Atrx	144.41725443620328	130.7200201883715	137.99953264522054	118.23369224019365
gRNA_1151	Atrx	141.6039312978357	59.30815730768708	52.878325593028435	123.73293373973753
gRNA_1281	B2m	388.23859309472834	329.2207915855283	237.3076075394447	240.5918156050452
gRNA_1282	B2m	845.4036030794628	1153.4831411066486	892.4829587896506	1117.7208347822957
gRNA_1283	B2m	795.7015609683019	879.9393951569083	1840.423673689063	1354.1882192626829
gRNA_1284	B2m	279.45676507784793	441.78525341440377	305.66251623287167	276.3368853520805
gRNA_1285	B2m	90.49522761749103	68.99112176608497	39.98117300936296	208.97117698266783
gRNA_1313	Bap1	834.6191977157202	1085.7023898978634	1759.1716124119705	1017.3596774156197
gRNA_1314	Bap1	177.7082449068865	203.3422536263557	88.99035282729176	83.86343286804433
gRNA_1317	Bap1	53.92202681871227	31.469634489793144	60.61661714322772	56.367225370324874
gRNA_1318	Bap1	82.52414539211617	371.583761091019	69.64462395179355	90.7374847424742
gRNA_1321	Bap1	231.6302717255988	249.33633480374567	332.7465366585692	368.44918046944065
gRNA_1322	Bap1	220.3769791721284	154.92743133436625	354.6716960508005	239.21700523015923
gRNA_1337	Bap1	326.3454840506412	516.8282279669874	243.7561838312774	350.576645595923
gRNA_1338	Bap1	227.4102870180474	191.23854805335833	131.55095635338782	507.3050283329239
gRNA_1339	Bap1	412.62072696058084	251.75707591834515	544.2598390306829	369.8239908443266
gRNA_1340	Bap1	495.61375954242493	835.1556845368181	699.0256700346686	791.8907759343202
gRNA_1341	Bap1	255.0746312119954	261.440040376743	152.18640048725257	219.96965998175563
gRNA_1342	Bap1	755.8461498414276	1771.982495886814	2547.187635273931	1200.209457275454
gRNA_1343	Bap1	83.93080696129996	59.30815730768708	341.774543467135	158.10319311188684
gRNA_1361	Bap1	1253.3354581427643	1480.2831915775776	1723.059585177707	1667.6449847366848
gRNA_1362	Bap1	634.404367701893	821.841608406521	727.3994057187326	1022.8589189151636
gRNA_1373	Bcl2	747.8750676160528	628.1823192385632	523.6243948968182	426.1912162146515
gRNA_1374	Bcl2	308.52777084097977	190.0281774960586	303.0830857161386	232.34295335572938
gRNA_1375	Bcl2	627.3710598559741	384.89783722131614	695.156524259569	529.3019943310994
gRNA_1376	Bcl2	90.49522761749103	210.6044769701541	76.09320024362628	152.60395161234297
gRNA_1377	Bcl2	104.561843309329	159.7689135635652	197.3264345300817	228.21852223107146
gRNA_1378	Bcl2	158.01498293831332	158.55854300626547	65.77547817669391	127.85736486439545
gRNA_1379	Bcl2	64.23754499272678	610.0267608790671	714.5022531350671	247.46586747947507
gRNA_1380	Bcl2	219.43920479267254	297.75115709573515	459.1386319784908	122.35812336485156
gRNA_1381	Bcl2	272.89234442165684	305.01338043953353	392.07343854343037	320.3308173484316
gRNA_1382	Bcl2	263.0457134373703	553.1393446859795	411.41916741892857	409.6934917160198
gRNA_1383	Bcl2	651.2843065320986	980.4001514127864	675.8107953840707	433.06526808908137
gRNA_1384	Bcl2	106.90627925796866	79.8844567817826	78.67263076035938	164.97724498631672
gRNA_1385	Bcl2	807.4237407115002	906.5675474175025	822.8383348378571	760.2701373119428
gRNA_1406	Bcl2	175.36380895824684	210.6044769701541	128.97152583665473	269.46283347765063
gRNA_1407	Bcl2	229.75472296668704	601.554166977969	256.6533364149429	1392.6829097594903
gRNA_1459	Bcor	1482.1524067299954	2078.206246883647	2414.346963662176	1530.1639472480874
gRNA_1460	Bcor	1270.2153969729698	2671.287819960518	1634.0692323504154	1817.4993155992559
gRNA_1461	Bcor	209.59257380838594	278.38522817893937	397.23229957689654	332.70411072240535
gRNA_1463	Bcor	506.8670520958953	285.64745152273775	305.66251623287167	224.09409110641354
gRNA_1491	Bcor	372.29642864397863	220.287441428552	257.94305167330947	393.19576721738815
gRNA_1492	Bcor	716.4596259042812	727.4327049371415	883.4549519810848	703.902911941618
gRNA_1545	Braf	93.77743794558656	75.04297455258364	78.67263076035938	86.61305361781628
gRNA_1548	Braf	105.03073049905694	24.207411145994726	29.663450942430586	70.11532911918461
gRNA_1549	Braf	57.2042371468078	20.576299474095517	27.084020425697492	19.247345248403615
gRNA_1550	Braf	226.47251263859152	158.55854300626547	36.11202723426332	160.8528138616588
gRNA_1551	Braf	342.2876485013909	259.0192992621436	238.59732279781124	208.97117698266783
gRNA_1552	Braf	117.22179743198319	38.73185783359156	117.3640885113558	266.71321272787867
gRNA_1558	Braf	1712.8449040761384	1742.9336025116204	1646.9663849340807	1794.1275392261941
gRNA_1559	Braf	267.7345853346496	330.431162142828	323.71852985000334	197.97269398358006
gRNA_1569	Braf	251.32353369417194	171.87261913656255	202.4852955635479	131.98179598905335
gRNA_1570	Braf	107.3751664476966	27.838522817893935	74.80348498525974	56.367225370324874
gRNA_1573	Braf	127.5373156059977	95.61927402667916	99.30807489422413	105.86039886621988
gRNA_1583	Brca1	546.7224632227695	578.557126389274	878.2960909476186	680.5311355685565
gRNA_1588	Brca2	105.49961768878487	13.3140761302971	52.878325593028435	32.99544899726334
gRNA_1590	Brca2	1404.7860204248866	1999.5321606591644	1986.1614978844827	1884.8650239686683
gRNA_1591	Brca2	587.0467615393718	971.9275575116883	918.2772639569816	644.7860658215211
gRNA_1592	Brca2	260.7012774887306	117.40594405807443	247.62532960637708	325.8300588479755
gRNA_1696	Btk	423.8740195140512	315.90671545523116	677.1005106424373	340.9529729717212
gRNA_1725	Card11	165.04829078423234	141.61335520406914	135.42010212848746	105.86039886621988
gRNA_1726	Card11	17.34882601993351	70.20149232338471	50.29889507629534	19.247345248403615
gRNA_1733	Card11	261.17016467845855	176.7141013657615	259.232766931676	215.84522885709768
gRNA_1738	Card11	237.7258051920619	91.98816235477996	65.77547817669391	181.4749694849484
gRNA_1817	Card11	948.5587848196079	1142.589806090951	1367.09817386854	719.0258260653636
gRNA_1848	Carm1	45.95094459333741	177.92447192306125	171.53212936275077	57.74203574521085
gRNA_1855	Casp8	210.99923537756973	114.98520294347495	86.41092231055866	114.10926111553573
gRNA_1857	Casp8	159.42164450749715	118.61631461537416	73.51376972689319	149.854330862571
gRNA_1858	Casp8	113.00181272443179	131.93039074567125	85.12120705219212	105.86039886621988
gRNA_1871	Cbfb	680.3553122952304	763.7438216561336	634.5399071163413	617.2898583238017
gRNA_1875	Cbfb	399.0229984584708	191.23854805335833	165.08355307091804	365.6995597196687
gRNA_1876	Cbfb	72.67751440782958	25.417781703294462	165.08355307091804	59.116846120096824
gRNA_1882	Cbl	250.85464650444402	153.7170607770665	107.04636644442341	152.60395161234297
gRNA_1898	Cbl	203.96592753165075	245.70522313184648	52.878325593028435	215.84522885709768
gRNA_1901	Cbl	481.54714385058696	501.0934107220908	263.10191270677564	343.70259372149314
gRNA_1904	Cbl	237.25691800233398	211.81484752745385	205.06472608028102	347.82702484615106
gRNA_1905	Cbl	765.2238936359862	1125.6446182887548	1156.8745867547927	851.007622054417
gRNA_1906	Cbl	113.00181272443179	42.36296950549077	46.4297493011957	54.99241499543891
gRNA_1925	Ccnd1	1006.2319091561437	947.7201463656935	994.3704642006079	976.1153661690405
gRNA_1928	Ccnd1	0.46888718972793275	3.631111671899209	5.158861033466189	1.3748103748859726
gRNA_1929	Ccnd1	389.6452546639121	557.9808269151785	334.0362519169357	727.2746883146795
gRNA_1930	Ccnd1	198.33928125491556	497.46229905019163	915.6978334402485	621.4142894484596
gRNA_1953	Ccnd3	256.0124055914513	904.146806302903	919.5669792153482	507.3050283329239
gRNA_1961	Ccnd3	481.54714385058696	656.0208420564571	549.4187000641491	445.4385614630551
gRNA_1962	Ccnd3	421.0606963756836	853.3112428963141	750.6142803693305	815.2625523073817
gRNA_1963	Ccnd3	1109.8559780860169	1794.979536475509	3072.1017454291155	2404.543345675566
gRNA_1972	Cd79a	720.6796106118327	1072.3883137675664	1396.7616248109707	1076.4765235357165
gRNA_1973	Cd79a	1159.5580201971777	2188.3499675979233	2357.599492294048	2537.8999520395055
gRNA_1977	Cd79a	104.561843309329	106.5126090423768	92.8594986023914	133.35660636393933
gRNA_1978	Cd79a	198.33928125491556	139.19261408946969	168.95269884601768	280.46131647673843
gRNA_1980	Cd79b	272.89234442165684	398.21191335161325	185.7189972047828	276.3368853520805
gRNA_1981	Cd79b	1876.017646101459	3295.8390275271818	3060.4943081038164	3291.296037477018
gRNA_1983	Cd79b	1987.612797256707	2412.2685206983742	2716.1403341199484	2393.5448626764783
