sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_7765	Nf1	36.573/8.4726	980.18/35.745	22.523	507.96	4.4354	394.82	177.37	36.45	1	3.6519e-291	7.3038e-291	7.815e-288	True
gRNA_300	Apc	15.004/7.2622	2.5794/115.48	11.133	59.032	2.3068	29.971	60.621	6.1519	1	4.1439e-10	8.2877e-10	4.4339e-07	True
gRNA_6837	Map2k1	31.415/44.784	274.71/42.619	38.1	158.66	2.0298	89.355	400.78	6.0224	1	8.8468e-10	1.7694e-09	6.3107e-07	True
gRNA_9116	Pik3r3	130.82/88.357	650.02/116.86	109.59	383.44	1.7976	901.53	2115.9	5.9534	1	1.3246e-09	2.6491e-09	6.3594e-07	True
gRNA_4827	Gli1	27.664/76.253	375.31/31.621	51.959	203.46	1.9489	1180.4	651.29	5.9366	1	1.4858e-09	2.9717e-09	6.3594e-07	True
gRNA_3682	Ercc2	227.41/268.7	978.89/538.93	248.06	758.91	1.6094	852.51	7778.1	5.7924	1	3.4779e-09	6.9557e-09	1.2404e-06	True
gRNA_1343	Bap1	83.931/59.308	341.77/158.1	71.619	249.94	1.7889	303.14	1079.3	5.4279	1	2.8933e-08	5.7866e-08	8.8453e-06	True
gRNA_5776	Jak2	45.951/8.4726	167.66/42.619	27.212	105.14	1.9116	702.31	237.53	5.0564	1	2.2228e-07	4.4455e-07	5.9459e-05	True
gRNA_12587	Trp53	175.36/202.13	519.76/537.55	188.75	528.65	1.481	358.26	5026.8	4.7941	1	8.2008e-07	1.6402e-06	0.000195	True
gRNA_2671	Dnmt1	25.789/9.683	25.794/112.73	17.736	69.264	1.907	129.7	122.91	4.6479	1	1.774e-06	3.548e-06	0.00037963	True
gRNA_9114	Pik3r3	578.14/1192.2	1841.7/1912.4	885.18	1877	1.0836	1.8855e+05	59942	4.0512	0.99997	2.548e-05	5.0959e-05	0.0049569	True
gRNA_13269	ST	4.22/1.2104	2.5794/24.747	2.7152	13.663	1.9807	4.5289	7.7539	3.9316	0.99995	5.0518e-05	0.00010104	0.0090091	True
gRNA_12523	Trp53	143.95/135.56	402.39/296.96	139.75	349.68	1.3169	35.17	3114	3.7618	0.99992	8.486e-05	0.00016972	0.013404	True
gRNA_6744	Lats1	369.01/223.92	634.54/721.78	296.47	678.16	1.191	10526	10346	3.7525	0.99991	8.7688e-05	0.00017538	0.013404	True
gRNA_3033	Eif1ad19	32.822/30.259	24.505/167.73	31.541	96.116	1.5775	3.2841	298.65	3.7367	0.9999	9.6518e-05	0.00019304	0.013618	True
gRNA_12832	Tsc1	17.818/24.207	41.271/94.862	21.013	68.066	1.6497	20.414	159.4	3.7269	0.9999	0.00010182	0.00020363	0.013618	True
gRNA_1930	Ccnd1	198.34/497.46	915.7/621.41	347.9	768.56	1.1412	44737	13369	3.6381	0.99986	0.00013748	0.00027496	0.016548	True
gRNA_4622	Foxo1	274.77/259.02	588.11/625.54	266.89	606.82	1.182	124.01	8744.3	3.6352	0.99986	0.00013919	0.00027837	0.016548	True
gRNA_6064	Keap1	644.25/1594.1	2445.3/1901.4	1119.2	2173.3	0.95687	4.5107e+05	87453	3.5647	0.99982	0.00018213	0.00036427	0.020514	True
gRNA_6479	Kmt2d	815.39/721.38	1449.6/1631.9	768.39	1540.8	1.0028	4419.3	47734	3.5352	0.9998	0.00020376	0.00040751	0.021618	True
gRNA_1963	Ccnd3	1109.9/1795	3072.1/2404.5	1452.4	2738.3	0.91437	2.347e+05	1.3311e+05	3.5245	0.99979	0.00021214	0.00042428	0.021618	True
gRNA_1	Abl1	9.8466/4.8415	7.7383/46.744	7.3441	27.241	1.759	12.526	32.576	3.486	0.99973	0.00027207	0.00054414	0.025315	True
gRNA_12580	Trp53	273.83/229.97	673.23/448.19	251.9	560.71	1.1513	961.84	7971.8	3.4587	0.99973	0.00027205	0.0005441	0.025315	True
gRNA_12618	Trp53	33.291/26.628	110.92/61.866	29.96	86.391	1.4971	22.197	275.73	3.3985	0.99965	0.00035135	0.0007027	0.031329	True
gRNA_12548	Trp53	467.01/712.91	1351.6/1000.9	589.96	1176.2	0.99428	30233	31209	3.3187	0.99955	0.00045237	0.00090474	0.038723	True
gRNA_1552	Braf	117.22/38.732	117.36/266.71	77.977	192.04	1.2894	3080.3	1234.4	3.2465	0.99941	0.000592	0.001184	0.046972	True
gRNA_1283	B2m	795.7/879.94	1840.4/1354.2	837.82	1597.3	0.93011	3548	54865	3.2425	0.99941	0.00059263	0.0011853	0.046972	True
gRNA_7873	Nkx3-1	2209.4/2671.3	4806.8/3643.2	2440.3	4225	0.79162	1.0667e+05	3.0745e+05	3.2186	0.99936	0.00064406	0.0012881	0.049224	True
gRNA_67	Ago2	93.309/21.787	161.21/129.23	57.548	145.22	1.3205	2557.7	764.68	3.1706	0.99922	0.00077517	0.0015503	0.057202	True
gRNA_5228	Igf1r	82.524/15.735	72.224/180.1	49.129	126.16	1.3429	2230.4	596.52	3.154	0.99918	0.00082348	0.001647	0.058741	True
