sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_13261	ST	2.0142/5.05	162.03/571.23/516.76	3.5321	516.76	6.836	4.6077	10.88	155.59	1	0	0	0	True
gRNA_9624	Prkd1	5.0356/2.525	511.03/354.28/424.31	3.7803	424.31	6.4753	3.1517	11.961	121.59	1	0	0	0	True
gRNA_13273	ST	4.0285/5.05	560.2/459.62/75.855	4.5392	459.62	6.3777	0.52169	15.463	115.73	1	0	0	0	True
gRNA_5912	Kdm6a	38.271/45.45	2205.5/2392.1/197.54	41.86	2205.5	5.686	25.768	407.72	107.15	1	0	0	0	True
gRNA_2270	Crebbp	38.271/22.725	1404.3/2742/447.23	30.498	1404.3	5.4795	120.84	252.29	86.492	1	0	0	0	True
gRNA_13268	ST	18.128/5.05	845.49/664.03/662.15	11.589	664.03	5.7232	85.521	59.648	84.478	1	0	0	0	True
gRNA_1109	Atr	25.178/93.424	1812.2/2554.5/1279.3	59.301	1812.2	4.9102	2328.8	693.75	66.549	1	0	0	0	True
gRNA_10406	Rasa1	17.121/12.625	842.03/619.51/54.521	14.873	619.51	5.2888	10.108	86.162	65.139	1	0	0	0	True
gRNA_829	Arid2	92.655/37.875	1240.9/1960.1/1908.2	65.265	1908.2	4.8486	1500.5	803.47	65.018	1	0	0	0	True
gRNA_13269	ST	9.0641/2.525	302.6/304.74/214.92	5.7945	302.6	5.4817	21.38	21.863	63.477	1	0	0	0	True
gRNA_8513	Pax5	341.42/68.174	2544.1/6729.4/4472.3	204.79	4472.3	4.4421	37330	4704	62.222	1	0	0	0	True
gRNA_6895	Map2k4	26.185/12.625	1094.1/685.98/349.25	19.405	685.98	5.0733	91.942	127.95	58.929	1	0	0	0	True
gRNA_3626	Erbb4	128.91/60.599	3980.2/1152.5/2098.7	94.756	2098.7	4.4547	2333.3	1425.5	53.075	1	0	0	0	True
gRNA_4447	Flt3	41.292/75.749	1583.6/1395.8/330.29	58.521	1395.8	4.5526	593.65	679.82	51.288	1	0	0	0	True
gRNA_10770	Ros1	5.0356/5.05	218.12/274.64/44.249	5.0428	218.12	5.1804	0.00010269	17.943	50.303	1	0	0	0	True
gRNA_12243	Tbx3	64.456/20.2	1555.9/1064.1/361.89	42.328	1064.1	4.6195	979.3	414.67	50.176	1	0	0	0	True
gRNA_3908	Etv6	310.19/224.72	2469.3/4307.7/6451.6	267.46	4307.7	4.0045	3652.7	7128.3	47.854	1	0	0	0	True
gRNA_1569	Braf	539.82/358.55	2181.2/12798/6278.6	449.18	6278.6	3.8021	16430	16018	46.059	1	0	0	0	True
gRNA_6383	Kmt2c	873.18/962.02	9839.8/10729/18372	917.6	10729	3.546	3946.2	49067	44.291	1	0	0	0	True
gRNA_2268	Crebbp	159.13/27.775	1736.7/2843/829.66	93.45	1736.7	4.2015	8626.5	1395.4	43.99	1	0	0	0	True
gRNA_1588	Brca2	226.6/27.775	2321.1/1701.2/2128.7	127.19	2128.7	4.0543	19766	2246.4	42.229	1	0	0	0	True
gRNA_8813	Pik3ca	5.0356/2.525	244.44/149.23/48.2	3.7803	149.23	4.974	3.1517	11.961	42.057	1	0	0	0	True
gRNA_9881	Ptprd	0/0	38.777/64.585/14.223	0.50356	38.777	4.7255	0	0.84169	41.718	1	0	0	0	True
gRNA_3	Abl1	1.0071/0	36.7/186.86/19.754	0.50356	36.7	4.6481	0.50715	0.84169	39.454	1	0	0	0	True
gRNA_3985	Ezh2	142/45.45	2547.5/1553.2/726.15	93.727	1553.2	4.0362	4661.4	1401.7	38.981	1	0	0	0	True
gRNA_8862	Pik3ca	2.0142/15.15	330.99/244.54/58.472	8.5821	244.54	4.6795	86.272	38.476	38.041	1	6.6668e-317	1.3334e-316	5.4873e-315	True
gRNA_3805	Erg	32.228/0	763.09/379.98/237.05	16.114	379.98	4.4765	519.32	97.03	36.94	1	5.5989e-299	1.1198e-298	4.4376e-297	True
gRNA_3806	Erg	90.641/42.925	853.1/1013.9/1159.2	66.783	1013.9	3.9043	1138.4	832.3	32.83	1	1.1086e-236	2.2172e-236	8.4728e-235	True
gRNA_1552	Braf	251.78/80.799	2065.6/1409/2879.3	166.29	2065.6	3.6268	14617	3403.5	32.556	1	8.5923e-233	1.7185e-232	6.3405e-231	True
gRNA_1018	Atm	107.76/47.975	1119/1466.6/538.1	77.868	1119	3.8279	1787.3	1053.7	32.074	1	5.1428e-226	1.0286e-225	3.6685e-224	True
gRNA_9876	Ptprd	41.292/7.5749	247.21/503.51/437.75	24.434	437.75	4.1086	568.42	180.66	30.75	1	6.3669e-208	1.2734e-207	4.3952e-206	True
gRNA_8869	Pik3ca	67.477/50.5	843.41/1030.8/106.67	58.988	843.41	3.8152	144.12	688.16	29.902	1	9.2773e-197	1.8555e-196	6.2042e-195	True
gRNA_11099	Setd2	141/166.65	1572.6/1754.4/2592.5	153.82	1754.4	3.5031	328.99	3015.9	29.146	1	4.6525e-187	9.305e-187	3.0171e-185	True
