id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Vhl	13	8.1117e-05	0.00072298	0.166284	1	7	-0.95507	0.63896	0.75966	0.997352	135	1	-0.95507
Smarca4	7	0.0003489	0.0018598	0.213876	2	4	-0.90382	0.98847	0.98835	0.997352	225	0	-0.90382
Arid1a	3	0.0014038	0.0037545	0.287844	3	2	-0.90933	0.96731	0.96682	0.997352	214	0	-0.90933
Ctnnb1	9	0.0014687	0.007125	0.327752	4	4	-0.35444	0.57751	0.66006	0.997352	126	1	-0.35444
Traf7	2	0.0027005	0.0055195	0.317374	5	2	-1.3452	0.9973	0.99735	0.997352	230	0	-1.3452
non_target	10	0.0041273	0.018892	0.62074	6	3	-0.45104	0.69151	0.74122	0.997352	150	1	-0.45104
Crebbp	17	0.0062932	0.031956	0.689846	7	8	-0.59826	0.257	0.48973	0.997352	71	1	-0.59826
Cbl	6	0.0071978	0.025304	0.689846	8	3	-0.60921	0.84999	0.8509	0.997352	184	0	-0.60921
Rhoa	8	0.011181	0.040871	0.717972	9	2	-0.024653	0.83673	0.83552	0.997352	180	0	-0.024653
Cdk8	1	0.01264	0.01247	0.47802	10	1	-1.7259	0.98736	0.98747	0.997352	224	0	-1.7259
Rad21	2	0.017803	0.032993	0.689846	11	2	-1.0757	0.9822	0.98168	0.997352	221	0	-1.0757
Cd79b	5	0.018812	0.049127	0.753287	12	3	-0.62119	0.93796	0.93858	0.997352	208	0	-0.62119
Pik3cd	2	0.021199	0.039345	0.717972	13	2	-0.95003	0.9788	0.97834	0.997352	218	0	-0.95003
Sh2b3	1	0.027622	0.027717	0.689846	14	1	-1.4228	0.97238	0.9727	0.997352	216	0	-1.4228
Arid1b	8	0.02998	0.087899	0.890362	15	3	-0.46329	0.9043	0.90362	0.997352	194	0	-0.46329
Fbxw7	12	0.032095	0.10807	0.890362	16	4	-0.18933	0.93118	0.93074	0.997352	203	0	-0.18933
Ctcf	8	0.033013	0.095009	0.890362	17	3	-0.32476	0.98241	0.98201	0.997352	222	0	-0.32476
Pik3cb	5	0.039119	0.092516	0.890362	18	3	-0.68207	0.98911	0.9891	0.997352	227	0	-0.68207
Dnmt1	1	0.043539	0.043703	0.717972	19	1	-1.2925	0.95646	0.95702	0.997352	212	0	-1.2925
Kmt2b	3	0.052624	0.093842	0.890362	20	2	-0.78544	0.95442	0.95395	0.997352	211	0	-0.78544
Bcor	6	0.053195	0.12497	0.890362	21	3	-0.63424	0.98889	0.98898	0.997352	226	0	-0.63424
Stat6	4	0.053857	0.10621	0.890362	22	2	-0.66471	0.98194	0.9824	0.997352	220	0	-0.66471
Nf2	1	0.055712	0.055829	0.802537	23	1	-1.146	0.94429	0.94452	0.997352	209	0	-1.146
Jak2	5	0.059295	0.13386	0.890362	24	3	-0.61301	0.99699	0.99699	0.997352	229	0	-0.61301
Mga	6	0.066417	0.14831	0.890362	25	3	-0.043015	0.17273	0.27537	0.997352	51	2	-0.043015
Foxa1	13	0.070971	0.20345	0.952362	26	4	-0.060229	0.8111	0.84514	0.997352	176	1	-0.060229
Brca1	1	0.074438	0.074825	0.890362	27	1	-1.0467	0.92556	0.92619	0.997352	201	0	-1.0467
Asxl2	3	0.075248	0.12976	0.890362	28	2	-0.70066	0.91175	0.91162	0.997352	197	0	-0.70066
Ezh2	4	0.076718	0.1381	0.890362	29	2	-0.54935	0.96004	0.95972	0.997352	213	0	-0.54935
Map2k4	5	0.079288	0.16053	0.890362	30	2	0.20791	0.39305	0.43472	0.997352	92	1	0.20791
Cul3	3	0.080024	0.1375	0.890362	31	2	-0.67972	0.77818	0.77908	0.997352	169	0	-0.67972
Pax5	3	0.083251	0.14276	0.890362	32	1	0.15434	0.58363	0.58234	0.997352	127	0	0.15434
Cbfb	3	0.084098	0.14408	0.890362	33	2	-0.66196	0.99084	0.99082	0.997352	228	0	-0.66196
Phf6	3	0.085752	0.14642	0.890362	34	2	-0.65548	0.97659	0.97627	0.997352	217	0	-0.65548
Drosha	3	0.090792	0.15428	0.890362	35	2	-0.64734	0.88689	0.88772	0.997352	192	0	-0.64734
Gnas	4	0.095618	0.16396	0.890362	36	1	-0.090503	0.70589	0.70553	0.997352	155	0	-0.090503
Fgfr1	3	0.096441	0.16318	0.890362	37	1	-0.56921	0.98008	0.9799	0.997352	219	0	-0.56921
Atm	21	0.096634	0.28921	0.967057	38	6	0.073548	0.45581	0.7019	0.997352	102	3	0.073548
Elf3	3	0.098576	0.16646	0.890362	39	2	-0.63078	0.81686	0.81703	0.997352	177	0	-0.63078
Ptprd	4	0.10266	0.17429	0.8908	40	2	-0.63564	0.97026	0.97078	0.997352	215	0	-0.63564
Smc1a	2	0.10301	0.12667	0.890362	41	1	-0.80862	0.91978	0.9193	0.997352	198	0	-0.80862
Igf1r	5	0.10956	0.19787	0.952362	42	1	0.13311	0.54718	0.55383	0.997352	122	1	0.13311
Socs1	2	0.11009	0.13197	0.890362	43	1	0.11227	0.15886	0.16792	0.90771	46	1	0.11227
Negr1	1	0.11751	0.11803	0.890362	44	1	-0.85693	0.88249	0.8833	0.997352	191	0	-0.85693
Fgfr3	6	0.12873	0.24176	0.967057	45	2	0.077326	0.26661	0.38629	0.997352	72	2	0.077326
