id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Vhl	13	1.6068e-05	0.00013462	0.018922	1	7	-0.63937	0.87788	0.87616	0.996365	190	1	-0.63937
Ctnnb1	9	3.6657e-05	0.00016454	0.018922	2	5	-0.75447	0.99404	0.99371	0.996365	229	0	-0.75447
Rad21	2	0.0035351	0.007125	0.546254	3	2	-0.85072	0.99646	0.99637	0.996365	230	0	-0.85072
Smarca4	7	0.0065862	0.017386	0.63943	4	2	-0.38323	0.90281	0.90338	0.996365	200	0	-0.38323
Arid1b	8	0.011181	0.028685	0.63943	5	2	-0.10069	0.99103	0.99089	0.996365	228	0	-0.10069
Atr	4	0.012584	0.024935	0.63943	6	2	-0.46166	0.79968	0.79975	0.996365	170	0	-0.46166
Ezh2	4	0.013044	0.025593	0.63943	7	1	-0.33749	0.83517	0.83541	0.996365	179	0	-0.33749
Dis3	5	0.015279	0.029961	0.63943	8	2	-0.47834	0.23797	0.31151	0.996365	59	1	-0.47834
Sh2b3	1	0.020131	0.020358	0.63943	9	1	-1.1135	0.97987	0.97974	0.996365	224	0	-1.1135
Max	1	0.025749	0.025803	0.63943	10	1	-0.95694	0.97425	0.9744	0.996365	219	0	-0.95694
Map3k1	4	0.025877	0.046904	0.77056	11	2	-0.47853	0.88007	0.88047	0.996365	192	0	-0.47853
Socs1	2	0.026969	0.031766	0.63943	12	1	-0.08421	0.1416	0.14887	0.959168	39	1	-0.08421
Traf7	2	0.028816	0.033362	0.63943	13	1	-0.76184	0.9463	0.94569	0.996365	208	0	-0.76184
Map2k1	10	0.041362	0.096206	0.902072	14	3	0.59853	0.0031498	0.013796	0.396646	8	5	0.59853
Nkx3-1	1	0.041667	0.041738	0.738444	15	1	-0.79802	0.95833	0.95885	0.996365	212	0	-0.79802
Pik3r3	3	0.045636	0.057544	0.806462	16	1	1.0134	0.0014038	0.0037545	0.172706	4	2	1.0134
Foxa1	13	0.045696	0.10741	0.902072	17	3	-0.23566	0.54339	0.68039	0.996365	109	1	-0.23566
Cbfb	3	0.048356	0.059608	0.806462	18	1	-0.54912	0.9877	0.98771	0.996365	227	0	-0.54912
Smc1a	2	0.05448	0.057554	0.806462	19	1	-0.67824	0.96405	0.96366	0.996365	216	0	-0.67824
Ctcf	8	0.054818	0.10102	0.902072	20	2	-0.050377	0.23695	0.36269	0.996365	58	1	-0.050377
Stk11	3	0.056486	0.067317	0.860155	21	1	-0.087964	0.85545	0.85615	0.996365	183	0	-0.087964
Kmt2b	3	0.06188	0.071764	0.868723	22	1	-0.44465	0.95187	0.95144	0.996365	210	0	-0.44465
Irs1	6	0.063401	0.1086	0.902072	23	2	0.19749	0.080628	0.1551	0.959168	31	2	0.19749
Abl1	3	0.083251	0.091638	0.902072	24	1	-0.19333	0.33008	0.33186	0.996365	74	1	-0.19333
Etv6	9	0.088596	0.15143	0.973347	25	2	-0.2247	0.48774	0.58791	0.996365	101	1	-0.2247
Tgfbr1	2	0.095898	0.09807	0.902072	26	1	-0.37996	0.71064	0.70882	0.996365	142	0	-0.37996
Arid1a	3	0.096441	0.10404	0.902072	27	1	-0.30551	0.87465	0.87562	0.996365	188	0	-0.30551
Braf	11	0.10298	0.18178	0.973347	28	1	-0.27893	0.97715	0.97766	0.996365	223	0	-0.27893
Med12	1	0.10346	0.10395	0.902072	29	0	-0.57061	0.89654	0.89761	0.996365	198	0	-0.57061
Hras	1	0.10908	0.10982	0.902072	30	0	-0.55674	0.89092	0.89193	0.996365	195	0	-0.55674
Ercc2	18	0.11906	0.24103	0.973347	31	3	-0.071731	0.84906	0.89649	0.996365	182	1	-0.071731
Fas	2	0.12241	0.1227	0.973149	32	1	-0.4058	0.80592	0.80317	0.996365	173	0	-0.4058
Setd2	6	0.12497	0.16679	0.973347	33	1	-0.16161	0.79886	0.79875	0.996365	169	0	-0.16161
Ccnd1	4	0.12985	0.1422	0.973347	34	1	0.22118	0.51883	0.51757	0.996365	106	0	0.22118
Fyn	1	0.13249	0.13304	0.973347	35	0	-0.51786	0.86751	0.86851	0.996365	186	0	-0.51786
Map2k4	5	0.14317	0.16521	0.973347	36	1	-0.24523	0.78886	0.78923	0.996365	167	0	-0.24523
Rasa1	2	0.14507	0.14506	0.973347	37	1	-0.034415	0.30321	0.30198	0.996365	70	0	-0.034415
non_target	10	0.15087	0.23918	0.973347	38	2	-0.45991	0.96374	0.96469	0.996365	215	0	-0.45991
Inha	3	0.15298	0.1558	0.973347	39	1	1.2095	0.0083838	0.018264	0.412462	12	2	1.2095
Runx1	7	0.15563	0.20919	0.973347	40	1	-0.32831	0.012773	0.040163	0.513188	15	2	-0.32831
Nf2	1	0.17088	0.17068	0.973347	41	0	-0.4511	0.82912	0.82982	0.996365	178	0	-0.4511
Suz12	1	0.1765	0.17633	0.973347	42	0	-0.44419	0.8235	0.82448	0.996365	175	0	-0.44419
Epha7	5	0.19562	0.20831	0.973347	43	1	-0.27177	0.80709	0.80713	0.996365	174	0	-0.27177
Recql	4	0.20175	0.20545	0.973347	44	1	-0.31312	0.7333	0.73258	0.996365	147	0	-0.31312
Btk	1	0.2074	0.20704	0.973347	45	0	-0.39145	0.7926	0.79429	0.996365	168	0	-0.39145
Sox2	1	0.21208	0.2115	0.973347	46	0	-0.37996	0.78792	0.78989	0.996365	166	0	-0.37996
Pik3cd	2	0.21624	0.21658	0.973347	47	0	-0.52642	0.98144	0.98079	0.996365	225	0	-0.52642
Amer1	1	0.22238	0.22196	0.973347	48	0	-0.35806	0.77762	0.77963	0.996365	163	0	-0.35806
Brca1	1	0.22987	0.22974	0.973347	49	0	-0.34596	0.77013	0.77186	0.996365	161	0	-0.34596
Rhoa	8	0.23102	0.27969	0.973347	50	1	0.21706	0.59973	0.62675	0.996365	124	1	0.21706
Sdha	2	0.23274	0.23284	0.973347	51	0	-0.40946	0.92601	0.92521	0.996365	206	0	-0.40946
Ikzf1	1	0.23361	0.23341	0.973347	52	0	-0.34049	0.76639	0.76819	0.996365	159	0	-0.34049
Klf4	2	0.23601	0.23605	0.973347	53	0	-0.35849	0.87965	0.87852	0.996365	191	0	-0.35849
Pik3r1	6	0.23888	0.25479	0.973347	54	1	-0.010201	0.86756	0.86897	0.996365	187	0	-0.010201
Inpp4a	4	0.23903	0.23951	0.973347	55	1	-0.45441	0.96071	0.96051	0.996365	214	0	-0.45441
Pms2	1	0.24017	0.23999	0.973347	56	0	-0.33522	0.75983	0.76159	0.996365	158	0	-0.33522
Apc	4	0.24208	0.24254	0.973347	57	1	-0.19688	0.82728	0.82771	0.996365	177	0	-0.19688
Ago2	1	0.24298	0.24287	0.973347	58	0	-0.2988	0.75702	0.75863	0.996365	157	0	-0.2988
Ankrd11	3	0.24731	0.24633	0.973347	59	0	-0.57729	0.89892	0.89889	0.996365	199	0	-0.57729
Dicer1	1	0.25515	0.2552	0.973347	60	0	-0.31885	0.74485	0.7464	0.996365	153	0	-0.31885
Notch2	1	0.2617	0.26186	0.973347	61	0	-0.31092	0.7383	0.73983	0.996365	149	0	-0.31092
Nfe2l2	8	0.27737	0.31262	0.973347	62	1	-0.26331	0.9062	0.9056	0.996365	201	0	-0.26331
Prdm1	1	0.28137	0.28167	0.973347	63	0	-0.28146	0.71863	0.71984	0.996365	143	0	-0.28146
Rara	4	0.2896	0.28815	0.973347	64	1	0.38549	0.03837	0.07306	0.763814	24	2	0.38549
Cdk8	1	0.28979	0.29014	0.973347	65	0	-0.25818	0.71021	0.71102	0.996365	141	0	-0.25818
Gna13	1	0.3132	0.31355	0.973347	66	0	-0.23037	0.6868	0.68815	0.996365	140	0	-0.23037
Bcor	6	0.31596	0.32071	0.973347	67	1	-0.38305	0.975	0.97494	0.996365	220	0	-0.38305
Kit	10	0.32063	0.37486	0.973347	68	1	-0.14188	0.29921	0.45045	0.996365	69	2	-0.14188
Ptpn11	5	0.32075	0.3237	0.973347	69	1	-0.16543	0.65047	0.65103	0.996365	134	0	-0.16543
Ntrk2	1	0.33661	0.33694	0.973347	70	0	-0.20476	0.66339	0.66583	0.996365	136	0	-0.20476
Setd6	1	0.35346	0.35419	0.973347	71	0	-0.19123	0.64654	0.64935	0.996365	133	0	-0.19123
Shq1	1	0.3544	0.35514	0.973347	72	0	-0.18618	0.6456	0.64842	0.996365	132	0	-0.18618
Lats1	4	0.35664	0.3554	0.973347	73	0	0.64701	0.057594	0.10181	0.940321	27	2	0.64701
Stat3	10	0.35928	0.40072	0.973347	74	1	-0.022381	0.13143	0.26615	0.996365	37	3	-0.022381
Gnas	4	0.362	0.36057	0.973347	75	0	-0.028668	0.16964	0.22727	0.993054	45	1	-0.028668
Dtx1	2	0.36434	0.36266	0.973347	76	0	-0.28247	0.85584	0.85404	0.996365	184	0	-0.28247
Fgfr3	6	0.36749	0.36897	0.973347	77	1	-0.069487	0.43346	0.47042	0.996365	93	1	-0.069487
Smad4	15	0.38	0.49829	0.973347	78	1	0.43358	0.092306	0.23524	0.996365	33	4	0.43358
Fgfr1	3	0.38445	0.38314	0.973347	79	0	-0.25399	0.94844	0.94806	0.996365	209	0	-0.25399
Ccnd3	4	0.39349	0.39099	0.973347	80	0	0.069216	0.54841	0.54719	0.996365	111	0	0.069216
Tnfrsf10b	1	0.39373	0.39403	0.973347	81	0	-0.1546	0.60627	0.60789	0.996365	126	0	-0.1546
Kdm5c	5	0.39618	0.39838	0.973347	82	0	0.072777	0.67784	0.67844	0.996365	138	0	0.072777
Trp53	64	0.40035	0.69918	0.973347	83	3	0.155	0.028378	0.15155	0.959168	23	14	0.155
Gnb1	2	0.40401	0.40215	0.973347	84	0	0.10793	0.32184	0.32066	0.996365	73	0	0.10793
Tshr	1	0.40496	0.40488	0.973347	85	0	-0.13885	0.59504	0.59624	0.996365	123	0	-0.13885
Fgfr4	1	0.40777	0.40782	0.973347	86	0	-0.13805	0.59223	0.59337	0.996365	121	0	-0.13805
Epha3	4	0.40878	0.40625	0.973347	87	0	-0.043323	0.56269	0.56235	0.996365	114	0	-0.043323
Flt1	3	0.41247	0.41081	0.973347	88	0	-0.38166	0.66261	0.66236	0.996365	135	0	-0.38166
Erbb2	8	0.41627	0.4213	0.973347	89	1	-0.15308	0.95942	0.95887	0.996365	213	0	-0.15308
Jak3	1	0.41994	0.42039	0.973347	90	0	-0.12234	0.58006	0.58118	0.996365	118	0	-0.12234
Mga	6	0.42643	0.42661	0.973347	91	0	-0.10731	0.859	0.86015	0.996365	185	0	-0.10731
Brca2	4	0.42873	0.42619	0.973347	92	0	-0.39164	0.94402	0.94316	0.996365	207	0	-0.39164
Kmt2c	2	0.43539	0.43365	0.973347	93	0	-0.28947	0.90768	0.90707	0.996365	202	0	-0.28947
Tbx3	3	0.4358	0.43487	0.973347	94	0	-0.13861	0.89207	0.89266	0.996365	196	0	-0.13861
Cd79a	4	0.44576	0.44375	0.973347	95	0	-0.08942	0.29249	0.31637	0.996365	65	1	-0.08942
Met	5	0.4475	0.44951	0.973347	96	0	-0.059432	0.73883	0.739	0.996365	150	0	-0.059432
Phf6	3	0.45101	0.4506	0.973347	97	0	0.6142	0.19501	0.21502	0.993054	47	1	0.6142
Kras	2	0.46044	0.4579	0.973347	98	0	0.23864	0.22121	0.22307	0.993054	53	1	0.23864
Rad51c	2	0.46455	0.46162	0.973347	99	0	-0.014229	0.51406	0.51118	0.996365	105	0	-0.014229
Ptprd	4	0.46476	0.46303	0.973347	100	0	-0.040996	0.9109	0.9096	0.996365	203	0	-0.040996
Keap1	6	0.46756	0.46858	0.973347	101	0	0.45713	0.0068468	0.023689	0.412462	9	3	0.45713
Asxl2	3	0.47878	0.47716	0.973347	102	0	-0.25747	0.96788	0.96735	0.996365	218	0	-0.25747
Foxo1	4	0.48554	0.48339	0.973347	103	0	0.59318	0.42626	0.42739	0.996365	92	1	0.59318
Chek2	3	0.48782	0.48622	0.973347	104	0	-0.023215	0.60518	0.6049	0.996365	125	0	-0.023215
Pot1b	2	0.48894	0.486	0.973347	105	0	-0.16715	0.76793	0.76514	0.996365	160	0	-0.16715
Upf1	1	0.49298	0.4928	0.973347	106	0	-0.045315	0.50702	0.50708	0.996365	104	0	-0.045315
Tet2	4	0.49682	0.49476	0.973347	107	0	-0.16711	0.87621	0.87686	0.996365	189	0	-0.16711
Pik3cg	4	0.49906	0.49697	0.973347	108	0	-0.0057079	0.57267	0.57233	0.996365	116	0	-0.0057079
Dnmt1	1	0.5014	0.50147	0.973347	109	0	-0.010526	0.4986	0.49849	0.996365	103	0	-0.010526
Inppl1	2	0.50619	0.50334	0.973347	110	0	0.048553	0.47138	0.46825	0.996365	99	0	0.048553
Akt1	3	0.5091	0.50673	0.973347	111	0	0.19344	0.38242	0.38123	0.996365	83	1	0.19344
U2af1	4	0.51449	0.51308	0.973347	112	0	0.19635	0.59212	0.59154	0.996365	120	0	0.19635
Fbxw7	12	0.51501	0.53143	0.973347	113	1	-0.0815	0.91403	0.91375	0.996365	204	0	-0.0815
Nsd1	4	0.52314	0.52198	0.973347	114	0	0.00047649	0.39862	0.40261	0.996365	87	1	0.00047649
Pik3cb	5	0.52438	0.52624	0.973347	115	0	-0.32924	0.74042	0.74066	0.996365	151	0	-0.32924
Pax5	3	0.52807	0.52615	0.973347	116	0	-0.16113	0.84597	0.84695	0.996365	180	0	-0.16113
Smc3	1	0.52856	0.52833	0.973347	117	0	-0.0017457	0.47144	0.47122	0.996365	100	0	-0.0017457
