sgRNA	Gene	input_rep1	input_rep2	input_rep3	d5_rep1	d5_rep2	d5_rep3
gRNA_1	Abl1	45.83701937263818	341.9479693092558	380.7199048607842	253.84431688845586	293.6204964486636	481.34815533449137
gRNA_2	Abl1	3.819751614386515	245.45306290143844	52.77305611931662	112.29250155190259	96.86449367378592	110.93928913423515
gRNA_3	Abl1	3.819751614386515	202.35825033095688	136.64452030894483	162.90320647670376	34.810677414016816	237.46508996501572
gRNA_67	Ago2	59.20615002299098	184.55821905184493	52.77305611931662	56.93704304040131	68.86460097120717	80.68311937035284
gRNA_84	Akt1	506.11708890621327	473.1060945237649	311.9264567052465	397.76850901835917	777.9429648175932	390.5796460428444
gRNA_85	Akt1	179.5283258761662	216.41090660394	65.02394414701513	128.10834684090295	87.02669353504203	145.77972704416024
gRNA_95	Akt1	28.64813710789886	125.53706270531585	81.04433618323624	51.40149718925119	174.81014092691052	181.53701858329387
gRNA_120	Akt3	475.5590759911211	755.0960637349594	399.5674249033973	236.44688707055545	827.888719368139	566.615542850887
gRNA_121	Akt3	175.7085742617797	386.91646938280184	231.82449652414087	434.93574544751004	378.3769284132262	140.2786052689089
gRNA_122	Akt3	129.87155488914152	373.8006568613509	222.40073650283435	203.23361196365468	226.2694031911093	399.74818233492994
gRNA_196	Alk	156.60981618984712	562.1062509193247	454.2252330269752	641.3325264689648	157.4048022199021	543.6942021206731
gRNA_197	Alk	305.5801291509212	769.1487200079426	597.4663853508346	645.2864877912149	609.1868547452942	686.7233682772077
gRNA_198	Alk	137.51105811791456	651.1064073148844	602.1782653614879	525.8768558592622	721.9431794124356	887.5143130738812
gRNA_235	Amer1	1016.053929426813	897.496313967855	1406.0249951789358	581.2323143707634	999.6718448677437	856.3412896807903
gRNA_283	Ankrd11	1657.7722006437475	933.096376526079	1243.9363228124632	1481.1539113148842	706.0513484190801	779.3255848272717
gRNA_284	Ankrd11	1184.1230004598197	677.3380323577862	937.6641221200007	630.2614347666646	744.6457951172292	722.4806598163414
gRNA_285	Ankrd11	1361.7414505287927	902.1805327255161	1279.7466108934282	1074.686687387575	1001.942106438223	1108.476037713143
gRNA_292	Apc	590.1516244227166	902.1805327255161	980.0710422158801	831.1226699369691	912.6451513327016	971.8648469610682
