id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ctnnb1	9	2.9204e-05	0.00017451	0.040138	1	8	-1.6438	0.46883	0.60903	0.962116	117	1	-1.6438
non_target	10	0.00031751	0.0022487	0.172401	2	8	-1.2405	0.99264	0.99307	0.999516	227	0	-1.2405
Stat6	4	0.00054927	0.0022487	0.172401	3	4	-1.857	0.99945	0.99952	0.999516	230	0	-1.857
Ctcf	8	0.0010122	0.0050708	0.233257	4	3	-0.49578	0.74455	0.756	0.962116	172	1	-0.49578
Traf7	2	0.0018957	0.0039639	0.227924	5	2	-2.6975	0.9981	0.99821	0.999516	229	0	-2.6975
Smarca4	7	0.0020898	0.010157	0.389335	6	3	-0.4309	0.88867	0.88915	0.972243	209	0	-0.4309
Akt1	3	0.006518	0.017317	0.568971	7	3	-1.4336	0.99348	0.99333	0.999516	228	0	-1.4336
Arid1a	3	0.0097993	0.025783	0.741256	8	1	-0.13572	0.79327	0.7944	0.962116	180	0	-0.13572
Arid1b	8	0.011181	0.046405	0.809763	9	3	0.24618	0.78462	0.78734	0.962116	179	1	0.24618
Vhl	13	0.011642	0.058102	0.809763	10	5	-0.23012	0.42261	0.62978	0.962116	108	2	-0.23012
Dis3	5	0.011649	0.03765	0.809763	11	3	-0.62521	0.95337	0.95345	0.979709	221	0	-0.62521
Pik3ca	35	0.016256	0.10284	0.809763	12	11	-0.010086	0.50923	0.81471	0.962116	128	4	-0.010086
Drosha	3	0.0299	0.071056	0.809763	13	2	-1.3842	0.89014	0.89074	0.972243	211	0	-1.3842
Card11	5	0.031063	0.091349	0.809763	14	3	-1.0776	0.15141	0.24522	0.942833	46	1	-1.0776
Ntrk3	4	0.033294	0.082843	0.809763	15	3	-1.0064	0.362	0.39334	0.942833	95	1	-1.0064
Map2k1	10	0.034921	0.12489	0.809763	16	4	0.90421	0.0040274	0.018374	0.52824	4	5	0.90421
Klf4	2	0.036183	0.065272	0.809763	17	1	-0.93357	0.36732	0.36581	0.942833	97	0	-0.93357
Pik3r1	6	0.040061	0.11591	0.809763	18	3	-0.079564	0.54541	0.582	0.962116	133	1	-0.079564
Smc1a	2	0.041094	0.074038	0.809763	19	2	-1.6623	0.95891	0.95841	0.979709	224	0	-1.6623
Max	1	0.044476	0.04468	0.809763	20	1	-1.9923	0.95552	0.95584	0.979709	223	0	-1.9923
Foxa1	13	0.04757	0.17212	0.809763	21	6	-0.48455	0.030007	0.107	0.942833	12	3	-0.48455
B2m	5	0.048932	0.1248	0.809763	22	3	-0.93971	0.8145	0.81474	0.962116	190	0	-0.93971
Pot1b	2	0.05241	0.093284	0.809763	23	2	-0.88469	0.94759	0.94689	0.979709	220	0	-0.88469
Bcor	6	0.053195	0.14721	0.809763	24	3	-0.80403	0.8405	0.84127	0.962116	200	0	-0.80403
Ezh2	4	0.053211	0.1237	0.809763	25	1	-0.29909	0.24814	0.31563	0.942833	68	1	-0.29909
Rara	4	0.057623	0.13245	0.809763	26	3	-0.75656	0.22056	0.29825	0.942833	62	1	-0.75656
Gnas	4	0.06395	0.14482	0.809763	27	1	-0.027606	0.92195	0.9212	0.977429	216	0	-0.027606
Pik3cg	4	0.067509	0.1518	0.809763	28	2	-0.55429	0.046001	0.092057	0.942833	16	1	-0.55429
Egfr	7	0.072983	0.19173	0.809763	29	2	0.31301	0.24742	0.38087	0.942833	67	2	0.31301
Kmt2d	11	0.074591	0.2285	0.821155	30	4	0.19295	0.091621	0.22477	0.942833	33	4	0.19295
Rb1	8	0.075998	0.20727	0.809763	31	4	-0.45414	0.95896	0.95838	0.979709	225	0	-0.45414
Rhoa	8	0.076467	0.20818	0.809763	32	3	-0.20753	0.81398	0.81341	0.962116	188	1	-0.20753
Crebbp	17	0.082336	0.27526	0.867271	33	5	-0.29776	0.83848	0.91202	0.977429	198	2	-0.29776
Smc3	1	0.083801	0.084269	0.809763	34	1	-1.5246	0.9162	0.91666	0.977429	215	0	-1.5246
Cic	3	0.089944	0.15992	0.809763	35	2	-0.95756	0.95513	0.9548	0.979709	222	0	-0.95756
Gnb1	2	0.090548	0.15607	0.809763	36	1	-0.8704	0.65589	0.65413	0.962116	155	0	-0.8704
Inha	3	0.09118	0.16182	0.809763	37	1	1.0662	0.059538	0.10432	0.942833	23	2	1.0662
Tsc1	3	0.093813	0.16582	0.809763	38	1	-0.55055	0.62887	0.62829	0.962116	152	0	-0.55055
Mlh1	1	0.098783	0.099337	0.809763	39	1	-1.4277	0.90122	0.90216	0.974162	214	0	-1.4277
Map2k4	5	0.10099	0.2164	0.809763	40	1	0.30478	0.092359	0.17251	0.942833	34	1	0.30478
Xiap	2	0.10478	0.16657	0.809763	41	1	-1.0448	0.84127	0.83985	0.962116	201	0	-1.0448
Nsd1	4	0.10505	0.20858	0.809763	42	2	-0.80629	0.071058	0.12774	0.942833	27	1	-0.80629
Pms2	1	0.10908	0.10982	0.809763	43	1	-1.3579	0.89092	0.89193	0.972243	212	0	-1.3579
Kdm6a	1	0.11002	0.11081	0.809763	44	1	-1.35	0.88998	0.89103	0.972243	210	0	-1.35
Cdk12	2	0.11009	0.17009	0.809763	45	1	-0.27616	0.2046	0.21208	0.942833	58	1	-0.27616
Fbxw7	12	0.11652	0.32223	0.895264	46	6	-0.39275	0.39793	0.60321	0.962116	100	3	-0.39275
Epha7	5	0.1176	0.2432	0.823007	47	3	-0.62885	0.94333	0.94363	0.979709	219	0	-0.62885
Nf2	1	0.12125	0.12176	0.809763	48	1	-1.2875	0.87875	0.87954	0.972243	208	0	-1.2875
Brca1	1	0.12219	0.12273	0.809763	49	1	-1.2819	0.87781	0.87855	0.972243	207	0	-1.2819
Cbl	6	0.12497	0.26379	0.862143	50	2	-0.26453	0.42995	0.51244	0.962116	112	1	-0.26453
Elf3	3	0.12734	0.21185	0.809763	51	2	-0.80097	0.32144	0.33378	0.942833	85	1	-0.80097
Sf3b1	11	0.12942	0.32944	0.895264	52	5	-0.28116	0.80734	0.83929	0.962116	185	1	-0.28116
Rtel1	2	0.13116	0.18544	0.809763	53	1	-0.13731	0.16572	0.17723	0.942833	47	1	-0.13731
Fgfr4	1	0.13624	0.13669	0.809763	54	1	-1.2167	0.86376	0.86495	0.972243	205	0	-1.2167
Ncor1	1	0.14092	0.14135	0.809763	55	1	-1.1788	0.85908	0.86009	0.972243	204	0	-1.1788
Keap1	6	0.14233	0.28938	0.895264	56	2	1.2787	3.9257e-05	0.00025429	0.029243	2	3	1.2787
Asxl2	3	0.14329	0.2338	0.823007	57	2	-0.77847	0.40654	0.40807	0.942833	102	1	-0.77847
Brca2	4	0.1466	0.25683	0.856086	58	2	-0.48237	0.33208	0.37262	0.942833	88	1	-0.48237
Mtor	11	0.14673	0.35884	0.895264	59	4	-0.41862	0.20881	0.39287	0.942833	59	2	-0.41862
Fgfr1	3	0.14946	0.24172	0.823007	60	2	-0.75921	0.82665	0.82738	0.962116	193	0	-0.75921
Tgfbr1	2	0.15025	0.20013	0.809763	61	1	-0.88937	0.82286	0.8208	0.962116	192	0	-0.88937
Cul3	3	0.1505	0.24332	0.823007	62	2	-0.74826	0.92242	0.92218	0.977429	217	0	-0.74826
Ercc4	2	0.1537	0.20282	0.809763	63	1	-0.62043	0.61521	0.61318	0.962116	149	0	-0.62043
Runx1	7	0.156	0.32978	0.895264	64	2	-0.045946	0.13679	0.27006	0.942833	44	3	-0.045946
Smg1	1	0.15964	0.15916	0.809763	65	1	-1.0742	0.84036	0.84129	0.962116	199	0	-1.0742
