id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Ctnnb1	9	0.00062551	0.0034753	0.341456	1	4	0.077309	0.029084	0.087201	0.802248	21	1	0.077309
non_target	10	0.00076489	0.0041534	0.341456	2	6	-0.75283	0.83172	0.8403	0.995738	177	1	-0.75283
Vhl	13	0.00095996	0.0059384	0.341456	3	6	-0.58739	0.45316	0.65783	0.995738	108	1	-0.58739
Dis3	5	0.0011598	0.0045523	0.341456	4	4	-0.96028	0.3205	0.40617	0.995738	79	1	-0.96028
Epha7	5	0.0042372	0.014435	0.539155	5	4	-0.91601	0.88174	0.88161	0.995738	186	0	-0.91601
Fbxw7	12	0.0074842	0.03395	0.676728	6	4	-0.34894	0.99655	0.99651	0.996515	230	0	-0.34894
Pik3cd	2	0.0081489	0.01608	0.539155	7	2	-1.0517	0.99185	0.99141	0.995738	229	0	-1.0517
Foxa1	13	0.0087662	0.041369	0.676728	8	5	-0.51055	0.29793	0.51186	0.995738	74	3	-0.51055
Arid1a	3	0.0097901	0.025763	0.658142	9	2	-0.766	0.77778	0.77867	0.995738	170	0	-0.766
Traf7	2	0.012706	0.024606	0.658142	10	2	-1.4824	0.98729	0.98679	0.995738	225	0	-1.4824
Max	1	0.01637	0.016409	0.539155	11	1	-1.8429	0.98363	0.98379	0.995738	222	0	-1.8429
Cbfb	3	0.020288	0.043134	0.676728	12	2	-1.008	0.98889	0.98881	0.995738	226	0	-1.008
Jak2	5	0.021132	0.05542	0.676728	13	3	-0.79073	0.66204	0.66254	0.995738	145	0	-0.79073
Cd79b	5	0.023442	0.060346	0.676728	14	2	-0.40838	0.98977	0.98953	0.995738	228	0	-0.40838
Ctcf	8	0.024247	0.076162	0.676728	15	3	-0.41972	0.98926	0.9889	0.995738	227	0	-0.41972
Rad21	2	0.026944	0.049466	0.676728	16	1	-0.77864	0.56074	0.55897	0.995738	129	0	-0.77864
Crebbp	17	0.026949	0.10734	0.749966	17	4	-0.26769	0.98485	0.98438	0.995738	223	0	-0.26769
Sh2b3	1	0.028531	0.028615	0.658142	18	1	-1.4962	0.97147	0.97183	0.995738	219	0	-1.4962
Smc1a	2	0.028789	0.052368	0.676728	19	1	-1.2304	0.94683	0.94606	0.995738	210	0	-1.2304
Met	5	0.029994	0.074427	0.676728	20	3	-0.74747	0.92975	0.93007	0.995738	206	0	-0.74747
Rara	4	0.032165	0.078306	0.676728	21	2	-0.17511	0.067447	0.12187	0.904225	29	1	-0.17511
Klf4	2	0.033789	0.061273	0.676728	22	2	-0.71752	0.96621	0.96578	0.995738	214	0	-0.71752
Gata2	2	0.03615	0.065242	0.676728	23	1	-0.051378	0.13104	0.14624	0.904256	40	1	-0.051378
Ccnd1	4	0.039102	0.089853	0.708601	24	2	-0.66625	0.68713	0.68674	0.995738	152	0	-0.66625
Smarca4	7	0.041795	0.11778	0.773952	25	2	-0.2176	0.98556	0.98536	0.995738	224	0	-0.2176
Setd2	6	0.044405	0.11086	0.749966	26	3	-0.31032	0.74097	0.74105	0.995738	164	0	-0.31032
Dnmt3a	27	0.044891	0.18681	0.859335	27	10	-0.043838	0.22365	0.51771	0.995738	61	7	-0.043838
Smc3	1	0.050047	0.050254	0.676728	28	1	-1.2214	0.94995	0.95045	0.995738	211	0	-1.2214
Ercc2	19	0.053186	0.18558	0.859335	29	5	-0.0056768	0.00033138	0.0021889	0.207569	1	7	-0.0056768
Notch1	9	0.05472	0.14948	0.781354	30	4	-0.063652	0.449	0.59061	0.995738	105	2	-0.063652
Suz12	1	0.060337	0.060885	0.676728	31	1	-1.1448	0.93966	0.94005	0.995738	209	0	-1.1448
Bap1	15	0.061916	0.19581	0.866068	32	5	-0.16923	0.35221	0.58953	0.995738	85	2	-0.16923
Ptpn11	5	0.065224	0.14525	0.781354	33	2	-0.47787	0.88837	0.88797	0.995738	189	0	-0.47787
Dicer1	1	0.068756	0.069111	0.676728	34	1	-1.1029	0.93124	0.93166	0.995738	208	0	-1.1029
Dnmt1	1	0.073433	0.073818	0.676728	35	1	-1.072	0.92657	0.92709	0.995738	204	0	-1.072
Nf2	1	0.079046	0.079532	0.676728	36	1	-1.0503	0.92095	0.9215	0.995738	202	0	-1.0503
Ezh2	4	0.0798	0.14552	0.781354	37	2	-0.69525	0.89775	0.89682	0.995738	193	0	-0.69525
Stat6	4	0.08157	0.14801	0.781354	38	1	-0.48255	0.96818	0.96853	0.995738	215	0	-0.48255
Nkx3-1	1	0.081852	0.082384	0.676728	39	1	-1.0445	0.91815	0.91861	0.995738	200	0	-1.0445
Rhoa	8	0.08289	0.20134	0.873745	40	1	0.36585	0.32547	0.47042	0.995738	80	2	0.36585
Cbl	6	0.084192	0.18136	0.859335	41	3	-0.34539	0.82631	0.82702	0.995738	176	0	-0.34539
Hras	1	0.092142	0.092426	0.708601	42	1	-0.97742	0.90786	0.90868	0.995738	197	0	-0.97742
Sf3b1	11	0.09293	0.23697	0.939714	43	4	-0.24084	0.9181	0.91893	0.995738	199	0	-0.24084
Drosha	3	0.093728	0.15927	0.796345	44	1	-0.28749	0.952	0.95155	0.995738	212	0	-0.28749
Upf1	1	0.099626	0.10009	0.742638	45	1	-0.94329	0.90037	0.90151	0.995738	194	0	-0.94329
Keap1	6	0.10806	0.22252	0.915691	46	2	0.89946	0.0055493	0.01968	0.502931	8	3	0.89946
Ncoa3	2	0.10822	0.135	0.781354	47	1	-0.54114	0.68445	0.68224	0.995738	151	0	-0.54114
Prdm1	1	0.10898	0.10972	0.749966	48	1	-0.9	0.89102	0.89204	0.995738	191	0	-0.9
Ankrd11	3	0.10917	0.18219	0.859335	49	2	-0.63824	0.98095	0.98066	0.995738	221	0	-0.63824
Kmt2c	2	0.10999	0.1362	0.781354	50	1	-0.8038	0.91779	0.91735	0.995738	198	0	-0.8038
Pot1b	2	0.11351	0.13905	0.781354	51	1	-0.22097	0.35805	0.35643	0.995738	89	0	-0.22097
Mga	6	0.11477	0.23444	0.939714	52	2	-0.19673	0.85649	0.85741	0.995738	182	0	-0.19673
