id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
non_target	123	3.7229e-09	4.9737e-06	0.002392	1	71	-0.7097	0.7617	0.98757	0.99908	425	22	-0.7097
Smarca4	188	1.3913e-05	0.00034318	0.082536	2	92	-0.30386	0.47317	0.9109	0.99908	353	63	-0.30386
Hist1h3g	11	0.00011511	0.00096987	0.116627	3	10	-0.93454	0.99751	0.99768	0.99908	480	0	-0.93454
Ep300	71	0.00015766	0.0026709	0.256938	4	34	-0.30347	0.035281	0.2319	0.975609	80	22	-0.30347
Lats2	21	0.00031028	0.0033871	0.258031	5	12	-0.50607	0.2007	0.54549	0.998313	232	5	-0.50607
Upf1	33	0.00033997	0.0037551	0.258031	6	19	-0.66248	0.96028	0.99774	0.99908	471	7	-0.66248
Pik3cg	92	0.00040918	0.0061525	0.26903	7	43	-0.26292	0.67892	0.97374	0.99908	412	24	-0.26292
Myod1	36	0.00041895	0.0053268	0.26903	8	17	-0.36455	0.22517	0.63491	0.998313	247	10	-0.36455
Rac1	12	0.00059758	0.0045211	0.26903	9	6	-0.52776	0.77156	0.9262	0.99908	430	3	-0.52776
Plcg2	75	0.00068183	0.0090471	0.336364	10	37	-0.31121	0.57814	0.94578	0.99908	385	21	-0.31121
Tshr	22	0.00070762	0.0061326	0.26903	11	14	-0.70948	0.97736	0.99752	0.99908	475	4	-0.70948
Runx1	57	0.00075953	0.0092262	0.336364	12	29	-0.42906	0.34341	0.80255	0.99908	302	16	-0.42906
Hist1h2bm	1	0.00094404	0.00095992	0.116627	13	1	-2.119	0.99906	0.99908	0.99908	481	0	-2.119
Tsc2	57	0.0010981	0.012698	0.381728	14	25	-0.18963	0.3352	0.79553	0.99908	300	15	-0.18963
Raf1	13	0.0014502	0.010042	0.336364	15	8	-1.0064	0.79947	0.93979	0.99908	439	3	-1.0064
Pik3r2	46	0.0015526	0.01601	0.452997	16	26	-0.42597	0.049152	0.2671	0.975609	96	11	-0.42597
Ptprs	147	0.0025545	0.030076	0.603967	17	65	-0.16976	0.41039	0.87861	0.99908	330	43	-0.16976
Brd4	70	0.0035378	0.037337	0.690743	18	28	-0.040324	0.0041562	0.043952	0.791044	20	27	-0.040324
Piga	3	0.0039597	0.01049	0.336364	19	2	-0.64336	0.78887	0.78994	0.99908	434	0	-0.64336
Gli1	17	0.0043019	0.028136	0.603967	20	10	-0.63286	0.48535	0.80641	0.99908	357	4	-0.63286
