sgRNA	Gene	input_rep1	input_rep2	input_rep3	d15_rep1	d15_rep2	d15_rep3
gRNA_4	Abl1	2175.869319849526	2208.625900793191	1604.6415516950005	1597.6252125963288	1338.6982264230546	448.32754943243685
gRNA_5	Abl1	1285.4646959446225	1787.4546135210371	2310.9946608914925	1655.8428096916398	971.2124387775102	2742.441294747018
gRNA_6	Abl1	4223.090872650221	4651.235850070912	5215.667842603798	6127.402094281504	1545.5402268978326	2223.385226065698
gRNA_7	Abl1	2415.944286704432	3441.8594739822433	3531.7655459824587	5097.39845336446	3914.2486181216846	2713.921730533759
gRNA_8	Abl1	102.31042891285017	404.65476620265775	240.11343315920348	1821.539047578295	388.4849755110041	557.8426760113528
gRNA_9	Abl1	737.4454678074744	301.88530177023677	1056.032866224458	1416.2550062609362	2183.915538007807	1244.5937822666376
gRNA_10	Abl1	1409.0475902749959	1617.7014803067702	1233.9810092453563	371.69696607006387	526.029656029765	1204.6663923680746
gRNA_11	Abl1	851.9115912446237	728.5620960655561	655.8438109591189	676.2197816455379	1385.946399120339	1597.095595942523
gRNA_12	Abl1	1757.5108333049013	981.8154191311651	1578.9983695129497	3023.956341431453	461.98213304011296	930.8785759207849
gRNA_13	Abl1	530.798660894391	683.600455376372	1114.312825729119	729.9591020412097	632.0755547503364	253.25373021374295
gRNA_14	Abl1	1510.3450446441543	1122.2058482218831	1821.4430010523395	1224.808677351355	140.69455869857987	1793.3101977297474
gRNA_15	Abl1	3492.736226648588	3756.5909588065324	3213.168434023645	7633.222634535227	3508.964292318313	2322.6333095278405
gRNA_16	Abl1	1161.8818016142488	1190.1071015075897	2510.7006554607974	8114.637379746454	3108.9297634813056	4034.9479448919315
gRNA_17	Abl1	1057.5454236140156	1090.0903905867515	1041.2686098166105	1175.5476336553224	1360.7473736817874	1822.9705445115371
gRNA_18	Abl1	964.3517655943897	1317.6513475442553	726.5568284914409	347.06644422204755	443.0828639611993	1376.924560216161
gRNA_19	Abl1	557.1359990303722	811.1447014130373	485.66632920550865	623.6000304247758	635.2254329301553	310.2928586402616
gRNA_20	Abl1	119.53099615560713	724.8917580501126	393.9725262515086	953.872937023176	2793.9419454994104	871.5578823572055
gRNA_21	Abl1	235.0100941364479	782.6995817933494	707.9072414499494	4263.319418056636	1902.5264206106472	2120.7147948979646
gRNA_22	Abl1	864.0672857689227	988.2385106581914	477.89566793822047	2389.160619257579	1793.3306437102567	1216.0742180533782
gRNA_23	Abl1	236.0230686801395	676.2597793454847	404.851452025712	282.1314320772774	870.4163370233038	1707.7515050899692
gRNA_24	Actg1	1576.1883899841075	1385.5526008299619	1567.3423776120173	1691.6690232887545	2543.001650507167	982.2137915046517
gRNA_25	Actg1	1923.6386584703214	2170.087351631033	2194.4347418821703	3872.589776013105	1781.781090384254	1233.1859565813338
gRNA_26	Actg1	540.9284063313069	341.34143543625555	446.0359567423391	114.19605584080276	111.29569568693631	205.34086233546725
gRNA_27	Actg1	85.0898616700932	260.59399909649613	205.14545745640686	189.20719055976141	32.548741191462504	1621.052029881661
gRNA_28	Actg1	1655.2004043920513	1486.4868962546611	2116.728129209289	1160.9932343814946	3733.6556024787315	1735.1302867346983
gRNA_29	Actg1	1462.7352410906499	1524.1078609129581	964.3390632704579	2625.3897151635533	1900.426501824101	4743.373919949294
gRNA_30	Actg1	698.9524351471943	846.9304970636125	1774.0419673218819	969.5469054719135	281.38911739715974	1638.1637684096165
gRNA_31	Actg1	1885.145625810041	2226.0600063665484	1898.3725475984922	2272.7254250669566	2304.6608682342	1323.3077794952335
gRNA_32	Acvr1	596.6420062343441	1027.6946443242102	1161.7138594595767	2076.8008194577365	87.14662964165768	1768.2129812220792
gRNA_33	Acvr1	1317.8798813427532	1662.6631209959544	1866.5128364026107	2761.977154502553	967.0126012044183	5044.540518041312
gRNA_34	Acvr1	2102.935152703732	1047.8815034091501	1133.7394788973393	2412.6715719306853	1330.2985512768707	1295.9289978505044
gRNA_35	Acvr1	1237.8548923911178	611.1112795713607	691.5888527886443	770.2635923379637	624.7258389974255	716.4114530370747
gRNA_36	Acvr1	531.8116354380826	1639.7235083994317	1532.3744019092208	1736.4517902851476	2314.1105027736567	1277.6764767540185
gRNA_37	Acvr1	1697.7453352270977	688.1883778956765	784.0597218693731	778.1005765623324	2853.7896309159705	2517.7071287465346
gRNA_38	Acvr1	923.8327838467262	727.6445115616953	812.0341024316104	542.991049831268	209.9918786545968	1122.5300474338876
gRNA_39	Acvr1	1210.504579711445	927.6779334033719	713.346704337051	275.4140170278184	1563.3895365834733	999.3255300326073
gRNA_40	Acvr1	209.68573054415825	713.8807440037817	386.2018649842205	132.10916263936005	2461.1048178318747	491.67728703659105
gRNA_41	Acvr1	561.1878972051385	338.5886819246728	719.5632333508815	1559.5598606493945	335.9870058473549	392.42920357444854
gRNA_42	Acvr1	3067.2869182981217	2435.269273246834	3161.8820696595435	1005.3731190690281	2518.852584461889	3737.203694505504
gRNA_43	Acvr1	1890.210498528499	1591.091529694804	1912.3597378796107	1244.9609224997319	3008.1336617270995	993.6216171899555
gRNA_44	Acvr1	1313.8279831679868	835.9194830172817	437.4882293483222	517.2409588083418	2489.453721450245	1387.1916033329344
gRNA_45	Acvr1	988.6631546429877	1101.1014046330824	674.4933980006103	2430.584678729243	534.4293311759488	1019.859616266154
gRNA_46	Acvr1	586.5122607974282	224.80820344592098	77.70661267288138	229.51168085651534	32.548741191462504	389.00685586885743
gRNA_47	Acvr1	187.40029058294337	95.42878840153381	91.69380295400003	82.84811894332748	554.3785596481356	562.4058062854742
gRNA_48	Acvr1	1272.2960268766317	940.5241164574245	1911.5826717528819	4015.8946304015635	991.161667249697	1330.1524749064156
gRNA_49	Acvr1	1550.8640263918178	774.4413212586013	1219.9938189642378	626.9587379495053	936.5637787995017	1853.7716738618572
gRNA_50	Acvr1	3304.322961521953	1489.239649766244	1268.9489849481529	916.9271542511515	1428.9947342445312	998.184747464077
gRNA_51	Acvr1	3399.542568628962	4486.070639375949	3763.331251747645	10650.461560917222	2119.868015018155	3024.2145891740206
gRNA_52	Acvr1	1835.5098731691535	3264.765664737089	3321.957691765679	9093.140838617646	8463.722669173525	7095.667576258924
gRNA_53	Acvr1	3457.2821176193825	2873.874666092345	2823.0812384057804	3264.6637140370667	1947.6746745213854	2059.1125361973245
gRNA_54	Ago2	1462.7352410906499	1684.685149088616	884.3012522173901	1411.7767295612966	1625.3371407865793	1350.6865611399624
gRNA_55	Ago2	896.4824711670534	608.358526059778	850.1103426413223	541.8714806563581	146.99431505821778	573.8136319707779
gRNA_56	Ago2	660.459402486914	900.1503982875448	935.5876165814918	1374.8309467892723	322.33753373480613	1607.3626390592965
gRNA_57	Ago2	724.2767987394839	1806.723888102116	1276.7196462154411	993.05785814502	909.2648345744042	612.6002393008106
gRNA_58	Ago2	1350.2950667408838	1818.6524866523077	2019.5948633681871	3338.555279581116	4848.71247813464	3726.9366513887308
gRNA_59	Ago2	203.60788328200874	1290.1238124284282	616.9905046226781	860.94869550566	521.829818456673	845.3198832810068
gRNA_60	Ago2	1180.1153434006974	1757.1743248936273	1928.6781265409159	6327.804976590364	4085.391999225181	3801.087518343205
gRNA_61	Ago2	661.4723770306056	677.1773638493456	832.2378217265596	5471.334557784344	2406.5069293816796	2274.720441649565
gRNA_62	Ago2	239.06199231121425	501.9187236119134	613.8822401157629	1934.6155342441878	621.5759608176065	2425.3037406955746
gRNA_63	Ago2	612.8495989334094	1017.6012147817403	515.9719081479324	558.6650182800056	3333.6210736417243	1019.859616266154
gRNA_64	Ago2	3337.7511214637752	3764.849219341281	3384.122981903984	5856.466353953325	1276.7506222199486	3896.913254099756
gRNA_65	Ago2	2584.0980609572352	2874.792250596206	3239.588682332425	5081.724484915722	3980.3960598978824	4127.3513329428915
gRNA_66	Ago2	922.8198093030346	1015.7660457740185	1219.9938189642378	1658.0819480414596	201.59220350841292	318.27833661997425
gRNA_68	Ago2	2030.0009855579378	1653.4872759573452	2469.5161507441703	5098.51802253937	881.9658903493066	2173.1907930503617
gRNA_69	Ago2	1322.9447540612111	1683.767564584755	2124.498790476577	4528.657312510266	1337.6482670297817	3570.6494395000695
gRNA_70	Ago2	1046.4027036334082	1670.0037970268415	1573.558906625848	5866.542476527514	1562.3395771902003	2035.1561022581866
gRNA_71	Ago2	816.4574822154182	1358.9426502179958	2070.8812277322886	2075.6812502828266	921.86434729368	723.2561484482569
gRNA_72	Ago2	416.33253745724176	1589.2563606870822	1149.2808014319157	4605.907585579044	993.2615860362429	2548.5082580968547
gRNA_73	Ago2	2044.1826291696202	2410.4944916425893	1961.314903863526	1726.3756677109593	1202.2035052975668	1425.978210662967
gRNA_74	Ago2	1975.3003601985922	960.7109755423644	863.3204667957122	1090.4603763621753	2575.55039169863	1549.1827280642474
gRNA_75	Ago2	811.3926094969602	440.44056185323296	356.6733521685255	970.6664746468234	828.4179612923845	1641.5861161152077
gRNA_76	Ago2	1068.688143594623	932.2658559226763	805.81757341778	956.1120753729956	372.73558461190936	824.7857970474602
gRNA_77	Akt1	2277.166774218685	1775.5260149708454	3022.7872329750858	3807.6547638683346	2664.7969401268333	2152.656706816815
gRNA_78	Akt1	1222.660274235744	606.5233570520562	502.7617839935425	769.1440231630538	1150.7554950271906	722.1153658797265
gRNA_79	Akt1	1194.2969870123798	1174.5081649419544	1424.3622102939157	2314.1494845386205	2211.214482232904	1859.475586704509
gRNA_80	Akt1	970.4296128565392	950.6175459998944	1167.1533223466784	1276.3088593972072	1371.2469676145172	2632.9261681681023
gRNA_81	Akt1	1596.4478808579393	855.1887575983607	893.6260457381359	1043.4384710159625	951.2632103053236	2791.494945193824
gRNA_82	Akt1	882.3008275553713	614.7816175868043	781.7285234891867	535.1540656068992	669.8740929081638	1362.0943868252662
gRNA_83	Akt1	1359.4118376341082	3307.8921364185517	2922.5457026270687	5370.573332042459	4005.5950853364343	2862.2234644427076
gRNA_86	Akt1	173.21864697126117	1427.7614880075635	1420.4768796602716	1032.242779266864	380.0853003648202	797.4070154027312
gRNA_87	Akt1	673.6280715549045	943.2768699690072	628.6464965236104	1168.8302186058634	1833.2291006546302	2587.2948654268876
gRNA_88	Akt1	1993.5339019850408	954.287884015338	349.6797570279662	172.41365293611395	477.73152393920776	482.55102648834804
gRNA_89	Akt1	315.0350830880832	449.61640689184196	170.95454788033905	75.01113471895867	171.1433811034964	94.68495318802101
gRNA_90	Akt1	401.13791930186795	657.9080892682667	218.3555816107967	71.65242719422918	138.5946399120339	62.74304126917055
