id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
safe_target	313	1.5869e-13	4.9737e-06	0.001196	1	159	-0.45912	0.98732	0.99996	0.999955	476	51	-0.45912
non_target	123	5.295e-08	4.9737e-06	0.001196	2	66	-0.521	0.9439	0.99912	0.999955	458	20	-0.521
Epha7	82	0.00010601	0.0019547	0.226077	3	43	-0.37508	0.76985	0.98475	0.999955	411	17	-0.37508
Atrx	38	0.00015905	0.0020541	0.226077	4	21	-0.77685	0.86915	0.98795	0.999955	440	10	-0.77685
Ptprd	142	0.00020781	0.0033672	0.226077	5	65	-0.23503	0.026457	0.19299	0.835693	70	33	-0.23503
Crebbp	117	0.00025274	0.0039242	0.226077	6	36	0.027969	0.0042649	0.046161	0.688131	24	43	0.027969
Epha3	81	0.00033851	0.0043918	0.226077	7	34	-0.22053	0.5579	0.93388	0.999955	356	20	-0.22053
Kdm6a	59	0.00044123	0.0056053	0.239035	8	31	-0.40992	0.87569	0.99375	0.999955	443	15	-0.40992
Phox2b	26	0.00046933	0.0047001	0.226077	9	16	-0.56309	0.7641	0.95404	0.999955	409	4	-0.56309
Kmt2a	80	0.0004908	0.0069482	0.257085	10	38	-0.26079	0.57586	0.94012	0.999955	363	22	-0.26079
Nf1	138	0.00054273	0.0075351	0.258886	11	63	-0.30738	0.50662	0.91791	0.999955	342	34	-0.30738
Gna13	5	0.00062478	0.0027703	0.226077	12	2	-0.064764	0.65805	0.74056	0.999955	379	1	-0.064764
Etv6	29	0.00064276	0.0059635	0.239035	13	13	-0.26066	0.78506	0.96279	0.999955	415	6	-0.26066
Grem1	8	0.00070045	0.0039143	0.226077	14	6	-0.77498	0.97852	0.9778	0.999955	474	0	-0.77498
Ros1	52	0.0010791	0.012409	0.351112	15	28	-0.46159	0.96683	0.99895	0.999955	466	10	-0.46159
Brca2	13	0.0012925	0.0089676	0.269587	16	8	-0.87327	0.80036	0.92621	0.999955	423	3	-0.87327
Rb1	67	0.0016421	0.019223	0.39541	17	34	-0.35418	0.76055	0.97988	0.999955	406	15	-0.35418
Ctnnb1	52	0.0019617	0.021113	0.39541	18	21	-0.12925	0.2645	0.69915	0.999955	252	16	-0.12925
Atr	40	0.0020769	0.020009	0.39541	19	20	-0.38208	0.4985	0.87264	0.999955	338	8	-0.38208
Pik3c2g	24	0.0023053	0.018646	0.39541	20	15	-0.40552	0.57718	0.87628	0.999955	364	3	-0.40552
Pbrm1	34	0.0023438	0.021014	0.39541	21	16	-0.27831	0.82816	0.9787	0.999955	431	7	-0.27831
Bap1	56	0.0025653	0.025988	0.39541	22	14	0.0023179	0.018403	0.13123	0.766376	53	22	0.0023179
Bcor	50	0.0027297	0.026027	0.39541	23	18	0.11269	0.32381	0.76092	0.999955	276	18	0.11269
Negr1	26	0.0027887	0.021849	0.39541	24	12	-0.1774	0.29612	0.66983	0.999955	262	9	-0.1774
Epcam	3	0.003241	0.0087288	0.269587	25	3	-1.4544	0.99676	0.99672	0.999955	480	0	-1.4544
Dis3	13	0.0033343	0.020636	0.39541	26	8	-0.8488	0.73386	0.90226	0.999955	397	2	-0.8488
Cul3	24	0.0034256	0.026306	0.39541	27	14	-0.68329	0.5406	0.85674	0.999955	352	5	-0.68329
Plcg2	75	0.0035927	0.037049	0.481637	28	22	-0.023445	0.34379	0.81134	0.999955	283	25	-0.023445
Ctcf	44	0.0036518	0.0331	0.442251	29	22	-0.34341	0.18794	0.58276	0.999955	220	10	-0.34341
Kdr	58	0.0041988	0.039705	0.502581	30	22	0.009363	0.61544	0.94111	0.999955	372	18	0.009363
Ep300	71	0.0045037	0.044838	0.526024	31	30	-0.11024	0.87472	0.99457	0.999955	441	20	-0.11024
Atm	69	0.0049038	0.048359	0.541949	32	22	0.033419	0.33716	0.79711	0.999955	281	23	0.033419
Pik3cg	92	0.006411	0.064295	0.560962	33	34	-0.047152	0.081268	0.40981	0.947679	136	31	-0.047152
Piga	3	0.0067671	0.01794	0.39541	34	3	-0.91333	0.99323	0.99311	0.999955	479	0	-0.91333
Smarcb1	22	0.0073211	0.048449	0.541949	35	9	-0.039362	0.1037	0.3606	0.91351	162	8	-0.039362
Gli1	17	0.0073342	0.043505	0.52506	36	10	-0.324	0.37922	0.70927	0.999955	301	5	-0.324
