id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
non_target	123	7.0883e-08	4.9737e-06	0.002392	1	68	-0.48728	0.97974	0.99989	0.999886	474	22	-0.48728
Ptprs	147	7.9487e-06	0.00021387	0.03429	2	64	-0.16765	0.59225	0.95082	0.999886	380	45	-0.16765
Ctnnb1	52	4.2141e-05	0.00083061	0.09988	3	29	-0.54081	0.30823	0.75401	0.999886	283	12	-0.54081
Smarca4	188	6.4393e-05	0.0010594	0.101914	4	77	-0.25664	0.20587	0.67452	0.999886	229	57	-0.25664
Ep300	71	7.0078e-05	0.0014473	0.116029	5	33	-0.3008	0.33369	0.80191	0.999886	299	18	-0.3008
Myod1	36	0.00013126	0.001885	0.129528	6	20	-0.5039	0.092793	0.37844	0.927132	147	11	-0.5039
Hist1h2bm	1	0.00018881	0.00017408	0.03429	7	1	-2.6642	0.99981	0.99983	0.999886	481	0	-2.6642
Pik3r1	25	0.00036768	0.0037949	0.182536	8	16	-0.50192	0.83169	0.97311	0.999886	430	4	-0.50192
Hras	15	0.00051086	0.0043122	0.18856	9	11	-0.45095	0.89884	0.9718	0.999886	450	2	-0.45095
Pik3cg	92	0.0005891	0.0081021	0.291201	10	43	-0.31225	0.40211	0.86814	0.999886	322	21	-0.31225
Mpeg1	3	0.00081437	0.002263	0.136065	11	3	-0.9508	0.99919	0.99922	0.999886	480	0	-0.9508
Plcg2	75	0.0008626	0.010897	0.291201	12	38	-0.33146	0.32227	0.79738	0.999886	293	17	-0.33146
Syk	28	0.00095581	0.0092162	0.291201	13	15	-0.40709	0.86175	0.98201	0.999886	439	4	-0.40709
Setdb1	6	0.001117	0.0059336	0.237839	14	4	-0.98875	0.67635	0.79756	0.999886	398	1	-0.98875
Piga	3	0.0012456	0.0034667	0.182536	15	2	-1.1202	0.93298	0.93236	0.999886	464	0	-1.1202
Srsf2	14	0.0015	0.01041	0.291201	16	8	-0.64844	0.67469	0.88546	0.999886	397	2	-0.64844
Phox2b	26	0.0016298	0.013683	0.313397	17	12	-0.31629	0.27536	0.65363	0.999886	270	6	-0.31629
Pik3r3	8	0.0016585	0.0089974	0.291201	18	6	-1.1262	0.81033	0.89727	0.999886	426	1	-1.1262
Ikzf1	74	0.0018082	0.020964	0.429924	19	27	-0.11249	0.11283	0.48258	0.959182	163	21	-0.11249
Rac1	12	0.0019048	0.012588	0.313397	20	9	-0.51877	0.56891	0.81243	0.999886	375	2	-0.51877
Grem1	8	0.0020083	0.010788	0.291201	21	7	-0.88757	0.99838	0.99832	0.999886	479	0	-0.88757
Lats2	21	0.0025932	0.020357	0.429924	22	11	-0.42028	0.024681	0.13156	0.875625	60	6	-0.42028
Dnmt3a	107	0.0030765	0.034463	0.552552	23	36	0.050112	0.34853	0.8302	0.999886	303	39	0.050112
Arid1a	228	0.0034011	0.037676	0.562267	24	96	-0.18239	0.33303	0.81736	0.999886	298	72	-0.18239
Pik3r2	46	0.0036038	0.032603	0.552552	25	22	-0.26881	0.042856	0.23715	0.925998	91	8	-0.26881
Ctcf	44	0.003775	0.034264	0.552552	26	20	-0.21559	0.14101	0.50535	0.96775	183	13	-0.21559
Kdm5a	33	0.0038035	0.031936	0.552552	27	18	-0.46811	0.0012258	0.012061	0.527403	8	7	-0.46811
Upf1	33	0.0041556	0.034264	0.552552	28	17	-0.42565	0.54416	0.88746	0.999886	367	7	-0.42565
Nkx3-1	11	0.0048019	0.025808	0.496555	29	8	-0.53386	0.14447	0.37965	0.927132	187	1	-0.53386
Epha3	81	0.005588	0.055989	0.585448	30	25	0.030582	0.28942	0.76931	0.999886	276	31	0.030582
Amer1	39	0.0058809	0.048001	0.585448	31	21	-0.34086	0.50781	0.87989	0.999886	353	6	-0.34086
Gli1	17	0.0060614	0.03683	0.562267	32	7	-0.27519	0.57698	0.85368	0.999886	377	6	-0.27519
Ppp6c	12	0.0074338	0.038859	0.562267	33	7	-0.71505	0.79949	0.9268	0.999886	423	2	-0.71505
Raf1	13	0.00745	0.042082	0.562267	34	8	-0.62987	0.53311	0.80449	0.999886	364	3	-0.62987
Cbl	31	0.0075358	0.054467	0.585448	35	12	-0.13076	0.63852	0.925	0.999886	389	9	-0.13076
Axin1	40	0.0079057	0.060903	0.597751	36	17	-0.19612	0.63383	0.93522	0.999886	386	9	-0.19612
U2af1	21	0.0081874	0.053651	0.585448	37	7	-0.13405	0.20325	0.54277	0.981641	226	7	-0.13405
Wt1	39	0.0094475	0.071537	0.62562	38	18	-0.22066	0.64127	0.93829	0.999886	390	12	-0.22066
Vhl	20	0.0096189	0.058704	0.597751	39	10	-0.41081	0.91384	0.98445	0.999886	456	2	-0.41081
Stk40	17	0.0096593	0.055064	0.585448	40	9	-0.41438	0.71843	0.91856	0.999886	407	2	-0.41438
Cdkn2a	25	0.0097093	0.062136	0.597751	41	9	0.018646	0.27375	0.65333	0.999886	269	11	0.018646
Btg1	13	0.01026	0.054576	0.585448	42	4	0.19217	0.051714	0.19622	0.910309	98	5	0.19217
Ercc4	18	0.010786	0.06149	0.597751	43	7	-0.049165	0.44526	0.77549	0.999886	334	7	-0.049165
Hist1h3a	7	0.011278	0.045315	0.585448	44	3	-0.34803	0.28575	0.5127	0.96775	273	1	-0.34803
Hist1h3g	11	0.01198	0.055671	0.585448	45	6	-0.39339	0.7872	0.91637	0.999886	421	2	-0.39339
Cyld	7	0.012331	0.048658	0.585448	46	4	-0.70862	0.97091	0.97132	0.999886	470	0	-0.70862
Inpp4b	13	0.01245	0.063648	0.599371	47	7	-0.33829	0.99538	0.99559	0.999886	478	1	-0.33829
Foxl2	14	0.012572	0.065409	0.599371	48	5	-0.18043	0.526	0.80126	0.999886	362	3	-0.18043
Crebbp	117	0.013168	0.11377	0.818289	49	35	0.17677	0.074592	0.39385	0.927132	132	49	0.17677
Tsc2	57	0.0134	0.1019	0.812181	50	24	-0.24634	0.5754	0.9295	0.999886	376	13	-0.24634
Rara	38	0.013581	0.094236	0.795224	51	19	-0.32981	0.38512	0.79706	0.999886	315	10	-0.32981
Irf8	1	0.013783	0.013573	0.313397	52	1	-1.8539	0.98622	0.98634	0.999886	476	0	-1.8539
Brip1	10	0.01492	0.066692	0.599371	53	7	-0.48397	0.74441	0.89157	0.999886	413	2	-0.48397
Irf1	3	0.015888	0.040948	0.562267	54	2	-0.93329	0.90721	0.90719	0.999886	453	0	-0.93329
Sox9	47	0.016301	0.11398	0.818289	55	19	-0.17053	0.042478	0.23733	0.925998	90	18	-0.17053
Pdgfra	55	0.016453	0.1202	0.822824	56	19	-0.052509	0.54815	0.91885	0.999886	370	18	-0.052509
Negr1	26	0.016557	0.097251	0.797867	57	7	0.095981	0.27819	0.65708	0.999886	271	11	0.095981
Foxa1	35	0.017618	0.11174	0.818289	58	13	-0.20165	0.26946	0.68218	0.999886	267	10	-0.20165
Errfi1	7	0.018446	0.067289	0.599371	59	5	-0.47827	0.85229	0.89983	0.999886	437	1	-0.47827
Tshr	22	0.019591	0.10752	0.818289	60	11	-0.43517	0.85053	0.97376	0.999886	436	5	-0.43517
Epha5	76	0.019891	0.14996	0.848607	61	18	0.19154	0.028717	0.19994	0.910309	70	33	0.19154
Ctr9	1	0.021335	0.021452	0.429924	62	1	-2.3213	0.97866	0.97867	0.999886	473	0	-2.3213
Csf1r	27	0.021515	0.1248	0.822824	63	12	-0.22668	0.31774	0.70726	0.999886	290	9	-0.22668
Pdpk1	2	0.021833	0.04069	0.562267	64	2	-1.8868	0.97817	0.97798	0.999886	472	0	-1.8868
