sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_12164	Syk	132.37/81.437/96.971	837.44/770.95/3252.7/4178/2600.9	96.971	2600.9	4.7311	747.21	8246.7	27.573	1	1.3813e-167	2.7626e-167	2.956e-164	True
gRNA_3084	Ep300	15.347/111.63/27.972	366.78/222.8/175.62/310.58/269.98	27.972	269.98	3.2255	3579.3	733	8.9389	1	2.3144e-19	4.6288e-19	2.4764e-16	True
gRNA_895	Arid5b	24.939/74.117/60.607	204.94/715.12/198.71/885.51/517.38	60.607	517.38	3.0728	727.35	3291.2	7.962	1	9.9068e-16	1.9814e-15	6.1568e-13	True
gRNA_6087	Keap1	166.9/404.44/176.23	909.52/1368.5/1951.6/1776.6/1471.5	176.23	1471.5	3.0546	26085	26593	7.9426	1	1.1508e-15	2.3016e-15	6.1568e-13	True
gRNA_4021	Fat1	0/3.6601/0.93241	0/99.322/9.8942/0/32.269	0.93241	9.8942	2.4951	4.1548	1.8037	6.6728	1	1.6589e-11	3.3178e-11	7.1e-09	True
gRNA_10598	Ret	211.03/259.87/247.09	1698.9/904.1/784.11/2431/1715.6	247.09	1698.9	2.7765	731.94	51635	6.3891	1	9.6849e-11	1.937e-10	2.5907e-08	True
gRNA_11607	Smo	201.43/358.69/181.82	1621.2/474.06/1315.1/1100/1637.1	201.43	1315.1	2.7008	12557	34572	5.9895	1	1.2227e-09	2.4455e-09	2.9074e-07	True
gRNA_2658	Dis3	132.37/506.01/185.55	1185.1/968.52/165.73/2793.3/2400.8	185.55	1185.1	2.6686	52761	29425	5.8272	1	3.2754e-09	6.5507e-09	7.0093e-07	True
gRNA_3060	Ep300	180.33/396.21/481.12	1968.2/2731.1/357.01/5115.3/2460	396.21	2460	2.6313	26907	1.3059e+05	5.711	1	6.5045e-09	1.3009e-08	1.2654e-06	True
gRNA_7514	Myd88	291.6/399.87/214.45	1927.9/502.52/6258.9/811.57/1775.9	291.6	1775.9	2.6023	8836.5	71491	5.5512	1	1.6451e-08	3.2901e-08	2.9337e-06	True
gRNA_5625	Irs1	218.7/292.81/220.05	2670.6/926.11/1333.2/1458.6/885.24	220.05	1333.2	2.5936	2647.8	41124	5.4894	1	2.3425e-08	4.685e-08	3.8561e-06	True
gRNA_2569	Daxx	124.7/193.99/89.511	1816.2/1799.1/643.12/757.95/612.03	124.7	757.95	2.5941	3019.5	13495	5.4511	1	2.915e-08	5.83e-08	4.4558e-06	True
gRNA_12026	Stat3	86.329/361.43/106.29	639.56/263.61/149.24/867.03/645.38	106.29	639.56	2.5778	32748	9870.5	5.3675	1	4.6535e-08	9.3069e-08	6.6389e-06	True
gRNA_6080	Keap1	224.45/264.44/150.12	885.49/1278.3/2055.5/1344/845.45	224.45	1278.3	2.5045	3562.4	42756	5.0966	1	2.0081e-07	4.0163e-07	2.6859e-05	True
gRNA_2385	Csf3r	493.03/577.38/534.27	2904.5/985.17/873.16/3603.1/3989.5	534.27	2904.5	2.4405	1779.6	2.3507e+05	4.8888	1	5.8667e-07	1.1733e-06	7.3852e-05	True
gRNA_6081	Keap1	105.51/280/100.7	518.01/460.1/791.53/571.24/1445.6	105.51	571.24	2.4256	15234	9728.8	4.7217	1	1.3633e-06	2.7266e-06	0.00015355	True
gRNA_6712	Kras	416.3/546.27/207.93	721.54/865.44/3025.1/2207.3/2486.9	416.3	2207.3	2.4038	30155	1.4392e+05	4.721	1	1.3585e-06	2.717e-06	0.00015355	True
gRNA_7511	Myd88	222.54/286.4/96.038	5327.1/1439.4/480.69/1111/1146.6	222.54	1146.6	2.3601	10040	42042	4.5068	1	3.8205e-06	7.6411e-06	0.0004088	True
gRNA_2265	Crebbp	385.6/311.11/344.99	1047.3/425.21/4524.1/6755/1763	344.99	1763	2.35	1398.6	99483	4.4957	1	4.0185e-06	8.0369e-06	0.0004095	True
