sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_9115	Pik3r3	43.384/146.52/38.594	242.23/268.89/291.15	43.384	268.89	2.6042	5330	1338	6.1648	1	3.9995e-10	7.9989e-10	8.5589e-07	True
gRNA_2569	Daxx	117.5/186/84.206	681.46/599.74/785.81	117.5	681.46	2.5259	2900.6	8719.5	6.0395	1	8.6256e-10	1.7251e-09	9.2294e-07	True
gRNA_12164	Syk	124.73/78.086/91.223	462.65/505.68/592.21	91.223	505.68	2.4579	647.61	5408.1	5.6358	1	9.7594e-09	1.9519e-08	6.9617e-06	True
gRNA_10598	Ret	198.84/249.17/232.44	992.32/1078.9/1096	232.44	1078.9	2.2097	704.43	31693	4.7545	1	1.1002e-06	2.2004e-06	0.00058861	True
gRNA_3523	Erbb3	57.845/315.85/128.94	654.82/440.4/594.5	128.94	594.5	2.1963	19995	10393	4.5668	1	2.7606e-06	5.5211e-06	0.0011815	True
gRNA_10342	Raf1	77.729/121.08/45.611	352.03/345.24/196.64	77.729	345.24	2.1368	1455.3	3999.8	4.2297	0.99999	1.3138e-05	2.6276e-05	0.0046859	True
gRNA_7481	Myc	81.345/164.07/74.557	352.84/366.26/343.74	81.345	352.84	2.1034	3444.6	4357.5	4.1129	0.99998	2.1924e-05	4.3848e-05	0.0062199	True
gRNA_6081	Keap1	99.421/268.47/94.731	426.32/307.61/450.45	99.421	426.32	2.0892	14300	6361.2	4.0986	0.99998	2.3252e-05	4.6504e-05	0.0062199	True
gRNA_2703	Dnmt3a	88.575/251.8/133.33	505.44/531.13/625.75	133.33	531.13	1.986	8019.8	11071	3.7808	0.99991	8.7108e-05	0.00017422	0.020712	True
gRNA_895	Arid5b	23.5/71.067/57.014	286.63/231.26/202.74	57.014	231.26	2.0013	660.35	2233.1	3.6874	0.99987	0.00012785	0.0002557	0.02736	True
gRNA_1149	Atrx	72.306/205.3/122.8	473.95/568.75/369.66	122.8	473.95	1.9398	4678.2	9477.6	3.607	0.99983	0.00017276	0.00034553	0.03361	True
gRNA_3086	Ep300	97.614/156.17/112.27	570.04/417.16/233.23	112.27	417.16	1.8842	1070.9	8002	3.4083	0.99963	0.00036509	0.00073017	0.065107	True
gRNA_10548	Rbm10	83.152/286.9/71.926	299.55/320.89/236.28	83.152	299.55	1.8365	20819	4541.7	3.2111	0.99926	0.00074183	0.0014837	0.12212	True
gRNA_6629	Kmt2d	88.575/174.6/80.697	306.01/314.25/256.09	88.575	306.01	1.7771	3730.8	5116	3.0399	0.99867	0.001326	0.0026521	0.19167	True
gRNA_10971	Runx1	57.845/173.72/89.469	289.86/312.04/308.68	89.469	308.68	1.7753	4049	5213.7	3.036	0.99866	0.0013435	0.002687	0.19167	True
gRNA_4461	Flt3	101.23/208.81/71.049	398.86/277.74/336.12	101.23	336.12	1.7215	6242.6	6581.2	2.8955	0.99788	0.0021176	0.0042352	0.28323	True
gRNA_6472	Kmt2d	122.92/85.982/41.226	192.17/279.95/283.53	85.982	279.95	1.6915	1683.8	4837.3	2.7889	0.99703	0.0029654	0.0059307	0.37329	True
gRNA_11285	Smad4	30.73/167.58/54.383	182.48/179.26/149.39	54.383	179.26	1.7025	6686.2	2043.6	2.7623	0.99676	0.0032403	0.0064807	0.38524	True
gRNA_11608	Smo	92.191/201.79/70.171	285.83/292.12/319.35	92.191	292.12	1.6532	6248.9	5516.8	2.6918	0.99602	0.0039807	0.0079615	0.44836	True
gRNA_10363	Rara	59.653/257.95/88.591	199.43/268.89/310.21	88.591	268.89	1.5909	14759	5117.8	2.5202	0.99343	0.0065723	0.013145	0.67901	True
gRNA_10106	Ptprt	211.5/219.34/97.363	599.91/616.33/644.81	211.5	616.33	1.5386	6544	26503	2.4868	0.99286	0.0071373	0.014275	0.67901	True
gRNA_2810	Dnmt3a	197.03/277.25/179.81	557.12/575.39/830.78	197.03	575.39	1.5413	3365.3	23177	2.4853	0.99283	0.0071738	0.014348	0.67901	True
gRNA_12604	Trp53	160.88/395.69/185.95	603.14/543.3/387.95	185.95	543.3	1.5417	22309	20772	2.4795	0.9927	0.0072978	0.014596	0.67901	True
gRNA_6087	Keap1	157.27/387.8/165.78	430.35/476.91/701.21	165.78	476.91	1.5188	24682	16715	2.4066	0.99105	0.0089452	0.01789	0.7575	True
gRNA_1322	Bap1	319.96/429.03/230.69	929.34/897.39/679.1	319.96	897.39	1.485	9933.1	58068	2.3963	0.99088	0.0091221	0.018244	0.7575	True
gRNA_7429	Mtor	137.38/268.47/171.92	492.52/464.74/508.37	171.92	492.52	1.513	5257.8	17905	2.396	0.9908	0.0092033	0.018407	0.7575	True
gRNA_4829	Gli1	57.845/143.89/147.36	399.67/366.26/440.54	143.89	399.67	1.4675	3707.7	12787	2.262	0.98681	0.01319	0.026379	0.99905	True
gRNA_10969	Runx1	251.26/542.21/246.48	577.3/814.4/680.63	251.26	680.63	1.434	42337	36730	2.2403	0.98615	0.013849	0.027698	0.99905	True
gRNA_2747	Dnmt3a	137.38/262.33/137.71	389.18/377.32/306.4	137.71	377.32	1.4475	7765.2	11769	2.2087	0.98485	0.015145	0.03029	0.99905	True
gRNA_12558	Trp53	730.29/546.6/240.34	1474.3/1251.5/1430.6	546.6	1430.6	1.3865	63770	1.6036e+05	2.2076	0.98508	0.014923	0.029846	0.99905	True
gRNA_6833	Map2k1	197.03/293.92/159.64	532.09/530.02/479.41	197.03	530.02	1.423	5392.3	23177	2.1873	0.98408	0.015917	0.031835	0.99905	True
gRNA_12592	Trp53	19.884/242.15/121.05	330.23/376.22/278.2	121.05	330.23	1.4404	12450	9223.5	2.1782	0.9836	0.016399	0.032797	0.99905	True
gRNA_1036	Atm	50.614/136.87/68.417	188.13/182.58/213.41	68.417	188.13	1.446	2501.3	3145.8	2.1344	0.98154	0.01846	0.036921	0.99905	True
gRNA_10657	Rictor	54.23/157.05/78.066	162.29/213.56/224.08	78.066	213.56	1.4402	3403.2	4032.5	2.1337	0.98155	0.018455	0.036909	0.99905	True
gRNA_3012	Egfr	124.73/515.89/274.55	784.81/642.89/718.74	274.55	718.74	1.3852	40346	43445	2.1311	0.98174	0.018255	0.03651	0.99905	True
gRNA_2401	Ctcf	68.691/37.727/23.683	83.164/105.12/106.71	37.727	105.12	1.4543	578.01	1030.4	2.0995	0.97967	0.020325	0.040651	0.99905	True
gRNA_6834	Map2k1	160.88/125.46/110.52	171.98/356.3/333.84	125.46	333.84	1.4047	738.88	9869.7	2.0974	0.97995	0.020049	0.040098	0.99905	True
gRNA_12561	Trp53	301.88/450.97/317.53	817.11/815.51/732.46	317.53	815.51	1.3581	9025.6	57235	2.0815	0.97941	0.020592	0.041183	0.99905	True
gRNA_12597	Trp53	155.46/279.88/119.29	395.63/392.82/523.62	155.46	395.63	1.342	8394.3	14801	1.9742	0.97311	0.026887	0.053775	0.99905	True
gRNA_1376	Bcl2	112.07/214.95/136.83	271.29/349.66/426.82	136.83	349.66	1.3471	3357.9	11628	1.9737	0.97303	0.026966	0.053933	0.99905	True
gRNA_10596	Ret	180.77/334.28/221.04	549.85/746.9/506.09	221.04	549.85	1.3108	7222.2	28813	1.9371	0.97082	0.02918	0.05836	0.99905	True
gRNA_12831	Tsc1	240.42/127.22/79.82	364.15/322/237.8	127.22	322	1.3329	7530.5	10132	1.9351	0.97046	0.029538	0.059076	0.99905	True
gRNA_2775	Dnmt3a	437.45/426.4/214.02	864.74/1139.7/1037.3	426.4	1037.3	1.2806	22613	1.0011e+05	1.9309	0.97064	0.029358	0.058716	0.99905	True
