sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_2569	Daxx	77.61/121.36/58.894	4942.2/1287.4/1525.7/56.355/192.95	77.61	1287.4	4.0347	1132.2	6520.5	14.982	1	5.7691e-51	1.1538e-50	1.2346e-47	True
gRNA_10343	Raf1	220.89/356.64/228.83	3815.9/2315.7/88.256/464.76/2286.8	228.83	2286.8	3.3154	8199.1	57183	8.6063	1	4.5435e-18	9.0869e-18	4.8615e-15	True
gRNA_4577	Foxa1	87.162/249.02/89.568	402.34/877.1/882.56/116.19/1871.2	89.568	877.1	3.2773	12715	8689.8	8.4482	1	1.7784e-17	3.5569e-17	1.2686e-14	True
gRNA_6080	Keap1	139.7/165.44/98.77	2345.8/308.98/4463.6/1262.1/35.732	139.7	1262.1	3.1663	1168.8	21205	7.7076	1	7.7118e-15	1.5424e-14	4.1258e-12	True
gRNA_3084	Ep300	9.552/69.839/18.404	132.26/8.3059/201.9/152.37/277.52	18.404	152.37	2.9825	1361.9	372.74	6.9388	1	2.3829e-12	4.7658e-12	1.0199e-09	True
gRNA_6081	Keap1	65.67/175.17/66.256	600.03/39.868/475.13/326.3/508.58	66.256	475.13	2.8236	5931.3	4750.4	5.9324	1	1.795e-09	3.59e-09	6.4021e-07	True
gRNA_3677	Ercc2	380.89/491.73/406.74	1186.1/3126.3/8275.5/423.71/2828.8	406.74	2828.8	2.795	3946.5	1.8196e+05	5.678	1	8.2118e-09	1.6424e-08	2.5105e-06	True
gRNA_7839	Nkx2-1	96.714/241/115.33	361.97/784.08/1061.5/45.919/1041	115.33	784.08	2.7546	8069.5	14431	5.5668	1	1.5601e-08	3.1202e-08	4.1733e-06	True
gRNA_3523	Erbb3	38.208/206.08/90.181	601.42/1161.2/875.31/466.15/151.27	90.181	601.42	2.724	8067.1	8809.6	5.4468	1	3.0824e-08	6.1648e-08	7.3293e-06	True
gRNA_6472	Kmt2d	81.192/56.1/28.833	341.08/1181.1/2405.9/20.177/22.63	56.1	341.08	2.5828	686.53	3405.7	4.8833	1	6.2702e-07	1.254e-06	0.00013418	True
gRNA_7558	Ncoa3	78.804/202.07/128.83	740.64/436.89/840.24/474.5/2528.6	128.83	740.64	2.5141	3933.7	18022	4.5573	1	3.1156e-06	6.2311e-06	0.00060612	True
gRNA_10548	Rbm10	54.924/187.19/50.305	64.04/352.17/406.22/288.73/63.126	54.924	288.73	2.3732	8758	3264.5	4.0922	0.99997	2.5686e-05	5.1372e-05	0.0045806	True
