sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_5841	Kdm5a	161.76/50.235/42.515	3358.4/6030.7/148.59/258.19/1408/1426/4240/1270/283.95/1620.8	50.235	1417	4.7906	6248.5	1642	33.729	1	1.2272e-249	2.4544e-249	3.2501e-245	True
gRNA_341	Apc	624.22/234.01/168.49	7864.7/508.17/5367.2/9607.1/6123.6/91.137/6620.3/2834.1/621.93/193.2	234.01	4100.6	4.1254	78280	13387	33.419	1	3.7169e-245	7.4337e-245	4.9219e-241	True
gRNA_10896	Rras2	1305.1/1287.7/908.04	25561/4480/4166.6/26000/5482.6/1.0205e+05/12745/12479/42487/8838.7	1287.7	12612	3.291	72212	1.3789e+05	30.496	1	1.4596e-204	2.9191e-204	1.2885e-200	True
gRNA_8470	Palb2	474.21/189.49/106.55	192.38/5641.2/560.2/4990.5/3337/943.54/8949.3/2874.5/759.48/6488.5	189.49	3105.7	4.0276	43973	10035	29.111	1	1.3454e-186	2.6907e-186	8.9077e-183	True
gRNA_12312	Tek	41.476/127.18/76.107	7720.8/652.07/5324.1/1504.1/175.63/1255.5/1679.4/885.21/4063.7/2010.2	76.107	1591.7	4.3685	1903.7	2891.4	28.186	1	4.647e-175	9.294e-175	2.4614e-171	True
gRNA_13096	Zfhx3	221.9/176.14/2086.9	3038.6/3043/9634.8/801.11/3312.6/3290.6/1600.5/131.04/118.88/6942	221.9	3040.8	3.7705	1.7402e+06	12450	25.264	1	4.0887e-141	8.1773e-141	1.8047e-137	True
gRNA_10131	Ptprt	48.389/12.082/19.421	250.99/796.98/283.81/11.495/1192.3/2353.5/929.36/266.26/1544.5/105.45	19.421	540.4	4.7286	446.52	451.34	24.523	1	5.1729e-133	1.0346e-132	1.9571e-129	True
gRNA_1649	Brd4	1131.6/558.94/872.87	2916.3/20710/46481/8698.1/10689/3244.5/6400/2899.6/12436/2221.8	872.87	7549	3.111	82750	80987	23.46	1	5.288e-122	1.0576e-121	1.7506e-118	True
gRNA_7238	Mitf	591.04/220.65/121.25	4056.6/2671.7/701.36/4031.2/16113/1446.4/2820.9/539.49/6348/1383.4	220.65	2746.3	3.6316	73534	12354	22.723	1	1.3729e-114	2.7458e-114	4.04e-111	True
gRNA_6100	Keap1	268.91/183.77/211	3441.2/2379.9/389.31/3161.1/611.78/2841.3/4459.3/1622.7/711.34/2760.2	211	2570	3.6002	2047.2	11622	21.882	1	1.9887e-106	3.9775e-106	5.267e-103	True
gRNA_6916	Map3k1	463.15/644.79/274.51	1351.8/1889.8/11886/4727.1/5901.2/6760.2/277.68/4162.6/29136/1362.7	463.15	4444.8	3.2598	34289	34034	21.583	1	1.3097e-103	2.6193e-103	3.1532e-100	True
gRNA_13228	Zfhx3	156.92/102.38/74.008	3696/419.62/5177/546.45/406.88/46.105/1322.8/2611/2495.6/1647.4	102.38	1485.1	3.8455	1889.8	4331.6	21.009	1	2.8703e-98	5.7406e-98	6.3348e-95	True
gRNA_3448	Ephb1	221.21/224.47/636.15	4120.3/2699.9/92.128/5760.7/596.17/156.54/2360.8/25383/2636.1/855.4	224.47	2498.4	3.4706	84748	12647	20.22	1	3.3198e-91	6.6396e-91	6.7632e-88	True
gRNA_9544	Prex2	67.745/8.9024/8.9229	122.31/2133.3/59.437/1378.5/46.835/437.46/18.444/391.73/53.056/3989.4	8.9229	257.02	4.7006	1730	157.46	19.771	1	3.4691e-87	6.9383e-87	6.5626e-84	True
gRNA_9083	Pik3r2	640.12/775.15/2014	26830/893.58/9162.3/8075.6/4555.6/769.84/6667.4/5226.3/7911.2/1417.3	775.15	5946.8	2.938	7.7645e+05	68841	19.711	1	8.6983e-87	1.7397e-86	1.5358e-83	True
gRNA_13583	safe_target	406.47/679.76/329.62	6399.6/146.92/2922.8/1691.5/4857.1/151.18/1025.7/4417.7/8386.7/4339.7	406.47	3631.3	3.1561	40297	28470	19.112	1	1.0109e-81	2.0218e-81	1.6733e-78	True
gRNA_8018	Notch1	1305.1/905.5/1015.6	6105.3/11962/405.66/11786/129.77/7966.5/8240.3/3666.3/4552/9933	1015.6	7035.9	2.7911	47966	99644	19.072	1	2.1773e-81	4.3546e-81	3.392e-78	True
gRNA_13983	Epha7	1298.2/621.9/531.18	3777.6/14441/32665/4469.7/7917/972.49/5313.8/1907/11690/1146.7	621.9	4891.8	2.9736	2.3282e+05	50929	18.921	1	3.8747e-80	7.7493e-80	5.7009e-77	True
gRNA_13960	Dnmt3b	351.17/268.34/2640.7	3027.1/3445.5/1069.9/5959.7/3915.6/4163.4/2014.5/2921.9/3839.6/1160	351.17	3236.3	3.2005	2.6243e+06	23311	18.897	1	6.1251e-80	1.225e-79	8.5378e-77	True
gRNA_12697	Trp63	384.35/820.29/717.51	7588.3/1847.5/10217/7960.7/3413.1/6071.9/9679.9/2248.6/4648.3/2311.8	717.51	5360.1	2.8994	60780	61935	18.655	1	5.7924e-78	1.1585e-77	7.6703e-75	True
gRNA_1411	Bcl6	1620.3/900.42/797.82	7627.8/10565/4474.1/7403.6/5205.5/1540.8/8676.8/2220.7/7352.1/4803.5	900.42	6278.8	2.8005	2.6441e+05	84504	18.502	1	1.0006e-76	2.0012e-76	1.2619e-73	True
gRNA_10044	Ptprt	134.11/235.91/155.36	1455/390.44/341.76/2049.6/4119.5/559.69/4757.5/5556.6/161.13/2898	155.36	1752.3	3.4871	3470.1	7652.3	18.255	1	9.7545e-75	1.9509e-74	1.1743e-71	True
