sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_6230	Kmt2b	185.37/539.54/621.65	6729.7/8519.4/6609.7	539.54	6729.7	3.6383	66088	53010	26.886	1	1.6183e-159	3.2367e-159	4.286e-155	True
gRNA_4649	Foxp1	592.59/1018.5/2007.2	12297/6527.6/10326	1018.5	10326	3.3405	5.7942e+05	1.2763e+05	26.054	1	6.0317e-150	1.2063e-149	7.9872e-146	True
gRNA_4168	Fgf3	1568.1/779.03/799.6	6071.4/7762.3/8442.9	799.6	7762.3	3.2775	2.955e+05	91324	23.04	1	9.2358e-118	1.8472e-117	8.1534e-114	True
gRNA_12301	Tcf7l2	341.37/289.96/450.7	2788.8/4089.6/6081.5	341.37	4089.6	3.5787	7297.9	28159	22.337	1	8.3408e-111	1.6682e-110	5.5225e-107	True
gRNA_1840	Carm1	751.63/935.94/756.09	5501.6/6397.4/4284.8	756.09	5501.6	2.8616	16183	84523	16.323	1	3.4199e-60	6.8399e-60	1.8115e-56	True
gRNA_6695	Kmt2d	1480/951.54/1709.5	13128/5479.7/8774.9	1480	8774.9	2.567	1.6597e+05	2.1402e+05	15.769	1	2.551e-56	5.1019e-56	1.126e-52	True
gRNA_2250	Crebbp	425.45/278.03/164.74	2101.4/2559.8/2829.1	278.03	2559.8	3.1981	17284	21207	15.669	1	1.2735e-55	2.547e-55	4.8183e-52	True
gRNA_4732	Gata2	488.25/132.13/90.917	375.06/1485.7/1350.7	132.13	1350.7	3.3438	64261	7594.2	13.983	1	1.0561e-44	2.1122e-44	3.4963e-41	True
gRNA_6043	Keap1	27.35/96.346/128.22	488.13/1471/1075.8	96.346	1075.8	3.4674	2888.1	4912.4	13.974	1	1.2286e-44	2.4572e-44	3.6154e-41	True
gRNA_10241	Rab35	96.233/108.27/399.41	1162.1/1711.4/837.33	108.27	1162.1	3.412	42453	5770.3	13.873	1	4.9885e-44	9.977e-44	1.3212e-40	True
gRNA_2047	Cdk12	868.12/963.46/536.18	6004.2/2854.8/5141.5	868.12	5141.5	2.5648	59639	1.0232e+05	13.359	1	5.2319e-41	1.0464e-40	1.2597e-37	True
gRNA_11954	Stag2	643.24/712.96/835.35	2910.9/7771.8/4285.9	712.96	4285.9	2.586	9919.5	77931	12.799	1	8.3585e-38	1.6717e-37	1.8447e-34	True
gRNA_1968	Cd79a	997.78/957.04/1341.2	5502.7/3883.8/5594.4	997.78	5502.7	2.4622	59804	1.2405e+05	12.791	1	9.2622e-38	1.8524e-37	1.8869e-34	True
gRNA_1411	Bcl6	2374.4/1299.3/1181.1	5166.8/8088.9/6677	1299.3	6677	2.3606	5.8491e+05	1.7874e+05	12.72	1	2.2915e-37	4.5829e-37	4.3348e-34	True
gRNA_9532	Prdm14	1566.1/1398.4/1099.5	5826.2/7729.8/6776.2	1398.4	6776.2	2.2759	58711	1.9787e+05	12.09	1	5.9883e-34	1.1977e-33	1.0573e-30	True
gRNA_3670	Ercc2	801.26/534.95/982.21	4411.1/6038.3/3626.5	801.26	4411.1	2.4593	51832	91587	11.928	1	4.2401e-33	8.4801e-33	7.0184e-30	True
gRNA_10196	Ptprt	1083.9/1032.3/1147.7	6350.2/5518.6/2696.8	1083.9	5518.6	2.347	3369.3	1.3909e+05	11.891	1	6.6189e-33	1.3238e-32	1.0312e-29	True
gRNA_3815	Erg	401.14/100.93/31.86	1193.5/954.41/655.95	100.93	954.41	3.2285	47447	5237.8	11.793	1	2.3144e-32	4.6288e-32	3.4052e-29	True
gRNA_6536	Kmt2d	514.59/487.24/303.06	3013.9/658.32/3909.5	487.24	3013.9	2.6264	17336	46041	11.775	1	2.6477e-32	5.2953e-32	3.6906e-29	True
gRNA_10131	Ptprt	70.908/17.434/28.751	42.544/383.24/387.87	28.751	383.24	3.691	952.64	929.56	11.627	1	1.8227e-31	3.6454e-31	2.4136e-28	True
gRNA_5926	Kdm6a	404.18/372.54/676.82	2582.8/2680.5/1241.2	404.18	2582.8	2.6729	37669	35560	11.553	1	3.6057e-31	7.2114e-31	4.5473e-28	True
gRNA_10186	Ptprt	395.06/397.31/840.79	2543.7/3350.4/848.74	397.31	2543.7	2.6755	98336	34728	11.517	1	5.4763e-31	1.0953e-30	6.5925e-28	True
gRNA_4298	Fgfr2	1297.6/534.03/573.47	676.22/5371.6/3288.9	573.47	3288.9	2.5177	2.6297e+05	57674	11.307	1	6.1149e-30	1.223e-29	7.0412e-27	True
gRNA_10658	Rictor	536.88/1210.3/911.5	1690.5/7513.5/4503.8	911.5	4503.8	2.3036	1.1481e+05	1.0946e+05	10.858	1	9.1697e-28	1.8339e-27	1.0119e-24	True
gRNA_2710	Dnmt3a	177.27/52.302/75.375	1839.5/79.797/708.43	75.375	708.43	3.2155	5457.5	3502.3	10.697	1	5.849e-27	1.1698e-26	6.1962e-24	True
gRNA_9352	Pole	529.79/317.48/313.93	441.11/2018/2060.3	317.48	2018	2.6644	22542	25474	10.655	1	8.4886e-27	1.6977e-26	8.6466e-24	True
gRNA_2130	Chek2	1954/1494.7/1261.2	6164.3/7404.3/6310.8	1494.7	6310.8	2.0772	1.3275e+05	2.1698e+05	10.339	1	2.3464e-25	4.6929e-25	2.3016e-22	True
gRNA_782	Arid1b	490.28/569.82/405.63	3319.5/1170.7/2715.1	490.28	2715.1	2.4669	6746.2	46439	10.324	1	2.7769e-25	5.5538e-25	2.6266e-22	True
gRNA_9924	Ptprs	183.35/233.98/412.62	832.96/1919.3/1564	233.98	1564	2.7355	17238	16712	10.288	1	4.122e-25	8.244e-25	3.7644e-22	True
gRNA_12723	Trp63	1409/1225/1591.4	6002/3576.2/6627.9	1409	6002	2.0899	33573	1.9996e+05	10.271	1	4.7537e-25	9.5074e-25	4.1966e-22	True
gRNA_5497	Inppl1	539.92/1193.8/577.36	1945.8/3029.1/3219.3	577.36	3029.1	2.3893	1.9069e+05	58215	10.162	1	1.4828e-24	2.9657e-24	1.2668e-21	True
gRNA_2929	E2f3	1014/1059.8/2828.5	5478.1/1871/4782.2	1059.8	4782.2	2.1728	1.5652e+06	1.3484e+05	10.137	1	1.8961e-24	3.7922e-24	1.5693e-21	True
gRNA_394	Aplnr	1099.1/1211.2/1709.5	3224.4/5272.9/5361.7	1211.2	5272.9	2.1212	1.3046e+05	1.622e+05	10.085	1	3.2137e-24	6.4275e-24	2.5792e-21	True
