sgrna	Gene	control_count	treatment_count	control_mean	treat_mean	LFC	control_var	adj_var	score	p.low	p.high	p.twosided	FDR	high_in_treatment
gRNA_1333	Bap1	83.556/8.3279/9.364	513.79/393.54/3462.5/279.43/1227.7/713.7/207.71/2460.8/247.4	9.364	513.79	5.6343	2752.8	184.63	37.123	1	7.9792e-302	1.5958e-301	2.1132e-297	True
gRNA_14025	Flt4	270.8/455.26/196.64	1833.1/3137.3/2559.5/4577.4/8579.6/9259.9/13242/5334.4/2741.2	270.8	4577.4	4.0742	19762	19820	30.59	1	8.5261e-206	1.7052e-205	1.129e-201	True
gRNA_5841	Kdm5a	235.57/73.1/63.207	662.58/2004.3/1527.6/1964.8/2587.2/1492.6/1033.2/798.29/1571.9	73.1	1527.6	4.3666	13247	3193.6	25.739	1	2.4025e-146	4.805e-146	2.1209e-142	True
gRNA_1649	Brd4	1648/813.36/1297.7	9687.6/9479.8/39576/11952/10132/18961/11835/14112/10532	1297.7	11835	3.188	1.7864e+05	1.7696e+05	25.049	1	9.0092e-139	1.8018e-138	5.965e-135	True
gRNA_12312	Tek	60.402/185.06/113.15	2020.3/3893.8/1930.6/1511.5/799.1/1534.2/1850.6/1927.8/1698	113.15	1850.6	4.0198	3977	5868.5	22.681	1	3.71e-114	7.4201e-114	1.9651e-110	True
gRNA_13983	Epha7	1890.6/904.96/789.7	6908.2/7426.3/24385/8276.4/4526.8/10776/10282/9174.5/6355.4	904.96	8276.4	3.1917	4.9237e+05	1.0691e+05	22.545	1	7.601e-113	1.5202e-112	3.3551e-109	True
gRNA_1727	Card11	408.72/858.7/1012.9	6382.8/16572/5544.3/14992/15035/9600.8/3545.3/7533.9/947.59	858.7	7533.9	3.1317	1.1312e+05	99350	21.178	1	7.6738e-100	1.5348e-99	2.9033e-96	True
gRNA_10896	Rras2	1900.7/1873.8/1350	11231/3671.9/12617/15499/11087/18111/8700.5/24828/15430	1873.8	12617	2.7507	1.3754e+05	2.958e+05	19.753	1	3.7484e-87	7.4968e-87	1.2409e-83	True
gRNA_13541	safe_target	319.13/123.99/103.78	585.86/1682.1/471.69/2022.5/708.41/1682.8/5751.6/745.24/5299.3	123.99	1682.1	3.7512	19242	6666.8	19.083	1	1.8763e-81	3.7526e-81	5.5214e-78	True
gRNA_4860	Gnas	192.28/399.74/213.03	2439.9/972.38/1525/1451.9/2510.2/2609.1/2381.9/1482.7/2514.8	213.03	2381.9	3.4769	17645	14180	18.214	1	2.0831e-74	4.1663e-74	5.517e-71	True
gRNA_6042	Keap1	482.21/397.89/465.86	2408.5/8840.6/2796.6/417.19/777.71/11747/7579.1/4767.7/4196.5	465.86	4196.5	3.1685	2443.8	42274	18.144	1	7.1855e-74	1.4371e-73	1.73e-70	True
gRNA_10454	Rb1	1.0067/23.133/15.607	454.5/257.54/303.29/365.41/699/540.62/624.91/91.861/354.76	15.607	365.41	4.4636	134.9	374.17	18.084	1	2.701e-73	5.402e-73	5.9611e-70	True
