From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ABL1	P00519	reviewed	ABL1_HUMAN	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	Homo sapiens (Human)	1130
ABL1	A0A0U4EGU4	unreviewed	A0A0U4EGU4_HUMAN	BCR/ABL1 fusion protein	abl1 bcr	Homo sapiens (Human)	107
ABL1	Q13688	unreviewed	Q13688_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	64
ABL1	Q13689	unreviewed	Q13689_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	46
ABL1	Q13691	unreviewed	Q13691_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	115
ABL1	Q13914	unreviewed	Q13914_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	64
ABL1	Q13915	unreviewed	Q13915_HUMAN	C-abl	ABL1	Homo sapiens (Human)	119
ABL1	Q3B836	unreviewed	Q3B836_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	396
ABL1	Q3B837	unreviewed	Q3B837_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	396
ABL1	Q86Y36	unreviewed	Q86Y36_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	30
ABL1	R4GRW0	unreviewed	R4GRW0_HUMAN	ABL proto-oncogene 1, non-receptor tyrosine kinase	ABL1	Homo sapiens (Human)	64
ACTG1	P63261	reviewed	ACTG_HUMAN	Actin, cytoplasmic 2 (EC 3.6.4.-) (Gamma-actin) [Cleaved into: Actin, cytoplasmic 2, N-terminally processed]	ACTG1 ACTG	Homo sapiens (Human)	375
ACTG1	A0A7P0TBL1	unreviewed	A0A7P0TBL1_HUMAN	Actin gamma 1	ACTG1	Homo sapiens (Human)	59
ACTG1	A0A804GS07	unreviewed	A0A804GS07_HUMAN	Actin, cytoplasmic 2 (Gamma-actin)	ACTG1	Homo sapiens (Human)	366
ACTG1	I3L1U9	unreviewed	I3L1U9_HUMAN	Actin, cytoplasmic 2 (Gamma-actin)	ACTG1	Homo sapiens (Human)	214
ACTG1	I3L3I0	unreviewed	I3L3I0_HUMAN	Actin, cytoplasmic 2 (Gamma-actin)	ACTG1	Homo sapiens (Human)	214
ACTG1	I3L3R2	unreviewed	I3L3R2_HUMAN	Actin, cytoplasmic 2 (Gamma-actin)	ACTG1	Homo sapiens (Human)	164
ACTG1	I3L4N8	unreviewed	I3L4N8_HUMAN	Actin gamma 1	ACTG1	Homo sapiens (Human)	351
ACTG1	J3KT65	unreviewed	J3KT65_HUMAN	Actin gamma 1	ACTG1	Homo sapiens (Human)	198
ACTG1	K7EM38	unreviewed	K7EM38_HUMAN	Actin, cytoplasmic 2	ACTG1	Homo sapiens (Human)	133
ACTG1	Q6PJ43	unreviewed	Q6PJ43_HUMAN	ACTG1 protein	ACTG1	Homo sapiens (Human)	263
ACTG1	Q96FU6	unreviewed	Q96FU6_HUMAN	ACTG1 protein	ACTG1	Homo sapiens (Human)	165
ACVR1	Q04771	reviewed	ACVR1_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	Homo sapiens (Human)	509
ACVR1	A0A0S2Z2Y3	unreviewed	A0A0S2Z2Y3_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I)	ACVR1	Homo sapiens (Human)	351
ACVR1	A0A0S2Z345	unreviewed	A0A0S2Z345_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I)	ACVR1	Homo sapiens (Human)	443
ACVR1	A0A1B0GXA9	unreviewed	A0A1B0GXA9_HUMAN	Activin A receptor type 1	ACVR1	Homo sapiens (Human)	86
ACVR1	A0A804HHZ2	unreviewed	A0A804HHZ2_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I)	ACVR1	Homo sapiens (Human)	436
ACVR1	A0A804HJQ0	unreviewed	A0A804HJQ0_HUMAN	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	ACVR1	Homo sapiens (Human)	507
ACVR1	C9JHJ7	unreviewed	C9JHJ7_HUMAN	Activin A receptor type 1	ACVR1	Homo sapiens (Human)	87
ACVR1	C9JW28	unreviewed	C9JW28_HUMAN	Activin A receptor type 1	ACVR1	Homo sapiens (Human)	21
ACVR1	D3DPA4	unreviewed	D3DPA4_HUMAN	Serine/threonine-protein kinase receptor (EC 2.7.11.30)	ACVR1 hCG_1811747	Homo sapiens (Human)	509
ACVR1	L8E7H6	unreviewed	L8E7H6_HUMAN	Alternative protein ACVR1	ACVR1	Homo sapiens (Human)	44
ACVR1	Q53SF4	unreviewed	Q53SF4_HUMAN	receptor protein serine/threonine kinase (EC 2.7.11.30)	ACVR1	Homo sapiens (Human)	153
ACVR1	Q53SV1	unreviewed	Q53SV1_HUMAN	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I)	ACVR1	Homo sapiens (Human)	355
