id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Setdb1	6	1.4619e-07	4.9737e-06	0.002392	1	5	-3.2548	0.99727	0.99738	0.999935	481	0	-3.2548
Pik3cg	92	6.2345e-07	2.4868e-05	0.005981	2	52	-0.49695	0.20312	0.68772	0.980571	238	27	-0.49695
non_target	123	4.2489e-06	0.00010445	0.01256	3	70	-0.5781	0.98209	0.99994	0.999935	473	31	-0.5781
Smarcb1	22	9.4908e-06	9.45e-05	0.01256	4	13	-1.3306	0.81416	0.97161	0.999935	434	7	-1.3306
Upf1	33	1.3324e-05	0.00015418	0.014833	5	22	-1.0438	0.53709	0.89747	0.999935	384	7	-1.0438
Recql4	12	0.00013354	0.0010196	0.081738	6	10	-1.2238	0.97335	0.99089	0.999935	471	1	-1.2238
Vhl	20	0.000198	0.0020939	0.143882	7	9	-0.25367	0.91132	0.98795	0.999935	454	6	-0.25367
Sox9	47	0.00024253	0.0031185	0.1875	8	28	-0.6629	0.033168	0.20847	0.934784	74	15	-0.6629
Src	26	0.00048525	0.0049986	0.228811	9	17	-0.7413	0.11922	0.42682	0.968919	175	7	-0.7413
Sox17	46	0.00050983	0.0065603	0.228811	10	24	-0.60925	0.006091	0.056138	0.716344	25	18	-0.60925
Smarca4	188	0.0005362	0.0077739	0.249282	11	90	-0.31446	0.22538	0.71933	0.984393	254	65	-0.31446
Syk	28	0.00065105	0.0066598	0.228811	12	17	-0.62438	0.98552	0.99904	0.999935	474	6	-0.62438
Igf1r	38	0.0012913	0.013892	0.360358	13	21	-0.59165	0.81998	0.98491	0.999935	436	9	-0.59165
Pik3r2	46	0.0013573	0.014578	0.360358	14	24	-0.44695	0.14046	0.52341	0.973805	190	12	-0.44695
Plcg2	75	0.0013632	0.017065	0.360358	15	33	-0.017525	0.53711	0.93658	0.999935	385	27	-0.017525
Ptprs	147	0.0014362	0.018547	0.360358	16	66	-0.16038	0.63004	0.96621	0.999935	405	54	-0.16038
Myod1	36	0.0016156	0.017313	0.360358	17	15	-0.071456	0.038646	0.22152	0.934784	84	13	-0.071456
Bmpr1a	16	0.0016843	0.011942	0.359001	18	7	-0.091866	0.21149	0.54368	0.973805	242	6	-0.091866
Smo	45	0.0017273	0.018	0.360358	19	23	-0.41808	0.53496	0.91178	0.999935	382	14	-0.41808
Tsc2	57	0.0017391	0.019363	0.360358	20	26	-0.054973	0.62284	0.9533	0.999935	402	20	-0.054973
U2af1	21	0.0019498	0.016478	0.360358	21	13	-0.72919	0.24801	0.62765	0.973805	272	6	-0.72919
Rptor	38	0.0019967	0.020228	0.360358	22	20	-0.31523	0.2128	0.63142	0.973805	245	9	-0.31523
Arid1a	228	0.0021944	0.026863	0.430702	23	100	-0.10398	0.49395	0.92464	0.999935	370	85	-0.10398
Card11	112	0.0027867	0.032901	0.456938	24	45	-0.040801	0.19825	0.68079	0.980571	231	46	-0.040801
Brd4	70	0.0032773	0.035308	0.456938	25	31	-0.20079	0.42205	0.87722	0.999935	350	22	-0.20079
Max	15	0.0033277	0.022387	0.371308	26	7	-0.13584	0.040557	0.18082	0.934784	88	5	-0.13584
Grem1	8	0.0039202	0.01984	0.360358	27	5	-0.84978	0.10859	0.29929	0.968919	165	3	-0.84978
Socs1	30	0.0042232	0.034304	0.456938	28	16	-0.42103	0.23112	0.63678	0.973805	260	7	-0.42103
Nkx2-1	26	0.0049595	0.037049	0.456938	29	16	-0.54476	0.80028	0.97286	0.999935	433	5	-0.54476
Vav2	1	0.0050974	0.0048295	0.228811	30	1	-3.1461	0.9949	0.99506	0.999935	480	0	-3.1461
Kdm5a	33	0.0053249	0.043196	0.519438	31	16	-0.43911	0.58516	0.91894	0.999935	395	13	-0.43911
Kmt2c	75	0.0054439	0.054825	0.549392	32	36	-0.32679	0.0062386	0.064991	0.716344	26	27	-0.32679
Epcam	3	0.0055588	0.014827	0.360358	33	2	-3.1746	0.37089	0.51729	0.968974	325	1	-3.1746
Irf8	1	0.0059281	0.0056153	0.228811	34	1	-3.3154	0.99407	0.99413	0.999935	479	0	-3.3154
Ercc2	50	0.0060889	0.054686	0.549392	35	15	0.3461	0.066925	0.34073	0.968919	123	26	0.3461
Sf3b1	35	0.006165	0.048687	0.534417	36	18	-0.43512	0.39716	0.81925	0.999935	338	12	-0.43512
Hist1h3g	11	0.0062127	0.03317	0.456938	37	7	-0.95153	0.50736	0.79084	0.999935	376	4	-0.95153
Hist1h2bm	1	0.0064567	0.0061226	0.228811	38	1	-1.7956	0.99354	0.99359	0.999935	478	0	-1.7956
Brip1	10	0.006832	0.036472	0.456938	39	6	-0.98226	0.72351	0.89792	0.999935	425	2	-0.98226
Epha7	82	0.0069558	0.069975	0.604424	40	36	-0.10855	0.46748	0.90918	0.999935	358	32	-0.10855
Ezh2	20	0.0070953	0.047673	0.534417	41	13	-0.76547	0.28363	0.65973	0.975677	290	7	-0.76547
Piga	3	0.0080086	0.021352	0.366798	42	2	-1.5755	0.92148	0.92116	0.999935	457	0	-1.5755
